CYCLE	CMDPOS1	CMDPOS3	CMDPOS8	CMDPOS9	out_0.0	in_0.0
2169	0.000	0.000	0.000	0.000	0	0
2170	0.000	0.000	0.000	0.000	0	0
2171	0.000	0.000	0.000	0.000	0	0
2172	0.000	0.000	0.000	0.000	0	0
2173	0.000	0.000	0.000	0.000	0	0
2174	0.000	0.000	0.000	0.000	0	0
2175	0.000	0.000	0.000	0.000	0	0
2176	0.000	0.000	0.000	0.000	0	0
2177	0.000	0.000	0.000	0.000	0	0
2178	0.000	0.000	0.000	0.000	0	0
2179	0.000	0.000	0.000	0.000	0	0
2180	0.000	0.000	0.000	0.000	0	0
2181	0.000	0.000	0.000	0.000	0	0
2182	0.000	0.000	0.000	0.000	0	0
2183	0.000	0.000	0.000	0.000	0	0
2184	0.000	0.000	0.000	0.000	0	0
2185	0.000	0.000	0.000	0.000	0	0
2186	0.000	0.000	0.000	0.000	0	0
2187	0.000	0.000	0.000	0.000	0	0
2188	0.000	0.000	0.000	0.000	0	0
2189	0.000	0.000	0.000	0.000	0	0
2190	0.000	0.000	0.000	0.000	0	0
2191	0.000	0.000	0.000	0.000	0	0
2192	0.000	0.000	0.000	0.000	0	0
2193	0.000	0.000	0.000	0.000	0	0
2194	0.000	0.000	0.000	0.000	0	0
2195	0.000	0.000	0.000	0.000	0	0
2196	0.000	0.000	0.000	0.000	0	0
2197	0.000	0.000	0.000	0.000	0	0
2198	0.000	0.000	0.000	0.000	0	0
2199	0.000	0.000	0.000	0.000	0	0
2200	0.000	0.000	0.000	0.000	0	0
2201	0.000	0.000	0.000	0.000	0	0
2202	0.000	0.000	0.000	0.000	0	0
2203	0.000	0.000	0.000	0.000	0	0
2204	0.000	0.000	0.000	0.000	0	0
2205	0.000	0.000	0.000	0.000	0	0
2206	0.000	0.000	0.000	0.000	0	0
2207	0.000	0.000	0.000	0.000	0	0
2208	0.000	0.000	0.000	0.000	0	0
2209	0.000	0.000	0.000	0.000	0	0
2210	0.000	0.000	0.000	0.000	0	0
2211	0.000	0.000	0.000	0.000	0	0
2212	0.000	0.000	0.000	0.000	0	0
2213	0.000	0.000	0.000	0.000	0	0
2214	0.000	0.000	0.000	0.000	0	0
2215	0.000	0.000	0.000	0.000	0	0
2216	0.000	0.000	0.000	0.000	0	0
2217	0.000	0.000	0.000	0.000	0	0
2218	0.000	0.000	0.000	0.000	0	0
2219	0.000	0.000	0.000	0.000	0	0
2220	0.000	0.000	0.000	0.000	0	0
2221	0.000	0.000	0.000	0.000	0	0
2222	0.000	0.000	0.000	0.000	0	0
2223	0.000	0.000	0.000	0.000	0	0
