CYCLE	CMDPOS6	CMDPOS9	out_0.0	in_0.0
1448	0.000	0.000	0	0
1449	0.000	0.000	0	0
1450	0.000	0.000	0	0
1451	0.000	0.000	0	0
1452	0.000	0.000	0	0
1453	0.000	0.000	0	0
1454	0.000	0.000	0	0
1455	0.000	0.000	0	0
1456	0.000	0.000	0	0
1457	0.000	0.000	0	0
1458	0.000	0.000	0	0
1459	0.000	0.000	0	0
1460	0.000	0.000	0	0
1461	0.000	0.000	0	0
1462	0.000	0.000	0	0
1463	0.000	0.000	0	0
1464	0.000	0.000	0	0
1465	0.000	0.000	0	0
1466	0.000	0.000	0	0
1467	0.000	0.000	0	0
1468	0.000	0.000	0	0
1469	0.000	0.000	0	0
1470	0.000	0.000	0	0
1471	0.000	0.000	0	0
1472	0.000	0.000	0	0
1473	0.000	0.000	0	0
1474	0.000	0.000	0	0
1475	0.000	0.000	0	0
1476	0.000	0.000	0	0
1477	0.000	0.000	0	0
1478	0.000	0.000	0	0
1479	0.000	0.000	0	0
1480	0.000	0.000	0	0
1481	0.000	0.000	0	0
1482	0.000	0.000	0	0
1483	0.000	0.000	0	0
1484	0.000	0.000	0	0
1485	0.000	0.000	0	0
1486	0.000	0.000	0	0
1487	0.000	0.000	0	0
1488	0.000	0.000	0	0
1489	0.000	0.000	0	0
1490	0.000	0.000	0	0
1491	0.000	0.000	0	0
1492	0.000	0.000	0	0
1493	0.000	0.000	0	0
1494	0.000	0.000	0	0
1495	0.000	0.000	0	0
1496	0.000	0.000	0	0
1497	0.000	0.000	0	0
1498	0.000	0.000	0	0
1499	0.000	0.000	0	0
1500	0.000	0.000	0	0
1501	0.000	0.000	0	0
1502	0.000	0.000	0	0
1503	0.000	0.000	0	0
1504	0.000	0.000	0	0
1505	0.000	0.000	0	0
1506	0.000	0.000	0	0
1507	0.000	0.000	0	0
1508	0.000	0.000	0	0
1509	0.000	0.000	0	0
1510	0.000	0.000	0	0
1511	0.000	0.000	0	0
1512	0.000	0.000	0	0
1513	0.000	0.000	0	0
1514	0.000	0.000	0	0
1515	0.000	0.000	0	0
1516	0.000	0.000	0	0
1517	0.000	0.000	0	0
1518	0.000	0.000	0	0
1519	0.000	0.000	0	0
1520	0.000	0.000	0	0
1521	0.000	0.000	0	0
1522	0.000	0.000	0	0
1523	0.000	0.000	0	0
1524	0.000	0.000	0	0
1525	0.000	0.000	0	0
1526	0.000	0.000	0	0
1527	0.000	250.000	0	0
1528	360.000	119.999	0	0
1529	359.998	119.996	0	0
1530	359.996	119.991	0	0
1531	359.992	119.984	0	0
1532	359.988	119.975	0	0
1533	359.982	119.964	0	0
1534	359.976	119.951	0	0
1535	359.968	119.936	0	0
1536	359.960	119.919	0	0
1537	359.950	119.900	0	0
1538	359.940	119.879	0	0
1539	359.928	119.856	0	0
1540	359.916	119.831	0	0
1541	359.902	119.804	0	0
1542	359.888	119.775	0	0
1543	359.872	119.744	0	0
1544	359.856	119.711	0	0
1545	359.838	119.676	0	0
1546	359.820	119.639	0	0
1547	359.800	119.600	0	0
1548	359.780	119.559	0	0
1549	359.758	119.516	0	0
1550	359.736	119.471	0	0
1551	359.712	119.424	0	0
1552	359.688	119.375	0	0
1553	359.662	119.324	0	0
1554	359.636	119.271	0	0
1555	359.608	119.216	0	0
1556	359.580	119.159	0	0
1557	359.550	119.100	0	0
1558	359.520	119.039	0	0
1559	359.488	118.976	0	0
1560	359.456	118.911	0	0
1561	359.422	118.844	0	0
1562	359.388	118.776	0	0
1563	359.352	118.705	0	0
1564	359.316	118.632	0	0
1565	359.278	118.557	0	0
1566	359.240	118.480	0	0
1567	359.200	118.401	0	0
1568	359.160	118.320	0	0
1569	359.118	118.237	0	0
1570	359.076	118.152	0	0
1571	359.032	118.065	0	0
1572	358.988	117.976	0	0
1573	358.942	117.885	0	0
1574	358.896	117.792	0	0
1575	358.848	117.697	0	0
1576	358.800	117.600	0	0
1577	358.751	117.501	0	0
1578	358.700	117.400	0	0
1579	358.649	117.297	0	0
1580	358.596	117.192	0	0
1581	358.543	117.085	0	0
1582	358.488	116.976	0	0
1583	358.433	116.865	0	0
1584	358.376	116.752	0	0
1585	358.319	116.637	0	0
1586	358.260	116.520	0	0
1587	358.201	116.401	0	0
1588	358.140	116.281	0	0
1589	358.079	116.158	0	0
1590	358.016	116.033	0	0
1591	357.953	115.906	0	0
1592	357.888	115.777	0	0
1593	357.823	115.646	0	0
1594	357.756	115.513	0	0
1595	357.689	115.378	0	0
1596	357.620	115.241	0	0
1597	357.551	115.102	0	0
1598	357.481	114.961	0	0
1599	357.409	114.818	0	0
1600	357.337	114.673	0	0
1601	357.263	114.526	0	0
1602	357.189	114.377	0	0
1603	357.113	114.226	0	0
1604	357.037	114.073	0	0
1605	356.959	113.919	0	0
1606	356.881	113.762	0	0
1607	356.801	113.603	0	0
1608	356.721	113.442	0	0
1609	356.639	113.279	0	0
1610	356.557	113.114	0	0
1611	356.473	112.947	0	0
1612	356.389	112.778	0	0
1613	356.304	112.607	0	0
1614	356.217	112.434	0	0
1615	356.130	112.259	0	0
1616	356.041	112.082	0	0
1617	355.952	111.903	0	0
1618	355.861	111.722	0	0
1619	355.770	111.540	0	0
1620	355.677	111.355	0	0
1621	355.584	111.168	0	0
1622	355.489	110.979	0	0
1623	355.394	110.788	0	0
1624	355.297	110.595	0	0
1625	355.200	110.400	0	0
1626	355.102	110.203	0	0
1627	355.002	110.004	0	0
1628	354.902	109.803	0	0
1629	354.800	109.600	0	0
1630	354.698	109.395	0	0
1631	354.594	109.189	0	0
1632	354.490	108.980	0	0
1633	354.384	108.769	0	0
1634	354.278	108.556	0	0
1635	354.170	108.341	0	0
1636	354.062	108.124	0	0
1637	353.953	107.905	0	0
1638	353.842	107.684	0	0
1639	353.731	107.461	0	0
1640	353.618	107.236	0	0
1641	353.505	107.009	0	0
1642	353.390	106.781	0	0
1643	353.275	106.550	0	0
1644	353.158	106.317	0	0
1645	353.041	106.082	0	0
1646	352.922	105.845	0	0
1647	352.803	105.606	0	0
1648	352.683	105.365	0	0
1649	352.561	105.122	0	0
1650	352.439	104.877	0	0
1651	352.315	104.630	0	0
1652	352.191	104.382	0	0
1653	352.065	104.131	0	0
1654	351.939	103.878	0	0
1655	351.811	103.623	0	0
1656	351.683	103.366	0	0
1657	351.554	103.107	0	0
1658	351.423	102.846	0	0
1659	351.292	102.583	0	0
1660	351.159	102.318	0	0
1661	351.026	102.051	0	0
1662	350.891	101.783	0	0
1663	350.756	101.512	0	0
1664	350.619	101.239	0	0
1665	350.482	100.964	0	0
1666	350.344	100.687	0	0
1667	350.204	100.408	0	0
1668	350.064	100.127	0	0
1669	349.922	299.922	0	0
1670	349.780	299.780	0	0
1671	349.636	299.636	0	0
1672	349.492	299.492	0	0
1673	349.346	299.346	0	0
1674	349.200	299.200	0	0
1675	349.053	299.053	0	0
1676	348.904	298.904	0	0
1677	348.755	298.755	0	0
1678	348.604	298.604	0	0
1679	348.453	298.453	0	0
1680	348.300	298.300	0	0
1681	348.147	298.147	0	0
1682	347.993	297.993	0	0
1683	347.837	297.837	0	0
1684	347.681	297.681	0	0
1685	347.523	297.523	0	0
1686	347.365	297.365	0	0
1687	347.205	297.205	0	0
1688	347.045	297.045	0	0
1689	346.883	296.883	0	0
1690	346.721	296.721	0	0
1691	346.558	296.558	0	0
1692	346.393	296.393	0	0
1693	346.228	296.228	0	0
1694	346.061	296.061	0	0
1695	345.894	295.894	0	0
1696	345.725	295.725	0	0
1697	345.556	295.556	0	0
1698	345.386	295.386	0	0
1699	345.214	295.214	0	0
1700	345.042	295.042	0	0
1701	344.868	294.868	0	0
1702	344.694	294.694	0	0
1703	344.518	294.518	0	0
1704	344.342	294.342	0	0
1705	344.165	294.165	0	0
1706	343.986	293.986	0	0
1707	343.807	293.807	0	0
1708	343.626	293.626	0	0
1709	343.445	293.445	0	0
1710	343.262	293.262	0	0
1711	343.079	293.079	0	0
1712	342.895	292.895	0	0
1713	342.709	292.709	0	0
1714	342.523	292.523	0	0
1715	342.335	292.335	0	0
1716	342.147	292.147	0	0
1717	341.958	291.958	0	0
1718	341.767	291.767	0	0
1719	341.576	291.576	0	0
1720	341.383	291.383	0	0
1721	341.190	291.190	0	0
1722	340.995	290.995	0	0
1723	340.800	290.800	0	0
1724	340.604	290.604	0	0
1725	340.406	290.406	0	0
1726	340.208	290.208	0	0
1727	340.008	290.008	0	0
1728	339.808	289.808	0	0
1729	339.606	289.606	0	0
1730	339.404	289.404	0	0
1731	339.201	289.201	0	0
1732	338.996	288.996	0	0
1733	338.791	288.791	0	0
1734	338.584	288.584	0	0
1735	338.377	288.377	0	0
1736	338.169	288.169	0	0
1737	337.959	287.959	0	0
1738	337.749	287.749	0	0
1739	337.537	287.537	0	0
1740	337.325	287.325	0	0
1741	337.112	287.112	0	0
1742	336.897	286.897	0	0
1743	336.682	286.682	0	0
1744	336.465	286.465	0	0
1745	336.248	286.248	0	0
1746	336.029	286.029	0	0
1747	335.810	285.810	0	0
1748	335.590	285.590	0	0
1749	335.368	285.368	0	0
1750	335.146	285.146	0	0
1751	334.922	284.922	0	0
1752	334.698	284.698	0	0
1753	334.473	284.473	0	0
1754	334.246	284.246	0	0
1755	334.019	284.019	0	0
1756	333.790	283.790	0	0
1757	333.561	283.561	0	0
1758	333.331	283.331	0	0
1759	333.099	283.099	0	0
1760	332.867	282.867	0	0
1761	332.633	282.633	0	0
1762	332.399	282.399	0	0
1763	332.164	282.164	0	0
1764	331.927	281.927	0	0
1765	331.690	281.690	0	0
1766	331.451	281.451	0	0
1767	331.212	281.212	0	0
1768	330.972	280.972	0	0
1769	330.730	280.730	0	0
1770	330.488	280.488	0	0
1771	330.244	280.244	0	0
1772	330.000	280.000	0	0
1773	329.756	279.756	0	0
1774	329.512	279.512	0	0
1775	329.270	279.270	0	0
1776	329.028	279.028	0	0
1777	328.788	278.788	0	0
1778	328.549	278.549	0	0
1779	328.310	278.310	0	0
1780	328.073	278.073	0	0
1781	327.836	277.836	0	0
1782	327.601	277.601	0	0
1783	327.367	277.367	0	0
1784	327.133	277.133	0	0
1785	326.901	276.901	0	0
1786	326.669	276.669	0	0
1787	326.439	276.439	0	0
1788	326.210	276.210	0	0
1789	325.981	275.981	0	0
1790	325.754	275.754	0	0
1791	325.527	275.527	0	0
1792	325.302	275.302	0	0
1793	325.078	275.078	0	0
1794	324.854	274.854	0	0
1795	324.632	274.632	0	0
1796	324.410	274.410	0	0
1797	324.190	274.190	0	0
1798	323.971	273.971	0	0
1799	323.752	273.752	0	0
1800	323.535	273.535	0	0
1801	323.318	273.318	0	0
1802	323.103	273.103	0	0
1803	322.888	272.888	0	0
1804	322.675	272.675	0	0
1805	322.463	272.463	0	0
1806	322.251	272.251	0	0
1807	322.041	272.041	0	0
1808	321.831	271.831	0	0
1809	321.623	271.623	0	0
1810	321.416	271.416	0	0
1811	321.209	271.209	0	0
1812	321.004	271.004	0	0
1813	320.799	270.799	0	0
1814	320.596	270.596	0	0
1815	320.394	270.394	0	0
1816	320.192	270.192	0	0
1817	319.992	269.992	0	0
1818	319.792	269.792	0	0
1819	319.594	269.594	0	0
1820	319.396	269.396	0	0
1821	319.200	269.200	0	0
1822	319.005	269.005	0	0
1823	318.810	268.810	0	0
1824	318.617	268.617	0	0
1825	318.424	268.424	0	0
1826	318.233	268.233	0	0
1827	318.042	268.042	0	0
1828	317.853	267.853	0	0
1829	317.665	267.665	0	0
1830	317.477	267.477	0	0
1831	317.291	267.291	0	0
1832	317.105	267.105	0	0
1833	316.921	266.921	0	0
1834	316.738	266.738	0	0
1835	316.555	266.555	0	0
1836	316.374	266.374	0	0
1837	316.193	266.193	0	0
1838	316.014	266.014	0	0
1839	315.835	265.835	0	0
1840	315.658	265.658	0	0
1841	315.482	265.482	0	0
1842	315.306	265.306	0	0
1843	315.132	265.132	0	0
1844	314.958	264.958	0	0
1845	314.786	264.786	0	0
1846	314.614	264.614	0	0
1847	314.444	264.444	0	0
1848	314.275	264.275	0	0
1849	314.106	264.106	0	0
1850	313.939	263.939	0	0
1851	313.772	263.772	0	0
1852	313.607	263.607	0	0
1853	313.442	263.442	0	0
1854	313.279	263.279	0	0
1855	313.117	263.117	0	0
1856	312.955	262.955	0	0
1857	312.795	262.795	0	0
1858	312.635	262.635	0	0
1859	312.477	262.477	0	0
1860	312.319	262.319	0	0
1861	312.163	262.163	0	0
1862	312.007	262.007	0	0
1863	311.853	261.853	0	0
1864	311.700	261.700	0	0
1865	311.547	261.547	0	0
1866	311.396	261.396	0	0
1867	311.245	261.245	0	0
1868	311.096	261.096	0	0
1869	310.947	260.947	0	0
1870	310.800	260.800	0	0
1871	310.654	260.654	0	0
1872	310.508	260.508	0	0
1873	310.364	260.364	0	0
1874	310.220	260.220	0	0
1875	310.078	260.078	0	0
1876	309.936	259.936	0	0
1877	309.796	259.796	0	0
1878	309.656	259.656	0	0
1879	309.518	259.518	0	0
1880	309.381	259.381	0	0
1881	309.244	259.244	0	0
1882	309.109	259.109	0	0
1883	308.974	258.974	0	0
1884	308.841	258.841	0	0
1885	308.708	258.708	0	0
1886	308.577	258.577	0	0
