CYCLE	CMDPOS6	CMDPOS7	CMDPOS8	out_6.7	in_0.0	
1409	0.000	0.000	0.000	0	0	
1410	0.000	0.000	0.000	0	0	
1411	0.000	0.000	0.000	0	0	
1412	0.000	0.000	0.000	0	0	
1413	0.000	0.000	0.000	0	0	
1414	0.000	0.000	0.000	0	0	
1415	0.000	0.000	0.000	0	0	
1416	0.000	0.000	0.000	0	0	
1417	0.000	0.000	0.000	0	0	
1418	0.000	0.000	0.000	0	0	
1419	0.000	0.000	0.000	0	0	
1420	0.000	0.000	0.000	0	0	
1421	0.000	0.000	0.000	0	0	
1422	0.000	0.000	0.000	0	0	
1423	0.000	0.000	0.000	0	0	
1424	0.000	0.000	0.000	0	0	
1425	0.000	0.000	0.000	0	0	
1426	0.000	0.000	0.000	0	0	
1427	0.000	0.000	0.000	0	0	
1428	0.000	0.000	0.000	0	0	
1429	0.000	0.000	0.000	0	0	
1430	0.000	0.000	0.000	0	0	
1431	0.000	0.000	0.000	0	0	
1432	0.000	0.000	0.000	0	0	
1433	0.000	0.000	0.000	0	0	
1434	0.000	0.000	0.000	0	0	
1435	0.000	0.000	0.000	0	0	
1436	0.000	0.000	0.000	0	0	
1437	0.000	0.000	0.000	0	0	
1438	0.000	0.000	0.000	0	0	
1439	0.000	0.000	0.000	0	0	
1440	0.000	0.000	0.000	0	0	
1441	0.000	0.000	0.000	0	0	
1442	0.000	0.000	0.000	0	0	
1443	0.000	0.000	0.000	0	0	
1444	0.000	0.000	0.000	0	0	
1445	0.000	0.000	0.000	0	0	
1446	0.000	0.000	0.000	0	0	
1447	0.000	0.000	0.000	0	0	
1448	0.000	0.000	0.000	0	0	
1449	0.000	0.000	0.000	0	0	
1450	0.000	0.000	0.000	0	0	
1451	0.000	0.000	0.000	0	0	
1452	0.000	0.000	0.000	0	0	
1453	0.000	0.000	0.000	0	0	
1454	0.000	0.000	0.000	0	0	
1455	0.000	0.000	0.000	0	0	
1456	0.000	0.000	0.000	0	0	
1457	0.000	0.000	0.000	0	0	
1458	0.000	0.000	0.000	0	0	
1459	0.000	0.000	0.000	0	0	
1460	0.000	0.000	0.000	0	0	
1461	0.000	0.000	0.000	0	0	
1462	0.000	0.000	0.000	0	0	
1463	0.000	0.000	0.000	0	0	
1464	0.000	0.000	0.000	0	0	
1465	0.000	0.000	0.000	0	0	
1466	0.000	0.000	0.000	0	0	
1467	0.000	0.000	0.000	0	0	
1468	0.005	0.000	0.000	0	0	
1469	0.020	0.000	0.000	0	0	
1470	0.044	0.000	0.000	0	0	
1471	0.079	0.000	0.000	0	0	
1472	0.123	0.000	0.000	0	0	
1473	0.178	0.000	0.000	0	0	
1474	0.242	0.000	0.000	0	0	
1475	0.316	0.000	0.000	0	0	
1476	0.400	0.000	0.000	0	0	
1477	0.494	0.000	0.000	0	0	
1478	0.598	0.000	0.000	0	0	
1479	0.711	0.000	0.000	0	0	
1480	0.835	0.000	0.000	0	0	
1481	0.968	0.000	0.000	0	0	
1482	1.111	0.000	0.000	0	0	
1483	1.264	0.000	0.000	0	0	
1484	1.427	0.000	0.000	0	0	
1485	1.600	0.000	0.000	0	0	
1486	1.783	0.000	0.000	0	0	
1487	1.975	0.000	0.000	0	0	
1488	2.178	0.000	0.000	0	0	
1489	2.390	0.000	0.000	0	0	
1490	2.612	0.000	0.000	0	0	
1491	2.844	0.000	0.000	0	0	
1492	3.086	0.000	0.000	0	0	
