CYCLE	CMDPOS3	CMDPOS5	CMDPOS6	out_0.0	in_0.0
1885	0.000	0.000	0.000	0	0
1886	0.000	0.000	0.000	0	0
1887	0.000	0.000	0.000	0	0
1888	0.000	0.000	0.000	0	0
1889	0.000	0.000	0.000	0	0
1890	0.000	0.000	0.000	0	0
1891	0.000	0.000	0.000	0	0
1892	0.000	0.000	0.000	0	0
1893	0.000	0.000	0.000	0	0
1894	0.000	0.000	0.000	0	0
1895	0.000	0.000	0.000	0	0
1896	0.000	0.000	0.000	0	0
1897	0.000	0.000	0.000	0	0
1898	0.000	0.000	0.000	0	0
1899	0.000	0.000	0.000	0	0
1900	0.000	0.000	0.000	0	0
1901	0.000	0.000	0.000	0	0
1902	0.000	0.000	0.000	0	0
1903	0.000	0.000	0.000	0	0
1904	0.000	0.000	0.000	0	0
1905	0.000	0.000	0.000	0	0
1906	0.000	0.000	0.000	0	0
1907	0.000	0.000	0.000	0	0
1908	0.000	0.000	0.000	0	0
1909	0.000	0.000	0.000	0	0
1910	0.000	0.000	0.000	0	0
1911	0.000	0.000	0.000	0	0
1912	0.000	0.000	0.000	0	0
1913	0.000	0.000	0.000	0	0
1914	0.000	0.000	0.000	0	0
1915	0.000	0.000	0.000	0	0
1916	0.000	0.000	0.000	0	0
1917	0.000	0.000	0.000	0	0
1918	0.000	0.000	0.000	0	0
1919	0.000	0.000	0.000	0	0
1920	0.000	0.000	0.000	0	0
1921	0.000	0.000	0.000	0	0
1922	0.000	0.000	0.000	0	0
1923	0.000	0.000	0.000	0	0
1924	0.000	0.000	0.000	0	0
1925	0.000	0.000	0.000	0	0
1926	0.000	0.000	0.000	0	0
1927	0.000	0.000	0.000	0	0
1928	0.000	0.000	0.000	0	0
1929	0.000	0.000	0.000	0	0
1930	0.000	0.000	0.000	0	0
1931	0.000	0.000	0.000	0	0
1932	0.000	0.000	0.000	0	0
1933	0.000	0.000	0.000	0	0
1934	0.000	0.000	0.000	0	0
1935	0.000	0.000	0.000	0	0
1936	0.000	0.000	0.000	0	0
1937	0.000	0.000	0.000	0	0
1938	0.000	0.000	0.000	0	0
