CYCLE	CMDPOS1	CMDPOS2	CMDPOS3	CMDPOS4	CMDPOS5	CMDPOS6	out_0.0	in_0.0
140764	0.000	0.000	0.000	0.000	0.000	0.000	0	0
140765	0.000	0.000	0.000	0.000	0.000	0.000	0	0
140766	0.000	0.000	0.000	0.000	0.000	0.000	0	0
140767	0.000	0.000	0.000	0.000	0.000	0.000	0	0
140768	0.000	0.000	0.000	0.000	0.000	0.000	0	0
140769	0.000	0.000	0.000	0.000	0.000	0.000	0	0
140770	0.000	0.000	0.000	0.000	0.000	0.000	0	0
140771	0.000	0.000	0.000	0.000	0.000	0.000	0	0
140772	0.000	0.000	0.000	0.000	0.000	0.000	0	0
140773	0.000	0.000	0.000	0.000	0.000	0.000	0	0
140774	0.000	0.000	0.000	0.000	0.000	0.000	0	0
140775	0.000	0.000	0.000	0.000	0.000	0.000	0	0
140776	0.000	0.000	0.000	0.000	0.000	0.000	0	0
140777	0.000	0.000	0.000	0.000	0.000	0.000	0	0
140778	0.000	0.000	0.000	0.000	0.000	0.000	0	0
140779	0.000	0.000	0.000	0.000	0.000	0.000	0	0
140780	0.000	0.000	0.000	0.000	0.000	0.000	0	0
140781	0.000	0.000	0.000	0.000	0.000	0.000	0	0
140782	0.000	0.000	0.000	0.000	0.000	0.000	0	0
140783	0.000	0.000	0.000	0.000	0.000	0.000	0	0
140784	0.000	0.000	0.000	0.000	0.000	0.000	0	0
140785	0.000	0.000	0.000	0.000	0.000	0.000	0	0
140786	0.000	0.000	0.000	0.000	0.000	0.000	0	0
140787	0.000	0.000	0.000	0.000	0.000	0.000	0	0
140788	0.000	0.000	0.000	0.000	0.000	0.000	0	0
140789	0.000	0.000	0.000	0.000	0.000	0.000	0	0
140790	0.000	0.000	0.000	0.000	0.000	0.000	0	0
140791	0.000	0.000	0.000	0.000	0.000	0.000	0	0
140792	0.000	0.000	0.000	0.000	0.000	0.000	0	0
140793	0.000	0.000	0.000	0.000	0.000	0.000	0	0
140794	0.000	0.000	0.000	0.000	0.000	0.000	0	0
140795	0.000	0.000	0.000	0.000	0.000	0.000	0	0
140796	0.000	0.000	0.000	0.000	0.000	0.000	0	0
140797	0.000	0.000	0.000	0.000	0.000	0.000	0	0
140798	0.000	0.000	0.000	0.000	0.000	0.000	0	0
140799	0.000	0.000	0.000	0.000	0.000	0.000	0	0
140800	0.000	0.000	0.000	0.000	0.000	0.000	0	0
140801	0.000	0.000	0.000	0.000	0.000	0.000	0	0
140802	0.000	0.000	0.000	0.000	0.000	0.000	0	0
140803	0.000	0.000	0.000	0.000	0.000	0.000	0	0
140804	0.000	0.000	0.000	0.000	0.000	0.000	0	0
140805	0.000	0.000	0.000	0.000	0.000	0.000	0	0
140806	0.000	0.000	0.000	0.000	0.000	0.000	0	0
140807	0.000	0.000	0.000	0.000	0.000	0.000	0	0
140808	0.000	0.000	0.000	0.000	0.000	0.000	0	0
140809	0.000	0.000	0.000	0.000	0.000	0.000	0	0
140810	0.000	0.000	0.000	0.000	0.000	0.000	0	0
140811	0.000	0.000	0.000	0.000	0.000	0.000	0	0
140812	0.000	0.000	0.000	0.000	0.000	0.000	0	0
140813	0.000	0.000	0.000	0.000	0.000	0.000	0	0
140814	0.000	0.000	0.000	0.000	0.000	0.000	0	0
140815	0.000	0.000	0.000	0.000	0.000	0.000	0	0
140816	0.000	0.000	0.000	0.000	0.000	0.000	0	0
140817	0.000	0.000	0.000	0.000	0.000	0.000	0	0
140818	0.000	0.000	0.000	0.000	0.000	0.000	0	0
140819	0.000	0.000	0.000	0.000	0.000	0.000	0	0
140820	0.000	0.000	0.000	0.000	0.000	0.000	0	0
140821	0.000	0.000	0.000	0.000	0.000	0.000	0	0
140822	0.000	0.000	0.000	0.000	0.000	0.000	0	0
140823	0.000	0.000	0.000	0.000	0.000	0.000	0	0
140824	0.000	0.000	0.000	0.000	0.000	0.000	0	0
140825	0.000	0.000	0.000	0.000	0.000	0.000	0	0
140826	0.000	0.000	0.000	0.000	0.000	0.000	0	0
140827	0.000	0.000	0.000	0.000	0.000	0.000	0	0
140828	0.000	0.000	0.000	0.000	0.000	0.000	0	0
140829	0.000	0.000	0.000	0.000	0.000	0.000	0	0
140830	0.000	0.000	0.000	0.000	0.000	0.000	0	0
140831	0.000	0.000	0.000	0.000	0.000	0.000	0	0
140832	0.000	0.000	0.000	0.000	0.000	0.000	0	0
140833	0.000	0.000	0.000	0.000	0.000	0.000	0	0
140834	0.000	0.000	0.000	0.000	0.000	0.000	0	0
140835	0.000	0.000	0.000	0.000	0.000	0.000	0	0
140836	0.000	0.000	0.000	0.000	0.000	0.000	0	0
140837	0.000	0.000	0.000	0.000	0.000	0.000	0	0
140838	0.000	0.000	0.000	0.000	0.000	0.000	0	0
140839	0.000	0.000	0.000	0.000	0.000	0.000	0	0
140840	0.000	0.000	0.000	0.000	0.000	0.000	0	0
140841	0.000	0.000	0.000	0.000	0.000	0.000	0	0
140842	0.000	0.000	0.000	0.000	0.000	0.000	0	0
140843	0.000	0.000	0.000	0.000	0.000	0.000	0	0
140844	0.000	0.000	0.000	0.000	0.000	0.000	0	0
140845	0.000	0.000	0.000	0.000	0.000	0.000	0	0
140846	0.000	0.000	0.000	0.000	0.000	0.000	0	0
140847	0.000	0.000	0.000	0.000	0.000	0.000	0	0
140848	0.000	0.000	0.000	0.000	0.000	0.000	0	0
140849	0.003	0.000	0.000	0.000	0.000	0.000	0	0
140850	0.024	0.000	0.000	0.000	0.000	0.000	0	0
140851	0.065	0.000	0.000	0.000	0.000	0.000	0	0
140852	0.126	0.000	0.000	0.000	0.000	0.000	0	0
140853	0.207	0.000	0.000	0.000	0.000	0.000	0	0
140854	0.310	0.000	0.000	0.000	0.000	0.000	0	0
140855	0.432	0.000	0.000	0.000	0.000	0.000	0	0
140856	0.575	0.000	0.000	0.000	0.000	0.000	0	0
140857	0.738	0.000	0.000	0.000	0.000	0.000	0	0
140858	0.922	0.000	0.000	0.000	0.000	0.000	0	0
140859	1.126	0.000	0.000	0.000	0.000	0.000	0	0
140860	1.350	0.000	0.000	0.000	0.000	0.000	0	0
