CYCLE	CMDPOS3	out_0.0	in_0.0
27065	0.000	0	0
27066	0.000	0	0
27067	0.000	0	0
27068	0.000	0	0
27069	0.000	0	0
27070	0.000	0	0
27071	0.000	0	0
27072	0.000	0	0
27073	0.000	0	0
27074	0.000	0	0
27075	0.000	0	0
27076	0.000	0	0
27077	0.000	0	0
27078	0.000	0	0
27079	0.000	0	0
27080	0.000	0	0
27081	0.000	0	0
27082	0.000	0	0
27083	0.000	0	0
27084	0.000	0	0
27085	0.000	0	0
27086	0.000	0	0
27087	0.000	0	0
27088	0.000	0	0
27089	0.000	0	0
27090	0.000	0	0
27091	0.000	0	0
27092	0.000	0	0
27093	0.000	0	0
27094	0.000	0	0
27095	0.000	0	0
27096	0.000	0	0
27097	0.000	0	0
27098	0.000	0	0
27099	0.000	0	0
27100	0.000	0	0
27101	0.000	0	0
27102	0.000	0	0
27103	0.000	0	0
27104	0.000	0	0
27105	0.000	0	0
27106	0.000	0	0
27107	0.000	0	0
27108	0.000	0	0
27109	0.000	0	0
27110	0.000	0	0
27111	0.000	0	0
27112	0.000	0	0
27113	0.000	0	0
27114	0.000	0	0
27115	0.000	0	0
27116	0.000	0	0
27117	0.000	0	0
27118	0.000	0	0
27119	0.000	0	0
27120	0.000	0	0
27121	0.000	0	0
27122	0.000	0	0
27123	0.000	0	0
27124	0.000	0	0
27125	0.000	0	0
27126	0.000	0	0
27127	0.000	0	0
27128	0.000	0	0
27129	0.000	0	0
27130	0.000	0	0
27131	0.000	0	0
27132	0.000	0	0
27133	0.000	0	0
27134	-0.000	0	0
27135	-0.000	0	0
27136	-0.001	0	0
27137	-0.004	0	0
27138	-0.010	0	0
27139	-0.020	0	0
27140	-0.037	0	0
27141	-0.063	0	0
27142	-0.100	0	0
27143	-0.148	0	0
27144	-0.209	0	0
27145	-0.283	0	0
27146	-0.370	0	0
27147	-0.471	0	0
27148	-0.586	0	0
27149	-0.714	0	0
27150	-0.855	0	0
27151	-1.010	0	0
27152	-1.178	0	0
27153	-1.360	0	0
27154	-1.556	0	0
27155	-1.764	0	0
27156	-1.987	0	0
27157	-2.222	0	0
27158	-2.471	0	0
27159	-2.734	0	0
27160	-3.010	0	0
27161	-3.300	0	0
27162	-3.603	0	0
27163	-3.919	0	0
27164	-4.249	0	0
27165	-4.593	0	0
27166	-4.949	0	0
27167	-5.320	0	0
27168	-5.703	0	0
27169	-6.100	0	0
27170	-6.508	0	0
27171	-6.926	0	0
27172	-7.354	0	0
27173	-7.788	0	0
27174	-8.226	0	0
27175	-8.668	0	0
27176	-9.111	0	0
27177	-9.556	0	0
27178	-10.000	0	0
27179	-10.444	0	0
27180	-10.889	0	0
27181	-11.332	0	0
27182	-11.774	0	0
27183	-12.212	0	0
27184	-12.646	0	0
27185	-13.074	0	0
27186	-13.492	0	0
27187	-13.900	0	0
27188	-14.297	0	0
27189	-14.680	0	0
27190	-15.051	0	0
27191	-15.407	0	0
27192	-15.751	0	0
27193	-16.081	0	0
27194	-16.397	0	0
27195	-16.700	0	0
27196	-16.990	0	0
27197	-17.266	0	0
27198	-17.529	0	0
27199	-17.778	0	0
27200	-18.013	0	0
27201	-18.236	0	0
27202	-18.444	0	0
27203	-18.640	0	0
27204	-18.822	0	0
27205	-18.990	0	0
27206	-19.145	0	0
27207	-19.286	0	0
27208	-19.414	0	0
27209	-19.529	0	0
27210	-19.630	0	0
27211	-19.717	0	0
27212	-19.791	0	0
27213	-19.852	0	0
27214	-19.900	0	0
27215	-19.937	0	0
27216	-19.963	0	0
27217	-19.980	0	0
27218	-19.990	0	0
27219	-19.996	0	0
27220	-19.999	0	0
27221	-20.000	0	0
27222	-20.000	0	0
27223	-20.000	0	0
27224	-20.000	0	0
27225	-20.000	0	0
27226	-20.000	0	0
27227	-20.000	0	0
