CYCLE	CMDPOS3	CMDPOS4	CMDPOS6	out_0.0	in_0.0
47228	0.000	0.000	0.000	0	0
47229	0.000	0.000	0.000	0	0
47230	0.000	0.000	0.000	0	0
47231	0.000	0.000	0.000	0	0
47232	0.000	0.000	0.000	0	0
47233	0.000	0.000	0.000	0	0
47234	0.000	0.000	0.000	0	0
47235	0.000	0.000	0.000	0	0
47236	0.000	0.000	0.000	0	0
47237	0.000	0.000	0.000	0	0
47238	0.000	0.000	0.000	0	0
47239	0.000	0.000	0.000	0	0
47240	0.000	0.000	0.000	0	0
47241	0.000	0.000	0.000	0	0
47242	0.000	0.000	0.000	0	0
47243	0.000	0.000	0.000	0	0
47244	0.000	0.000	0.000	0	0
47245	0.000	0.000	0.000	0	0
47246	0.000	0.000	0.000	0	0
47247	0.000	0.000	0.000	0	0
47248	0.000	0.000	0.000	0	0
47249	0.000	0.000	0.000	0	0
47250	0.000	0.000	0.000	0	0
47251	0.000	0.000	0.000	0	0
47252	0.000	0.000	0.000	0	0
47253	0.000	0.000	0.000	0	0
47254	0.000	0.000	0.000	0	0
47255	0.000	0.000	0.000	0	0
47256	0.000	0.000	0.000	0	0
47257	0.000	0.000	0.000	0	0
47258	0.000	0.000	0.000	0	0
47259	0.000	0.000	0.000	0	0
47260	0.000	0.000	0.000	0	0
47261	0.000	0.000	0.000	0	0
47262	0.000	0.000	0.000	0	0
47263	0.000	0.000	0.000	0	0
47264	0.000	0.000	0.000	0	0
47265	0.000	0.000	0.000	0	0
47266	0.000	0.000	0.000	0	0
47267	0.000	0.000	0.000	0	0
47268	0.000	0.000	0.000	0	0
47269	0.000	0.000	0.000	0	0
47270	0.000	0.000	0.000	0	0
47271	0.000	0.000	0.000	0	0
47272	0.000	0.000	0.000	0	0
47273	0.000	0.000	0.000	0	0
47274	0.000	0.000	0.000	0	0
47275	0.000	0.000	0.000	0	0
47276	0.000	0.000	0.000	0	0
47277	0.005	0.000	0.000	0	0
47278	0.020	0.005	0.000	0	0
47279	0.045	0.019	0.000	0	0
47280	0.080	0.044	0.000	0	0
47281	0.125	0.078	0.000	0	0
47282	0.180	0.122	0.000	0	0
47283	0.245	0.175	0.000	0	0
47284	0.320	0.238	0.000	0	0
47285	0.405	0.311	0.000	0	0
47286	0.500	0.394	0.000	0	0
47287	0.605	0.487	0.000	0	0
47288	0.720	0.589	0.000	0	0
47289	0.845	0.701	0.000	0	0
47290	0.980	0.822	0.000	0	0
47291	1.125	0.954	0.000	0	0
47292	1.280	1.095	0.000	0	0
47293	1.445	1.246	0.000	0	0
47294	1.620	1.406	0.000	0	0
47295	1.805	1.577	0.000	0	0
47296	2.000	1.757	0.000	0	0
47297	2.205	1.946	0.000	0	0
47298	2.420	2.146	0.000	0	0
47299	2.645	2.355	0.000	0	0
47300	2.880	2.574	0.000	0	0
47301	3.125	2.803	0.000	0	0
47302	3.380	3.041	0.000	0	0
47303	3.645	3.289	0.000	0	0
47304	3.920	3.547	0.000	0	0
47305	4.205	3.815	0.000	0	0
47306	4.500	4.092	0.000	0	0
47307	4.805	4.379	0.000	0	0
47308	5.120	4.676	0.000	0	0
47309	5.445	4.983	0.000	0	0
47310	5.780	5.299	0.000	0	0
47311	6.125	5.625	0.000	0	0
47312	6.480	5.961	0.000	0	0
47313	6.845	6.306	0.000	0	0
47314	7.220	6.661	0.000	0	0
47315	7.605	7.026	0.000	0	0
47316	8.000	7.401	0.000	0	0
47317	8.405	7.785	0.000	0	0
47318	8.820	8.180	0.000	0	0
47319	9.245	8.583	0.000	0	0
47320	9.680	8.997	0.000	0	0
47321	10.125	9.420	0.000	0	0
47322	10.580	9.853	0.000	0	0
47323	11.045	10.296	0.000	0	0
47324	11.520	10.749	0.000	0	0
47325	12.005	11.211	0.000	0	0
47326	12.500	11.683	0.000	0	0
47327	13.005	12.165	0.000	0	0
47328	13.520	12.656	0.000	0	0
47329	14.045	13.157	0.000	0	0
47330	14.580	13.668	0.000	0	0
47331	15.125	14.189	0.000	0	0
47332	15.680	14.719	0.000	0	0
47333	16.245	15.260	0.000	0	0
47334	16.820	15.809	0.000	0	0
47335	17.405	16.369	0.000	0	0
47336	18.000	16.938	0.000	0	0
47337	18.595	17.517	0.000	0	0
47338	19.180	18.106	0.000	0	0
47339	19.755	18.705	0.000	0	0
47340	20.320	19.313	0.000	0	0
47341	20.875	19.931	0.000	0	0
47342	21.420	20.558	0.000	0	0
47343	21.955	21.196	0.000	0	0
47344	22.480	21.843	0.000	0	0
47345	22.995	22.500	0.000	0	0
47346	23.500	23.157	0.000	0	0
47347	23.995	23.804	0.000	0	0
47348	24.480	24.442	0.000	0	0
47349	24.955	25.069	0.000	0	0
47350	25.420	25.687	0.000	0	0
47351	25.875	26.295	0.000	0	0
47352	26.320	26.894	0.000	0	0
47353	26.755	27.483	0.000	0	0
47354	27.180	28.062	0.000	0	0
47355	27.595	28.631	0.000	0	0
47356	28.000	29.191	0.000	0	0
47357	28.395	29.740	0.000	0	0
47358	28.780	30.281	0.000	0	0
47359	29.155	30.811	0.000	0	0
47360	29.520	31.332	0.000	0	0
47361	29.875	31.843	0.000	0	0
47362	30.220	32.344	0.000	0	0
47363	30.555	32.835	0.000	0	0
47364	30.880	33.317	0.000	0	0
47365	31.195	33.789	0.000	0	0
47366	31.500	34.251	0.000	0	0
47367	31.795	34.704	0.000	0	0
47368	32.080	35.147	0.000	0	0
47369	32.355	35.580	0.000	0	0
47370	32.620	36.003	0.000	0	0
47371	32.875	36.417	0.000	0	0
47372	33.120	36.820	0.000	0	0
47373	33.355	37.215	0.000	0	0
47374	33.580	37.599	0.000	0	0
47375	33.795	37.974	0.000	0	0
47376	34.000	38.339	0.000	0	0
47377	34.195	38.694	0.000	0	0
47378	34.380	39.039	0.000	0	0
47379	34.555	39.375	0.000	0	0
47380	34.720	39.701	0.000	0	0
47381	34.875	40.017	0.000	0	0
47382	35.020	40.324	0.000	0	0
47383	35.155	40.621	0.000	0	0
47384	35.280	40.908	0.000	0	0
47385	35.395	41.185	0.000	0	0
47386	35.500	41.453	0.000	0	0
47387	35.595	41.711	0.000	0	0
47388	35.680	41.959	0.000	0	0
47389	35.755	42.197	0.000	0	0
47390	35.820	42.426	0.000	0	0
47391	35.875	42.645	0.000	0	0
47392	35.920	42.854	0.000	0	0
47393	35.955	43.054	0.000	0	0
47394	35.980	43.243	0.000	0	0
47395	35.995	43.423	0.000	0	0
47396	36.000	43.594	0.000	0	0
47397	36.000	43.754	0.000	0	0
47398	36.000	43.905	0.000	0	0
47399	36.000	44.046	0.000	0	0
47400	36.000	44.178	0.000	0	0
47401	36.000	44.299	0.000	0	0
47402	36.000	44.411	0.000	0	0
47403	36.000	44.513	0.000	0	0
47404	36.000	44.606	0.000	0	0
47405	36.000	44.689	0.000	0	0
47406	36.000	44.762	0.000	0	0
47407	36.000	44.825	0.000	0	0
47408	36.000	44.878	0.000	0	0
47409	36.000	44.922	0.000	0	0
47410	36.000	44.956	0.000	0	0
47411	36.000	44.981	0.000	0	0
47412	36.000	44.995	0.000	0	0
47413	36.000	45.000	0.000	0	0
47414	36.000	45.000	0.000	0	0
47415	36.000	45.000	0.005	0	0
47416	36.000	45.000	0.020	0	0
47417	36.000	45.000	0.045	0	0
47418	36.000	45.000	0.080	0	0
47419	36.000	45.000	0.125	0	0
47420	36.000	45.000	0.180	0	0
47421	36.000	45.000	0.245	0	0
47422	36.000	45.000	0.320	0	0
47423	36.000	45.000	0.405	0	0
47424	36.000	45.000	0.500	0	0
47425	36.000	45.000	0.605	0	0
47426	36.000	45.000	0.720	0	0
47427	36.000	45.000	0.845	0	0
47428	36.000	45.000	0.980	0	0
47429	36.000	45.000	1.125	0	0
47430	36.000	45.000	1.280	0	0
47431	36.000	45.000	1.445	0	0
47432	36.000	45.000	1.620	0	0
47433	36.000	45.000	1.805	0	0
47434	36.000	45.000	2.000	0	0
47435	36.000	45.000	2.205	0	0
47436	36.000	45.000	2.420	0	0
47437	36.000	45.000	2.645	0	0
47438	36.000	45.000	2.880	0	0
47439	36.000	45.000	3.125	0	0
47440	36.000	45.000	3.380	0	0
47441	36.000	45.000	3.645	0	0
47442	36.000	45.000	3.920	0	0
47443	36.000	45.000	4.205	0	0
47444	36.000	45.000	4.500	0	0
47445	36.000	45.000	4.805	0	0
47446	36.000	45.000	5.120	0	0
