CYCLE	CMDPOS2	CMDPOS10	out_0.0	in_0.0
128178	0.000	0.000	0	0
128179	0.000	0.000	0	0
128180	0.000	0.000	0	0
128181	0.000	0.000	0	0
128182	0.000	0.000	0	0
128183	0.000	0.000	0	0
128184	0.000	0.000	0	0
128185	0.000	0.000	0	0
128186	0.000	0.000	0	0
128187	0.000	0.000	0	0
128188	0.000	0.000	0	0
128189	0.000	0.000	0	0
128190	0.000	0.000	0	0
128191	0.000	0.000	0	0
128192	0.000	0.000	0	0
128193	0.000	0.000	0	0
128194	0.000	0.000	0	0
128195	0.000	0.000	0	0
128196	0.000	0.000	0	0
128197	0.000	0.000	0	0
128198	0.000	0.000	0	0
128199	0.000	0.000	0	0
128200	0.000	0.000	0	0
128201	0.000	0.000	0	0
128202	0.000	0.000	0	0
128203	0.000	0.000	0	0
128204	0.000	0.000	0	0
128205	0.000	0.000	0	0
128206	0.000	0.000	0	0
128207	0.000	0.000	0	0
128208	0.000	0.000	0	0
128209	0.000	0.000	0	0
128210	0.000	0.000	0	0
128211	0.000	0.000	0	0
128212	0.000	0.000	0	0
128213	0.000	0.000	0	0
128214	0.000	0.000	0	0
128215	0.000	0.000	0	0
128216	0.000	0.000	0	0
128217	0.000	0.000	0	0
128218	0.000	0.000	0	0
128219	0.000	0.000	0	0
128220	0.000	0.000	0	0
128221	0.000	0.000	0	0
128222	0.000	0.000	0	0
128223	0.000	0.000	0	0
128224	0.000	0.000	0	0
128225	0.000	0.000	0	0
128226	0.000	0.000	0	0
128227	0.000	0.000	0	0
128228	0.000	0.000	0	0
128229	0.000	0.000	0	0
128230	0.000	0.000	0	0
128231	0.000	0.000	0	0
128232	0.000	0.000	0	0
128233	0.000	0.000	0	0
128234	0.000	0.000	0	0
128235	0.000	0.000	0	0
128236	0.000	0.000	0	0
128237	0.000	0.000	0	0
128238	0.000	0.000	0	0
128239	0.000	-0.005	0	0
128240	0.000	-0.020	0	0
128241	0.000	-0.045	0	0
128242	0.000	-0.080	0	0
128243	0.000	-0.125	0	0
128244	0.000	-0.180	0	0
128245	0.000	-0.245	0	0
128246	0.000	-0.320	0	0
128247	0.000	-0.405	0	0
128248	0.000	-0.500	0	0
128249	0.000	-0.605	0	0
128250	0.000	-0.720	0	0
128251	0.000	-0.845	0	0
128252	0.000	-0.980	0	0
128253	0.000	-1.125	0	0
128254	0.000	-1.280	0	0
128255	0.000	-1.445	0	0
128256	0.000	-1.620	0	0
128257	0.000	-1.805	0	0
128258	0.000	-2.000	0	0
128259	0.000	-2.205	0	0
128260	0.000	-2.420	0	0
128261	0.000	-2.644	0	0
128262	0.000	-2.879	0	0
128263	0.000	-3.124	0	0
128264	0.000	-3.379	0	0
128265	0.000	-3.644	0	0
128266	0.000	-3.919	0	0
128267	0.000	-4.204	0	0
128268	0.000	-4.499	0	0
128269	0.000	-4.804	0	0
128270	0.000	-5.119	0	0
128271	0.000	-5.444	0	0
128272	0.000	-5.779	0	0
128273	0.000	-6.124	0	0
128274	0.000	-6.479	0	0
128275	0.000	-6.844	0	0
128276	0.000	-7.219	0	0
128277	0.000	-7.603	0	0
128278	0.000	-7.998	0	0
128279	0.000	-8.403	0	0
128280	0.000	-8.818	0	0
128281	0.000	-9.243	0	0
128282	0.000	-9.678	0	0
128283	0.000	-10.123	0	0
128284	0.000	-10.578	0	0
128285	0.000	-11.043	0	0
128286	0.000	-11.518	0	0
128287	0.000	-12.003	0	0
128288	0.000	-12.498	0	0
128289	0.000	-13.002	0	0
128290	0.000	-13.517	0	0
128291	0.000	-14.042	0	0
128292	0.000	-14.577	0	0
128293	0.000	-15.122	0	0
128294	0.000	-15.677	0	0
128295	0.000	-16.242	0	0
128296	0.000	-16.817	0	0
128297	0.000	-17.402	0	0
128298	0.000	-17.996	0	0
128299	0.000	-18.596	0	0
128300	0.000	-19.196	0	0
128301	0.000	-19.796	0	0
128302	0.000	-20.396	0	0
128303	0.000	-20.996	0	0
128304	0.000	-21.596	0	0
128305	0.000	-22.196	0	0
128306	0.000	-22.795	0	0
128307	0.000	-23.395	0	0
128308	0.000	-23.995	0	0
128309	0.000	-24.595	0	0
128310	0.000	-25.195	0	0
128311	0.000	-25.795	0	0
128312	0.000	-26.395	0	0
128313	0.000	-26.995	0	0
128314	0.000	-27.594	0	0
128315	0.000	-28.194	0	0
128316	0.000	-28.794	0	0
128317	0.000	-29.394	0	0
128318	0.000	-29.994	0	0
128319	0.000	-30.594	0	0
128320	0.000	-31.194	0	0
128321	0.000	-31.794	0	0
128322	0.000	-32.394	0	0
128323	0.000	-32.993	0	0
128324	0.000	-33.593	0	0
128325	0.000	-34.193	0	0
128326	0.000	-34.793	0	0
128327	0.000	-35.393	0	0
128328	0.000	-35.993	0	0
128329	0.000	-36.593	0	0
128330	0.000	-37.193	0	0
128331	0.000	-37.792	0	0
128332	0.000	-38.392	0	0
128333	0.000	-38.992	0	0
128334	0.000	-39.592	0	0
128335	0.000	-40.192	0	0
128336	0.000	-40.792	0	0
128337	0.000	-41.392	0	0
128338	0.000	-41.992	0	0
128339	0.000	-42.591	0	0
128340	0.000	-43.191	0	0
128341	0.000	-43.791	0	0
128342	0.000	-44.391	0	0
128343	0.000	-44.991	0	0
128344	0.000	-45.591	0	0
128345	0.000	-46.191	0	0
128346	0.000	-46.791	0	0
128347	0.000	-47.391	0	0
128348	0.000	-47.990	0	0
128349	0.000	-48.590	0	0
128350	0.000	-49.190	0	0
128351	0.000	-49.790	0	0
128352	0.000	-50.390	0	0
