CYCLE	CMDPOS1	CMDPOS2	CMDPOS3	CMDPOS4	out_0.0	in_0.0
1540	0.000	0.000	0.000	0.000	0	0
1541	0.000	0.000	0.000	0.000	0	0
1542	0.000	0.000	0.000	0.000	0	0
1543	0.000	0.000	0.000	0.000	0	0
1544	0.000	0.000	0.000	0.000	0	0
1545	0.000	0.000	0.000	0.000	0	0
1546	0.000	0.000	0.000	0.000	0	0
1547	0.000	0.000	0.000	0.000	0	0
1548	0.000	0.000	0.000	0.000	0	0
1549	0.000	0.000	0.000	0.000	0	0
1550	0.000	0.000	0.000	0.000	0	0
1551	0.000	0.000	0.000	0.000	0	0
1552	0.000	0.000	0.000	0.000	0	0
1553	0.000	0.000	0.000	0.000	0	0
1554	0.000	0.000	0.000	0.000	0	0
1555	0.000	0.000	0.000	0.000	0	0
1556	0.000	0.000	0.000	0.000	0	0
1557	0.000	0.000	0.000	0.000	0	0
1558	0.000	0.000	0.000	0.000	0	0
1559	0.000	0.000	0.000	0.000	0	0
1560	0.000	0.000	0.000	0.000	0	0
1561	0.000	0.000	0.000	0.000	0	0
1562	0.000	0.000	0.000	0.000	0	0
1563	0.000	0.000	0.000	0.000	0	0
1564	0.000	0.000	0.000	0.000	0	0
1565	0.000	0.000	0.000	0.000	0	0
1566	0.000	0.000	0.000	0.000	0	0
1567	0.000	0.000	0.000	0.000	0	0
1568	0.000	0.000	0.000	0.000	0	0
1569	0.000	0.000	0.000	0.000	0	0
1570	0.000	0.000	0.000	0.000	0	0
1571	0.000	0.000	0.000	0.000	0	0
1572	0.000	0.000	0.000	0.000	0	0
1573	0.000	0.000	0.000	0.000	0	0
1574	0.000	0.000	0.000	0.000	0	0
1575	0.000	0.000	0.000	0.000	0	0
1576	0.000	0.000	0.000	0.000	0	0
1577	0.000	0.000	0.000	0.000	0	0
1578	0.000	0.000	0.000	0.000	0	0
1579	0.000	0.000	0.000	0.000	0	0
1580	0.000	0.000	0.000	0.000	0	0
1581	0.000	0.000	0.000	0.000	0	0
1582	0.000	0.000	0.000	0.000	0	0
1583	0.000	0.000	0.000	0.000	0	0
1584	0.000	0.000	0.000	0.000	0	0
1585	0.000	0.000	0.000	0.000	0	0
1586	0.000	0.000	0.000	0.000	0	0
