CYCLE	CMDPOS4	CMPCMDPOS4	out_0.0	in_0.0
918	0.000	0.000	0	0
919	0.000	0.000	0	0
920	0.000	0.000	0	0
921	0.000	0.000	0	0
922	0.000	0.000	0	0
923	0.000	0.000	0	0
924	0.000	0.000	0	0
925	0.000	2.000	0	0
926	0.005	2.006	0	0
927	0.020	2.024	0	0
928	0.045	2.054	0	0
929	0.080	2.096	0	0
930	0.125	2.150	0	0
931	0.180	2.216	0	0
932	0.244	2.293	0	0
933	0.319	2.383	0	0
934	0.404	2.485	0	0
935	0.499	2.599	0	0
936	0.604	2.724	0	0
937	0.718	2.862	0	0
938	0.843	3.012	0	0
939	0.978	3.173	0	0
940	1.122	3.347	0	0
941	1.277	3.533	0	0
942	1.442	3.730	0	0
943	1.616	3.940	0	0
944	1.801	4.161	0	0
945	1.995	4.395	0	0
946	2.200	4.640	0	0
947	2.415	4.897	0	0
948	2.639	5.167	0	0
949	2.873	5.448	0	0
950	3.118	5.741	0	0
951	3.372	6.047	0	0
952	3.637	6.364	0	0
953	3.911	6.693	0	0
954	4.195	7.035	0	0
955	4.490	7.388	0	0
956	4.794	7.753	0	0
957	5.108	8.130	0	0
958	5.433	8.519	0	0
959	5.767	8.920	0	0
960	6.111	9.333	0	0
961	6.465	9.758	0	0
962	6.829	10.195	0	0
963	7.204	10.644	0	0
964	7.588	11.105	0	0
965	7.982	11.578	0	0
966	8.386	12.063	0	0
967	8.800	12.560	0	0
968	9.224	13.069	0	0
969	9.658	13.590	0	0
970	10.102	14.122	0	0
971	10.556	14.667	0	0
972	11.020	15.224	0	0
973	11.494	15.793	0	0
974	11.978	16.373	0	0
975	12.472	16.966	0	0
976	12.976	17.571	0	0
977	13.489	18.187	0	0
978	14.013	18.816	0	0
979	14.547	19.456	0	0
980	15.091	20.109	0	0
981	15.644	20.773	0	0
982	16.208	21.450	0	0
983	16.782	22.138	0	0
984	17.366	22.839	0	0
985	17.959	23.551	0	0
986	18.563	24.275	0	0
987	19.176	25.012	0	0
988	19.800	25.760	0	0
989	20.434	26.520	0	0
990	21.077	27.293	0	0
991	21.731	28.077	0	0
992	22.394	28.873	0	0
993	23.068	29.681	0	0
994	23.751	30.501	0	0
995	24.444	31.333	0	0
996	25.148	32.177	0	0
997	25.861	33.033	0	0
998	26.585	33.901	0	0
999	27.318	34.781	0	0
1000	28.061	35.673	0	0
1001	28.815	36.577	0	0
1002	29.578	37.493	0	0
1003	30.351	38.421	0	0
1004	31.134	39.361	0	0
