CYCLE	CMDPOS6	CMDPOS7	CMDPOS8	out_0.0	in_0.0
1820	0.000	0.000	-0.000	0	0
1821	0.000	0.000	-0.000	0	0
1822	0.000	0.000	-0.000	0	0
1823	0.000	0.000	-0.000	0	0
1824	0.000	0.000	-0.000	0	0
1825	0.000	0.000	-0.000	0	0
1826	0.000	0.000	-0.000	0	0
1827	0.000	0.000	-0.000	0	0
1828	0.000	0.000	-0.000	0	0
1829	0.000	0.000	-0.000	0	0
1830	0.000	0.000	-0.000	0	0
1831	0.000	0.000	-0.000	0	0
1832	0.000	0.000	-0.000	0	0
1833	0.000	0.000	-0.000	0	0
1834	0.000	0.000	-0.000	0	0
1835	0.000	0.000	-0.000	0	0
1836	0.000	0.000	-0.000	0	0
1837	0.000	0.000	-0.000	0	0
1838	0.000	0.000	-0.000	0	0
1839	0.000	0.000	-0.000	0	0
1840	0.000	0.000	-0.000	0	0
1841	0.000	0.000	-0.000	0	0
1842	0.000	0.000	-0.000	0	0
1843	0.000	0.000	-0.000	0	0
1844	0.000	0.000	-0.000	0	0
1845	0.000	0.000	-0.000	0	0
1846	0.000	0.000	-0.000	0	0
1847	0.000	0.000	-0.000	0	0
1848	0.000	0.000	-0.000	0	0
1849	0.000	0.000	-0.000	0	0
1850	0.000	0.000	-0.000	0	0
1851	0.000	0.000	-0.000	0	0
1852	0.000	0.000	-0.000	0	0
1853	0.000	0.000	-0.000	0	0
1854	0.000	0.000	-0.000	0	0
1855	0.000	0.000	-0.000	0	0
1856	0.000	0.000	-0.000	0	0
1857	0.000	0.000	-0.000	0	0
1858	0.000	0.000	-0.000	0	0
1859	0.000	0.000	-0.000	0	0
1860	0.000	0.000	-0.000	0	0
1861	0.000	0.000	-0.000	0	0
1862	0.000	0.000	-0.000	0	0
1863	0.000	0.000	-0.000	0	0
1864	0.000	0.000	-0.000	0	0
1865	0.000	0.000	-0.000	0	0
1866	0.000	0.000	-0.000	0	0
1867	0.000	0.000	-0.000	0	0
1868	0.000	0.000	-0.000	0	0
1869	0.000	0.000	-0.000	0	0
1870	0.000	0.000	-0.000	0	0
1871	0.000	0.000	-0.000	0	0
1872	0.000	0.000	-0.000	0	0
1873	0.000	0.000	-0.000	0	0
1874	0.000	0.000	-0.000	0	0
1875	0.000	0.000	-0.000	0	0
1876	0.000	0.000	-0.000	0	0
1877	0.000	0.000	-0.000	0	0
1878	0.000	0.000	-0.000	0	0
1879	0.000	0.000	-0.000	0	0
1880	0.000	0.000	-0.000	0	0
1881	0.000	0.000	-0.000	0	0
1882	0.000	0.000	-0.000	0	0
1883	0.000	0.000	-0.000	0	0
1884	0.000	0.000	-0.000	0	0
1885	0.000	0.000	-0.000	0	0
1886	0.000	0.000	-0.000	0	0
1887	0.000	0.000	-0.000	0	0
1888	0.000	0.000	-0.000	0	0
1889	0.000	0.000	-0.000	0	0
1890	0.000	0.000	-0.000	0	0
1891	0.000	0.000	-0.000	0	0
1892	0.000	0.000	-0.000	0	0
1893	0.000	0.000	-0.000	0	0
1894	0.000	0.000	-0.000	0	0
1895	0.002	0.000	-0.000	0	0
1896	0.004	0.000	-0.000	0	0
1897	0.008	0.000	-0.000	0	0
1898	0.012	0.000	-0.000	0	0
1899	0.018	0.000	-0.000	0	0
1900	0.024	0.000	-0.000	0	0
1901	0.032	0.000	-0.000	0	0
1902	0.040	0.000	-0.000	0	0
1903	0.050	0.000	-0.000	0	0
1904	0.060	0.000	-0.000	0	0
1905	0.071	0.000	-0.000	0	0
1906	0.084	0.000	-0.000	0	0
1907	0.097	0.000	-0.000	0	0
1908	0.112	0.000	-0.000	0	0
1909	0.127	0.000	-0.000	0	0
1910	0.143	0.000	-0.000	0	0
1911	0.161	0.000	-0.000	0	0
1912	0.179	0.000	-0.000	0	0
1913	0.198	0.000	-0.000	0	0
1914	0.219	0.000	-0.000	0	0
1915	0.240	0.000	-0.000	0	0
1916	0.262	0.000	-0.000	0	0
1917	0.286	0.000	-0.000	0	0
1918	0.310	0.000	-0.000	0	0
1919	0.335	0.000	-0.000	0	0
1920	0.362	0.000	-0.000	0	0
1921	0.389	0.000	-0.000	0	0
1922	0.417	0.000	-0.000	0	0
1923	0.446	0.000	-0.000	0	0
1924	0.477	0.000	-0.000	0	0
1925	0.508	0.000	-0.000	0	0
1926	0.540	0.000	-0.000	0	0
1927	0.573	0.000	-0.000	0	0
1928	0.608	0.000	-0.000	0	0
1929	0.643	0.000	-0.000	0	0
1930	0.679	0.000	-0.000	0	0
1931	0.716	0.000	-0.000	0	0
1932	0.754	0.000	-0.000	0	0
1933	0.793	0.000	-0.000	0	0
1934	0.834	0.000	-0.000	0	0
1935	0.875	0.000	-0.000	0	0
1936	0.917	0.000	-0.000	0	0
1937	0.960	0.000	-0.000	0	0
1938	1.004	0.000	-0.000	0	0
1939	1.049	0.000	-0.000	0	0
1940	1.096	0.000	-0.000	0	0
1941	1.143	0.000	-0.000	0	0
1942	1.191	0.000	-0.000	0	0
1943	1.240	0.000	-0.000	0	0
1944	1.290	0.000	-0.000	0	0
1945	1.341	0.000	-0.000	0	0
1946	1.393	0.000	-0.000	0	0
1947	1.446	0.000	-0.000	0	0
1948	1.500	0.000	-0.000	0	0
1949	1.555	0.000	-0.000	0	0
1950	1.611	0.000	-0.000	0	0
1951	1.668	0.000	-0.000	0	0
1952	1.726	0.000	-0.000	0	0
1953	1.785	0.000	-0.000	0	0
1954	1.845	0.000	-0.000	0	0
1955	1.906	0.000	-0.000	0	0
1956	1.968	0.000	-0.000	0	0
1957	2.031	0.000	-0.000	0	0
1958	2.095	0.000	-0.000	0	0
1959	2.160	0.000	-0.000	0	0
1960	2.226	0.000	-0.000	0	0
1961	2.293	0.000	-0.000	0	0
1962	2.361	0.000	-0.000	0	0
1963	2.430	0.000	-0.000	0	0
1964	2.500	0.000	-0.000	0	0
1965	2.571	0.000	-0.000	0	0
1966	2.643	0.000	-0.000	0	0
1967	2.716	0.000	-0.000	0	0
1968	2.790	0.000	-0.000	0	0
1969	2.865	0.000	-0.000	0	0
1970	2.940	0.000	-0.000	0	0
1971	3.017	0.000	-0.000	0	0
1972	3.095	0.000	-0.000	0	0
1973	3.174	0.000	-0.000	0	0
1974	3.254	0.000	-0.000	0	0
1975	3.335	0.000	-0.000	0	0
1976	3.416	0.000	-0.000	0	0
1977	3.499	0.000	-0.000	0	0
1978	3.583	0.000	-0.000	0	0
1979	3.668	0.000	-0.000	0	0
1980	3.754	0.000	-0.000	0	0
1981	3.841	0.000	-0.000	0	0
1982	3.928	0.000	-0.000	0	0
1983	4.017	0.000	-0.000	0	0
1984	4.107	0.000	-0.000	0	0
1985	4.198	0.000	-0.000	0	0
1986	4.289	0.000	-0.000	0	0
1987	4.382	0.000	-0.000	0	0
1988	4.476	0.000	-0.000	0	0
1989	4.571	0.000	-0.000	0	0
1990	4.666	0.000	-0.000	0	0
1991	4.763	0.000	-0.000	0	0
1992	4.861	0.000	-0.000	0	0
1993	4.959	0.000	-0.000	0	0
1994	5.059	0.000	-0.000	0	0
1995	5.160	0.000	-0.000	0	0
1996	5.261	0.000	-0.000	0	0
1997	5.364	0.000	-0.000	0	0
1998	5.468	0.000	-0.000	0	0
1999	5.572	0.000	-0.000	0	0
2000	5.678	0.000	-0.000	0	0
2001	5.785	0.000	-0.000	0	0
2002	5.892	0.000	-0.000	0	0
2003	6.001	0.000	-0.000	0	0
2004	6.110	0.000	-0.000	0	0
2005	6.221	0.000	-0.000	0	0
2006	6.333	0.000	-0.000	0	0
2007	6.445	0.000	-0.000	0	0
2008	6.559	0.000	-0.000	0	0
2009	6.673	0.000	-0.000	0	0
2010	6.789	0.000	-0.000	0	0
2011	6.905	0.000	-0.000	0	0
2012	7.023	0.000	-0.000	0	0
2013	7.141	0.000	-0.000	0	0
2014	7.261	0.000	-0.000	0	0
2015	7.381	0.000	-0.000	0	0
2016	7.503	0.000	-0.000	0	0
2017	7.625	0.000	-0.000	0	0
2018	7.749	0.000	-0.000	0	0
2019	7.873	0.000	-0.000	0	0
2020	7.999	0.000	-0.000	0	0
2021	8.125	0.000	-0.000	0	0
2022	8.253	0.000	-0.000	0	0
2023	8.381	0.000	-0.000	0	0
2024	8.511	0.000	-0.000	0	0
2025	8.641	0.000	-0.000	0	0
2026	8.773	0.000	-0.000	0	0
2027	8.905	0.000	-0.000	0	0
2028	9.038	0.000	-0.000	0	0
2029	9.173	0.000	-0.000	0	0
2030	9.308	0.000	-0.000	0	0
2031	9.445	0.000	-0.000	0	0
2032	9.582	0.000	-0.000	0	0
2033	9.720	0.000	-0.000	0	0
2034	9.860	0.000	-0.000	0	0
2035	10.000	0.000	-0.000	0	0
2036	10.140	0.000	-0.000	0	0
