CYCLE	CMDPOS6	out_0.0	in_0.0
1088	0.000	0	0
1089	0.000	0	0
1090	0.000	0	0
1091	0.000	0	0
1092	0.000	0	0
1093	0.000	0	0
1094	0.000	0	0
1095	0.000	0	0
1096	0.000	0	0
1097	0.000	0	0
1098	0.000	0	0
1099	0.000	0	0
1100	0.000	0	0
1101	0.000	0	0
1102	0.000	0	0
1103	0.000	0	0
1104	0.000	0	0
1105	0.000	0	0
1106	0.000	0	0
1107	0.000	0	0
1108	0.000	0	0
1109	0.000	0	0
1110	0.000	0	0
1111	0.000	0	0
1112	0.000	0	0
1113	0.000	0	0
1114	0.000	0	0
1115	0.000	0	0
1116	0.000	0	0
1117	0.000	0	0
1118	0.000	0	0
1119	0.000	0	0
1120	0.000	0	0
1121	0.000	0	0
1122	0.000	0	0
1123	0.000	0	0
1124	0.000	0	0
1125	0.000	0	0
1126	0.000	0	0
1127	0.000	0	0
1128	0.000	0	0
1129	0.000	0	0
1130	0.000	0	0
1131	0.000	0	0
1132	0.000	0	0
1133	0.000	0	0
1134	0.000	0	0
1135	0.000	0	0
1136	0.000	0	0
1137	0.000	0	0
1138	0.000	0	0
1139	0.000	0	0
1140	0.000	0	0
1141	0.000	0	0
1142	0.000	0	0
1143	0.000	0	0
1144	0.000	0	0
1145	0.000	0	0
1146	0.000	0	0
1147	0.000	0	0
1148	0.000	0	0
1149	0.000	0	0
1150	0.000	0	0
1151	0.000	0	0
1152	0.000	0	0
1153	0.000	0	0
1154	0.000	0	0
1155	0.000	0	0
1156	0.000	0	0
1157	0.000	0	0
1158	0.000	0	0
1159	0.000	0	0
1160	0.000	0	0
1161	0.000	0	0
1162	0.000	0	0
1163	0.000	0	0
1164	0.000	0	0
1165	0.000	0	0
1166	0.000	0	0
1167	0.000	0	0
1168	0.000	0	0
1169	0.000	0	0
1170	-0.060	0	0
1171	-0.120	0	0
1172	-0.180	0	0
1173	-0.240	0	0
1174	-0.300	0	0
1175	-0.360	0	0
1176	-0.420	0	0
1177	-0.480	0	0
1178	-0.540	0	0
1179	-0.600	0	0
1180	-0.660	0	0
1181	-0.720	0	0
1182	-0.780	0	0
1183	-0.840	0	0
1184	-0.900	0	0
1185	-0.960	0	0
1186	-1.020	0	0
1187	-1.080	0	0
1188	-1.140	0	0
1189	-1.200	0	0
1190	-1.260	0	0
1191	-1.320	0	0
1192	-1.380	0	0
1193	-1.440	0	0
1194	-1.500	0	0
1195	-1.560	0	0
1196	-1.620	0	0
1197	-1.680	0	0
1198	-1.740	0	0
1199	-1.800	0	0
1200	-1.860	0	0
1201	-1.920	0	0
1202	-1.980	0	0
1203	-2.040	0	0
1204	-2.100	0	0
1205	-2.160	0	0
1206	-2.220	0	0
1207	-2.280	0	0
1208	-2.340	0	0
1209	-2.400	0	0
1210	-2.460	0	0
1211	-2.520	0	0
1212	-2.580	0	0
1213	-2.640	0	0
1214	-2.700	0	0
1215	-2.760	0	0
1216	-2.820	0	0
1217	-2.880	0	0
1218	-2.940	0	0
1219	-3.000	0	0
1220	-3.060	0	0
1221	-3.120	0	0
1222	-3.180	0	0
1223	-3.240	0	0
1224	-3.300	0	0
1225	-3.360	0	0
1226	-3.420	0	0
1227	-3.480	0	0
1228	-3.540	0	0
1229	-3.600	0	0
1230	-3.660	0	0
1231	-3.720	0	0
1232	-3.780	0	0
1233	-3.840	0	0
1234	-3.900	0	0
1235	-3.960	0	0
1236	-4.020	0	0
1237	-4.080	0	0
1238	-4.140	0	0
1239	-4.200	0	0
1240	-4.260	0	0
1241	-4.320	0	0
1242	-4.380	0	0
1243	-4.440	0	0
1244	-4.500	0	0
1245	-4.560	0	0
1246	-4.620	0	0
1247	-4.680	0	0
1248	-4.740	0	0
1249	-4.800	0	0
1250	-4.860	0	0
1251	-4.920	0	0
1252	-4.980	0	0
1253	-5.040	0	0
1254	-5.100	0	0
1255	-5.160	0	0
1256	-5.220	0	0
1257	-5.280	0	0
1258	-5.340	0	0
1259	-5.400	0	0
1260	-5.460	0	0
1261	-5.520	0	0
1262	-5.580	0	0
1263	-5.640	0	0
1264	-5.700	0	0
1265	-5.760	0	0
1266	-5.820	0	0
1267	-5.880	0	0
1268	-5.940	0	0
1269	-6.000	0	0
1270	-5.940	0	0
1271	-5.880	0	0
1272	-5.820	0	0
1273	-5.760	0	0
1274	-5.700	0	0
1275	-5.640	0	0
1276	-5.580	0	0
1277	-5.520	0	0
1278	-5.460	0	0
1279	-5.400	0	0
1280	-5.340	0	0
1281	-5.280	0	0
1282	-5.220	0	0
1283	-5.160	0	0
1284	-5.100	0	0
1285	-5.040	0	0
1286	-4.980	0	0
1287	-4.920	0	0
1288	-4.860	0	0
1289	-4.800	0	0
1290	-4.740	0	0
1291	-4.680	0	0
1292	-4.620	0	0
1293	-4.560	0	0
1294	-4.500	0	0
1295	-4.440	0	0
1296	-4.380	0	0
1297	-4.320	0	0
1298	-4.260	0	0
1299	-4.200	0	0
1300	-4.140	0	0
1301	-4.080	0	0
1302	-4.020	0	0
1303	-3.960	0	0
1304	-3.900	0	0
1305	-3.840	0	0
1306	-3.780	0	0
1307	-3.720	0	0
1308	-3.660	0	0
1309	-3.600	0	0
1310	-3.540	0	0
1311	-3.480	0	0
1312	-3.420	0	0
1313	-3.360	0	0
1314	-3.300	0	0
1315	-3.240	0	0
1316	-3.180	0	0
1317	-3.120	0	0
1318	-3.060	0	0
1319	-3.000	0	0
1320	-2.940	0	0
1321	-2.880	0	0
1322	-2.820	0	0
1323	-2.760	0	0
1324	-2.700	0	0
1325	-2.640	0	0
1326	-2.580	0	0
1327	-2.520	0	0
1328	-2.460	0	0
1329	-2.400	0	0
1330	-2.340	0	0
1331	-2.280	0	0
1332	-2.220	0	0
1333	-2.160	0	0
1334	-2.100	0	0
1335	-2.040	0	0
1336	-1.980	0	0
1337	-1.920	0	0
1338	-1.860	0	0
1339	-1.800	0	0
1340	-1.740	0	0
1341	-1.680	0	0
1342	-1.620	0	0
