CYCLE	CMDPOS2	CMDPOS4	CMDPOS5	out_0.0	in_0.0
1788	0.000	0.000	0.000	0	0
1789	0.000	0.000	0.000	0	0
1790	0.000	0.000	0.000	0	0
1791	0.000	0.000	0.000	0	0
1792	0.000	0.000	0.000	0	0
1793	0.000	0.000	0.000	0	0
1794	0.000	0.000	0.000	0	0
1795	0.000	0.000	0.000	0	0
1796	0.000	0.000	0.000	0	0
1797	0.000	0.000	0.000	0	0
1798	0.000	0.000	0.000	0	0
1799	0.000	0.000	0.000	0	0
1800	0.000	0.000	0.000	0	0
1801	0.000	0.000	0.000	0	0
1802	0.000	0.000	0.000	0	0
1803	0.000	0.000	0.000	0	0
1804	0.000	0.000	0.000	0	0
1805	0.000	0.000	0.000	0	0
1806	0.000	0.000	0.000	0	0
1807	0.000	0.000	0.000	0	0
1808	0.000	0.000	0.000	0	0
1809	0.000	0.000	0.000	0	0
1810	0.000	0.000	0.000	0	0
1811	0.000	0.000	0.000	0	0
1812	0.000	0.000	0.000	0	0
1813	0.000	0.000	0.000	0	0
1814	0.000	0.000	0.000	0	0
1815	0.000	0.000	0.000	0	0
1816	0.000	0.000	0.000	0	0
1817	0.000	0.000	0.000	0	0
1818	0.000	0.000	0.000	0	0
1819	0.000	0.000	0.000	0	0
1820	0.000	0.000	0.000	0	0
1821	0.000	0.000	0.000	0	0
1822	0.000	0.000	0.000	0	0
1823	0.000	0.000	0.000	0	0
1824	0.000	0.000	0.000	0	0
1825	0.000	0.000	0.000	0	0
1826	0.000	0.000	0.000	0	0
1827	0.000	0.000	0.000	0	0
1828	0.000	0.000	0.000	0	0
1829	0.000	0.000	0.000	0	0
1830	0.000	0.000	0.000	0	0
1831	0.000	0.000	0.000	0	0
1832	0.000	0.000	0.000	0	0
1833	0.000	0.000	0.000	0	0
1834	0.000	0.000	0.000	0	0
1835	0.000	0.000	0.000	0	0
1836	0.000	0.000	0.000	0	0
1837	0.000	0.000	0.000	0	0
1838	0.000	0.000	0.000	0	0
1839	0.000	0.000	0.000	0	0
1840	0.000	0.000	0.000	0	0
1841	0.000	0.000	0.000	0	0
1842	0.000	0.000	0.000	0	0
1843	0.000	0.000	0.000	0	0
1844	0.000	0.000	0.000	0	0
1845	0.000	0.000	0.000	0	0
1846	0.000	0.000	0.000	0	0
1847	0.000	0.000	0.000	0	0
1848	0.000	0.000	0.000	0	0
