CYCLE	CMDPOS3	CMDPOS4	CMDPOS5	CMDPOS6	CMDPOS7	out_0.0	in_0.0
48669	0.000	0.000	0.000	0.000	0.000	0	0
48670	0.000	0.000	0.000	0.000	0.000	0	0
48671	0.000	0.000	0.000	0.000	0.000	0	0
48672	0.000	0.000	0.000	0.000	0.000	0	0
48673	0.000	0.000	0.000	0.000	0.000	0	0
48674	0.000	0.000	0.000	0.000	0.000	0	0
48675	0.000	0.000	0.000	0.000	0.000	0	0
48676	0.000	0.000	0.000	0.000	0.000	0	0
48677	0.000	0.000	0.000	0.000	0.000	0	0
48678	0.000	0.000	0.000	0.000	0.000	0	0
48679	0.000	0.000	0.000	0.000	0.000	0	0
48680	0.000	0.000	0.000	0.000	0.000	0	0
48681	0.000	0.000	0.000	0.000	0.000	0	0
48682	0.000	0.000	0.000	0.000	0.000	0	0
48683	0.000	0.000	0.000	0.000	0.000	0	0
48684	0.000	0.000	0.000	0.000	0.000	0	0
48685	0.000	0.000	0.000	0.000	0.000	0	0
48686	0.000	0.000	0.000	0.000	0.000	0	0
48687	0.000	0.000	0.000	0.000	0.000	0	0
48688	0.000	0.000	0.000	0.000	0.000	0	0
48689	0.000	0.000	0.000	0.000	0.000	0	0
48690	0.000	0.000	0.000	0.000	0.000	0	0
48691	0.000	0.000	0.000	0.000	0.000	0	0
48692	0.000	0.000	0.000	0.000	0.000	0	0
48693	0.000	0.000	0.000	0.000	0.000	0	0
48694	0.000	0.000	0.000	0.000	0.000	0	0
48695	0.000	0.000	0.000	0.000	0.000	0	0
48696	0.000	0.000	0.000	0.000	0.000	0	0
48697	0.000	0.000	0.000	0.000	0.000	0	0
48698	0.000	0.000	0.000	0.000	0.000	0	0
48699	0.000	0.000	0.000	0.000	0.000	0	0
48700	0.000	0.000	0.000	0.000	0.000	0	0
48701	0.000	0.000	0.000	0.000	0.000	0	0
48702	0.000	0.000	0.000	0.000	0.000	0	0
48703	0.000	0.000	0.000	0.000	0.000	0	0
48704	0.000	0.000	0.000	0.000	0.000	0	0
48705	0.000	0.000	0.000	0.000	0.000	0	0
48706	0.000	0.000	0.000	0.000	0.000	0	0
48707	0.000	0.000	0.000	0.000	0.000	0	0
48708	0.000	0.000	0.000	0.000	0.000	0	0
48709	0.000	0.000	0.000	0.000	0.000	0	0
48710	0.000	0.000	0.000	0.000	0.000	0	0
48711	0.000	0.000	0.000	0.000	0.000	0	0
48712	0.000	0.000	0.000	0.000	0.000	0	0
48713	0.000	0.000	0.000	0.000	0.000	0	0
48714	0.000	0.000	0.000	0.000	0.000	0	0
48715	0.000	0.000	0.000	0.000	0.000	0	0
48716	0.000	0.000	0.000	0.000	0.000	0	0
48717	0.000	0.000	0.000	0.000	0.000	0	0
48718	0.000	0.000	0.000	0.000	0.000	0	0
48719	0.000	0.000	0.000	0.000	0.000	0	0
48720	0.000	0.000	0.000	0.000	0.000	0	0
48721	0.000	0.000	0.000	0.000	0.000	0	0
48722	0.000	0.000	0.000	0.000	0.000	0	0
48723	0.000	0.000	0.000	0.000	0.000	0	0
48724	0.000	0.000	0.000	0.000	0.000	0	0
48725	0.000	0.000	0.000	0.000	0.000	0	0
48726	0.000	0.000	0.000	0.000	0.000	0	0
48727	0.000	0.000	0.000	0.000	0.000	0	0
48728	0.000	0.000	0.000	0.000	0.000	0	0
48729	0.000	0.000	0.000	0.000	0.000	0	0
48730	0.000	0.000	0.000	0.000	0.000	0	0
48731	0.000	0.000	0.000	0.000	0.000	0	0
48732	0.000	0.000	0.000	0.000	0.000	0	0
48733	0.000	0.000	0.000	0.000	0.000	0	0
48734	0.000	0.000	0.000	0.000	0.000	0	0
48735	0.000	0.000	0.000	0.000	0.000	0	0
48736	0.000	0.000	0.000	0.000	0.000	0	0
48737	0.000	0.000	0.000	0.000	0.000	0	0
48738	0.000	0.000	0.000	0.000	0.000	0	0
48739	0.000	0.000	0.000	0.000	0.000	0	0
48740	0.000	0.000	0.000	0.000	0.000	0	0
48741	0.000	0.000	0.000	0.000	0.000	0	0
48742	0.000	0.000	0.000	0.000	0.000	0	0
48743	0.000	0.000	0.000	0.000	0.000	0	0
48744	0.000	0.000	0.000	0.000	0.000	0	0
48745	0.000	0.000	0.000	0.000	0.000	0	0
48746	0.001	0.000	0.000	0.000	0.000	0	0
48747	0.002	0.000	0.000	0.000	0.000	0	0
48748	0.004	0.000	0.000	0.000	0.000	0	0
48749	0.007	0.000	0.000	0.000	0.000	0	0
48750	0.011	0.000	0.000	0.000	0.000	0	0
48751	0.017	0.000	0.000	0.000	0.000	0	0
48752	0.024	0.000	0.000	0.000	0.000	0	0
48753	0.033	0.000	0.000	0.000	0.000	0	0
48754	0.044	0.000	0.000	0.000	0.000	0	0
48755	0.058	0.000	0.000	0.000	0.000	0	0
48756	0.073	0.000	0.000	0.000	0.000	0	0
48757	0.091	0.000	0.000	0.000	0.000	0	0
