CYCLE	CMDPOS1	CMDPOS2	CMDPOS3	CMDPOS4	out_0.0	in_0.0
2180	500.000	0.000	0.000	0.000	0	0
2181	500.000	0.000	0.000	0.000	0	0
2182	500.000	0.000	0.000	0.000	0	0
2183	500.000	0.000	0.000	0.000	0	0
2184	500.000	0.000	0.000	0.000	0	0
2185	500.000	0.000	0.000	0.000	0	0
2186	500.000	0.000	0.000	0.000	0	0
2187	500.000	0.000	0.000	0.000	0	0
2188	500.000	0.000	0.000	0.000	0	0
2189	500.000	0.000	0.000	0.000	0	0
2190	500.000	0.000	0.000	0.000	0	0
2191	500.000	0.000	0.000	0.000	0	0
2192	500.000	0.000	0.000	0.000	0	0
2193	500.000	0.000	0.000	0.000	0	0
2194	500.000	0.000	0.000	0.000	0	0
2195	500.000	0.000	0.000	0.000	0	0
2196	500.000	0.000	0.000	0.000	0	0
2197	500.000	0.000	0.000	0.000	0	0
2198	500.000	0.000	0.000	0.000	0	0
2199	500.000	0.000	0.000	0.000	0	0
2200	500.000	0.000	0.000	0.000	0	0
2201	500.000	0.000	0.000	0.000	0	0
2202	500.000	0.000	0.000	0.000	0	0
2203	500.000	0.000	0.000	0.000	0	0
2204	500.000	0.000	0.000	0.000	0	0
2205	500.000	0.000	0.000	0.000	0	0
2206	500.000	0.000	0.000	0.000	0	0
2207	500.000	0.000	0.000	0.000	0	0
2208	500.000	0.000	0.000	0.000	0	0
2209	500.000	0.000	0.000	0.000	0	0
2210	500.000	0.000	0.000	0.000	0	0
2211	500.000	0.000	0.000	0.000	0	0
2212	500.000	0.000	0.000	0.000	0	0
2213	500.000	0.000	0.000	0.000	0	0
2214	500.000	0.000	0.000	0.000	0	0
2215	500.000	0.000	0.000	0.000	0	0
2216	500.000	0.000	0.000	0.000	0	0
2217	500.000	0.000	0.000	0.000	0	0
2218	500.000	0.000	0.000	0.000	0	0
2219	500.000	0.000	0.000	0.000	0	0
2220	500.000	0.000	0.000	0.000	0	0
