CYCLE	CMDPOS1	CMDPOS2	CMDPOS3	CMDPOS4	CMDPOS5	CMDPOS6	out_0.0	in_0.0
2271	0.000	0.000	0.000	0.000	0.000	0.000	0	0
2272	0.000	0.000	0.000	0.000	0.000	0.000	0	0
2273	0.000	0.000	0.000	0.000	0.000	0.000	0	0
2274	0.000	0.000	0.000	0.000	0.000	0.000	0	0
2275	0.000	0.000	0.000	0.000	0.000	0.000	0	0
2276	0.000	0.000	0.000	0.000	0.000	0.000	0	0
2277	0.000	0.000	0.000	0.000	0.000	0.000	0	0
2278	0.000	0.000	0.000	0.000	0.000	0.000	0	0
2279	0.000	0.000	0.000	0.000	0.000	0.000	0	0
2280	0.000	0.000	0.000	0.000	0.000	0.000	0	0
2281	0.000	0.000	0.000	0.000	0.000	0.000	0	0
2282	0.000	0.000	0.000	0.000	0.000	0.000	0	0
2283	0.000	0.000	0.000	0.000	0.000	0.000	0	0
2284	0.000	0.000	0.000	0.000	0.000	0.000	0	0
2285	0.000	0.000	0.000	0.000	0.000	0.000	0	0
2286	0.000	0.000	0.000	0.000	0.000	0.000	0	0
2287	0.000	0.000	0.000	0.000	0.000	0.000	0	0
2288	0.000	0.000	0.000	0.000	0.000	0.000	0	0
2289	0.000	0.000	0.000	0.000	0.000	0.000	0	0
2290	0.000	0.000	0.000	0.000	0.000	0.000	0	0
2291	0.000	0.000	0.000	0.000	0.000	0.000	0	0
2292	0.000	0.000	0.000	0.000	0.000	0.000	0	0
2293	0.000	0.000	0.000	0.000	0.000	0.000	0	0
2294	0.000	0.000	0.000	0.000	0.000	0.000	0	0
2295	0.000	0.000	0.000	0.000	0.000	0.000	0	0
2296	0.000	0.000	0.000	0.000	0.000	0.000	0	0
2297	0.000	0.000	0.000	0.000	0.000	0.000	0	0
2298	0.000	0.000	0.000	0.000	0.000	0.000	0	0
2299	0.000	0.000	0.000	0.000	0.000	0.000	0	0
2300	0.000	0.000	0.000	0.000	0.000	0.000	0	0
2301	0.000	0.000	0.000	0.000	0.000	0.000	0	0
2302	0.000	0.000	0.000	0.000	0.000	0.000	0	0
2303	0.000	0.000	0.000	0.000	0.000	0.000	0	0
2304	0.000	0.000	0.000	0.000	0.000	0.000	0	0
2305	0.000	0.000	0.000	0.000	0.000	0.000	0	0
2306	0.000	0.000	0.000	0.000	0.000	0.000	0	0
2307	0.000	0.000	0.000	0.000	0.000	0.000	0	0
2308	0.000	0.000	0.000	0.000	0.000	0.000	0	0
2309	0.000	0.000	0.000	0.000	0.000	0.000	0	0
2310	0.000	0.000	0.000	0.000	0.000	0.000	0	0
2311	0.000	0.000	0.000	0.000	0.000	0.000	0	0
2312	0.000	0.000	0.000	0.000	0.000	0.000	0	0
2313	0.000	0.000	0.000	0.000	0.000	0.000	0	0
2314	0.000	0.000	0.000	0.000	0.000	0.000	0	0
2315	0.000	0.000	0.000	0.000	0.000	0.000	0	0
2316	0.000	0.000	0.000	0.000	0.000	0.000	0	0
2317	0.000	0.000	0.000	0.000	0.000	0.000	0	0
2318	0.000	0.000	0.000	0.000	0.000	0.000	0	0
2319	0.000	0.000	0.000	0.000	0.000	0.000	0	0
2320	0.000	0.000	0.000	0.000	0.000	0.000	0	0
2321	0.000	0.000	0.000	0.000	0.000	0.000	0	0
2322	0.000	0.000	0.000	0.000	0.000	0.000	0	0
2323	0.000	0.000	0.000	0.000	0.000	0.000	0	0
2324	0.000	0.000	0.000	0.000	0.000	0.000	0	0
2325	0.000	0.000	0.000	0.000	0.000	0.000	0	0
2326	0.000	0.000	0.000	0.000	0.000	0.000	0	0
2327	0.000	0.000	0.000	0.000	0.000	0.000	0	0
2328	0.003	0.000	0.000	0.000	0.000	0.000	0	0
2329	0.024	0.000	0.000	0.000	0.000	0.000	0	0
2330	0.065	0.000	0.000	0.000	0.000	0.000	0	0
2331	0.126	0.000	0.000	0.000	0.000	0.000	0	0
2332	0.207	0.000	0.000	0.000	0.000	0.000	0	0
2333	0.310	0.000	0.000	0.000	0.000	0.000	0	0
2334	0.432	0.000	0.000	0.000	0.000	0.000	0	0
2335	0.575	0.000	0.000	0.000	0.000	0.000	0	0
2336	0.738	0.000	0.000	0.000	0.000	0.000	0	0
2337	0.922	0.000	0.000	0.000	0.000	0.000	0	0
2338	1.126	0.000	0.000	0.000	0.000	0.000	0	0
2339	1.350	0.000	0.000	0.000	0.000	0.000	0	0
2340	1.595	0.000	0.000	0.000	0.000	0.000	0	0
2341	1.861	0.000	0.000	0.000	0.000	0.000	0	0
2342	2.146	0.000	0.000	0.000	0.000	0.000	0	0
2343	2.452	0.000	0.000	0.000	0.000	0.000	0	0
2344	2.779	0.000	0.000	0.000	0.000	0.000	0	0
2345	3.126	0.000	0.000	0.000	0.000	0.000	0	0
2346	3.493	0.000	0.000	0.000	0.000	0.000	0	0
2347	3.881	0.000	0.000	0.000	0.000	0.000	0	0
2348	4.289	0.000	0.000	0.000	0.000	0.000	0	0
2349	4.718	0.000	0.000	0.000	0.000	0.000	0	0
2350	5.167	0.000	0.000	0.000	0.000	0.000	0	0
2351	5.636	0.000	0.000	0.000	0.000	0.000	0	0
2352	6.126	0.000	0.000	0.000	0.000	0.000	0	0
2353	6.636	0.000	0.000	0.000	0.000	0.000	0	0
2354	7.167	0.000	0.000	0.000	0.000	0.000	0	0
2355	7.718	0.000	0.000	0.000	0.000	0.000	0	0
2356	8.289	0.000	0.000	0.000	0.000	0.000	0	0
2357	8.881	0.000	0.000	0.000	0.000	0.000	0	0
2358	9.493	0.000	0.000	0.000	0.000	0.000	0	0
2359	10.126	0.000	0.000	0.000	0.000	0.000	0	0
2360	10.779	0.000	0.000	0.000	0.000	0.000	0	0
2361	11.452	0.000	0.000	0.000	0.000	0.000	0	0
2362	12.146	0.000	0.000	0.000	0.000	0.000	0	0
2363	12.861	0.000	0.000	0.000	0.000	0.000	0	0
2364	13.595	0.000	0.000	0.000	0.000	0.000	0	0
2365	14.350	0.000	0.000	0.000	0.000	0.000	0	0
