CYCLE	CMDPOS1	out_0.0	in_0.0
19759	0.000	0	0
19760	0.000	0	0
19761	0.000	0	0
19762	0.000	0	0
19763	0.000	0	0
19764	0.000	0	0
19765	0.000	0	0
19766	0.000	0	0
19767	0.000	0	0
19768	0.000	0	0
19769	0.000	0	0
19770	0.000	0	0
19771	0.000	0	0
19772	0.000	0	0
19773	0.000	0	0
19774	0.000	0	0
19775	0.000	0	0
19776	0.000	0	0
19777	0.000	0	0
19778	0.000	0	0
19779	0.000	0	0
19780	0.000	0	0
19781	0.000	0	0
19782	0.000	0	0
19783	0.000	0	0
19784	0.000	0	0
19785	0.000	0	0
19786	0.000	0	0
19787	0.000	0	0
19788	0.000	0	0
19789	0.000	0	0
19790	0.000	0	0
19791	0.000	0	0
19792	0.000	0	0
19793	0.000	0	0
19794	0.000	0	0
19795	0.000	0	0
19796	0.000	0	0
19797	0.000	0	0
19798	0.000	0	0
19799	0.000	0	0
19800	0.000	0	0
19801	0.000	0	0
19802	0.000	0	0
19803	0.000	0	0
19804	0.000	0	0
19805	0.000	0	0
19806	0.000	0	0
19807	0.000	0	0
19808	0.000	0	0
19809	0.000	0	0
19810	0.000	0	0
19811	0.000	0	0
19812	0.000	0	0
19813	0.000	0	0
19814	0.000	0	0
19815	0.000	0	0
19816	0.000	0	0
19817	0.000	0	0
19818	0.000	0	0
19819	0.000	0	0
19820	0.000	0	0
19821	0.000	0	0
19822	0.000	0	0
19823	0.000	0	0
19824	0.000	0	0
19825	0.000	0	0
19826	0.000	0	0
19827	0.000	0	0
19828	0.000	0	0
19829	0.000	0	0
19830	0.004	0	0
19831	0.013	0	0
19832	0.031	0	0
19833	0.060	0	0
19834	0.104	0	0
19835	0.165	0	0
19836	0.247	0	0
19837	0.352	0	0
19838	0.482	0	0
19839	0.642	0	0
19840	0.833	0	0
19841	1.059	0	0
19842	1.316	0	0
19843	1.602	0	0
19844	1.914	0	0
19845	2.249	0	0
19846	2.604	0	0
19847	2.977	0	0
19848	3.364	0	0
19849	3.763	0	0
19850	4.171	0	0
19851	4.584	0	0
19852	5.000	0	0
19853	5.416	0	0
19854	5.829	0	0
19855	6.237	0	0
19856	6.636	0	0
19857	7.023	0	0
19858	7.396	0	0
19859	7.751	0	0
19860	8.086	0	0
19861	8.398	0	0
19862	8.684	0	0
19863	8.941	0	0
19864	9.167	0	0
19865	9.358	0	0
19866	9.518	0	0
19867	9.648	0	0
19868	9.753	0	0
19869	9.835	0	0
19870	9.896	0	0
19871	9.940	0	0
19872	9.969	0	0
19873	9.987	0	0
19874	9.996	0	0
19875	10.000	0	0
19876	10.000	0	0
19877	10.000	0	0
19878	10.000	0	0
19879	9.997	0	0
19880	9.989	0	0
19881	9.974	0	0
19882	9.949	0	0
19883	9.912	0	0
19884	9.860	0	0
19885	9.792	0	0
19886	9.703	0	0
19887	9.593	0	0
19888	9.458	0	0
19889	9.297	0	0
19890	9.106	0	0
19891	8.883	0	0
19892	8.627	0	0
19893	8.333	0	0
19894	8.002	0	0
19895	7.633	0	0
19896	7.231	0	0
19897	6.797	0	0
19898	6.333	0	0
19899	5.843	0	0
19900	5.328	0	0
19901	4.792	0	0
19902	4.235	0	0
19903	3.662	0	0
19904	3.074	0	0
19905	2.474	0	0
19906	1.864	0	0
19907	1.247	0	0
19908	0.625	0	0
19909	0.000	0	0
19910	-0.625	0	0
19911	-1.247	0	0
19912	-1.864	0	0
19913	-2.474	0	0
19914	-3.074	0	0
19915	-3.662	0	0
19916	-4.235	0	0
19917	-4.792	0	0
19918	-5.328	0	0
19919	-5.843	0	0
19920	-6.333	0	0
19921	-6.797	0	0
19922	-7.231	0	0
19923	-7.633	0	0
19924	-8.002	0	0
19925	-8.333	0	0
19926	-8.627	0	0
19927	-8.883	0	0
19928	-9.106	0	0
19929	-9.297	0	0
19930	-9.458	0	0
19931	-9.593	0	0
19932	-9.703	0	0
19933	-9.792	0	0
19934	-9.860	0	0
19935	-9.912	0	0
19936	-9.949	0	0
19937	-9.974	0	0
19938	-9.989	0	0
19939	-9.997	0	0
19940	-10.000	0	0
19941	-10.000	0	0
19942	-10.000	0	0
19943	-10.000	0	0
19944	-9.997	0	0
19945	-9.989	0	0
19946	-9.974	0	0
19947	-9.949	0	0
19948	-9.912	0	0
19949	-9.860	0	0
19950	-9.792	0	0
19951	-9.703	0	0
19952	-9.593	0	0
19953	-9.458	0	0
19954	-9.297	0	0
19955	-9.106	0	0
19956	-8.883	0	0
19957	-8.627	0	0
19958	-8.333	0	0
19959	-8.002	0	0
19960	-7.633	0	0
19961	-7.231	0	0
19962	-6.797	0	0
19963	-6.333	0	0
19964	-5.843	0	0
19965	-5.328	0	0
19966	-4.792	0	0
19967	-4.235	0	0
19968	-3.662	0	0
19969	-3.074	0	0
19970	-2.474	0	0
19971	-1.864	0	0
19972	-1.247	0	0
19973	-0.625	0	0
19974	0.000	0	0
19975	0.625	0	0
19976	1.247	0	0
19977	1.864	0	0
19978	2.474	0	0
19979	3.074	0	0
19980	3.662	0	0
19981	4.235	0	0
19982	4.792	0	0
19983	5.328	0	0
19984	5.843	0	0
19985	6.333	0	0
19986	6.797	0	0
19987	7.231	0	0
19988	7.633	0	0
19989	8.002	0	0
19990	8.333	0	0
19991	8.627	0	0
19992	8.883	0	0
19993	9.106	0	0
19994	9.297	0	0
19995	9.458	0	0
19996	9.593	0	0
19997	9.703	0	0
19998	9.792	0	0
19999	9.860	0	0
20000	9.912	0	0
20001	9.949	0	0
20002	9.974	0	0
20003	9.989	0	0
20004	9.997	0	0
20005	10.000	0	0
20006	10.000	0	0
20007	10.000	0	0
20008	10.000	0	0
20009	9.997	0	0
20010	9.989	0	0
20011	9.974	0	0
20012	9.949	0	0
20013	9.912	0	0
20014	9.860	0	0
20015	9.792	0	0
20016	9.703	0	0
20017	9.593	0	0
20018	9.458	0	0
20019	9.297	0	0
20020	9.106	0	0
20021	8.883	0	0
20022	8.627	0	0
20023	8.333	0	0
20024	8.002	0	0
20025	7.633	0	0
20026	7.231	0	0
20027	6.797	0	0
20028	6.333	0	0
20029	5.843	0	0
20030	5.328	0	0
20031	4.792	0	0
20032	4.235	0	0
20033	3.662	0	0
20034	3.074	0	0
20035	2.474	0	0
20036	1.864	0	0
