CYCLE	CMDPOS6	CMDPOS8	out_0.0	in_0.0
1209	0.000	0.000	0	0
1210	0.000	0.000	0	0
1211	0.000	0.000	0	0
1212	0.000	0.000	0	0
1213	0.000	0.000	0	0
1214	0.000	0.000	0	0
1215	0.000	0.000	0	0
1216	0.000	0.000	0	0
1217	0.000	0.000	0	0
1218	0.000	0.000	0	0
1219	0.000	0.000	0	0
1220	0.000	0.000	0	0
1221	0.000	0.000	0	0
1222	0.000	0.000	0	0
1223	0.000	0.000	0	0
1224	0.000	0.000	0	0
1225	0.000	0.000	0	0
1226	0.000	0.000	0	0
1227	0.000	0.000	0	0
1228	0.000	0.000	0	0
1229	0.000	0.000	0	0
1230	0.000	0.000	0	0
1231	0.000	0.000	0	0
1232	0.000	0.000	0	0
1233	0.000	0.000	0	0
1234	0.000	0.000	0	0
1235	0.000	0.000	0	0
1236	0.000	0.000	0	0
1237	0.000	0.000	0	0
1238	0.000	0.000	0	0
1239	0.000	0.000	0	0
1240	0.000	0.000	0	0
1241	0.000	0.000	0	0
1242	0.000	0.000	0	0
1243	0.000	0.000	0	0
1244	0.000	0.000	0	0
1245	0.000	0.000	0	0
1246	0.000	0.000	0	0
1247	0.000	0.000	0	0
1248	0.000	0.000	0	0
1249	0.000	0.000	0	0
1250	0.000	0.000	0	0
1251	0.000	0.000	0	0
1252	0.000	0.000	0	0
1253	0.000	0.000	0	0
1254	0.000	0.000	0	0
1255	0.000	0.000	0	0
1256	0.000	0.000	0	0
1257	0.000	0.000	0	0
1258	0.000	0.000	0	0
1259	0.000	0.000	0	0
1260	0.000	0.000	0	0
1261	0.000	0.000	0	0
1262	0.000	0.000	0	0
1263	0.000	0.000	0	0
1264	0.000	0.000	0	0
1265	0.000	0.000	0	0
1266	0.000	0.000	0	0
1267	0.000	0.000	0	0
1268	0.000	0.000	0	0
1269	0.000	0.000	0	0
1270	0.000	0.000	0	0
1271	0.000	0.000	0	0
1272	0.000	0.000	0	0
1273	0.000	0.000	0	0
1274	0.000	0.000	0	0
1275	0.000	0.000	0	0
1276	0.000	0.000	0	0
1277	0.000	0.000	0	0
1278	0.000	0.000	0	0
1279	0.000	0.000	0	0
1280	0.000	0.000	0	0
1281	0.000	0.000	0	0
1282	0.000	0.000	0	0
1283	0.000	0.000	0	0
1284	0.000	0.000	0	0
1285	0.000	0.000	0	0
1286	0.000	0.000	0	0
1287	0.000	0.000	0	0
1288	0.000	0.000	0	0
1289	0.000	0.000	0	0
1290	0.000	0.000	0	0
1291	0.000	0.000	0	0
1292	0.000	0.000	0	0
1293	0.000	0.000	0	0
1294	0.000	0.000	0	0
1295	0.000	0.000	0	0
1296	0.000	0.000	0	0
1297	0.000	0.000	0	0
1298	0.000	0.000	0	0
1299	0.000	0.000	0	0
1300	0.000	0.000	0	0
1301	0.000	0.000	0	0
1302	0.000	0.000	0	0
1303	0.000	0.000	0	0
1304	0.000	0.000	0	0
1305	0.000	0.000	0	0
1306	0.000	0.000	0	0
1307	0.000	0.000	0	0
1308	0.000	0.000	0	0
1309	0.000	0.000	0	0
1310	0.000	0.000	0	0
1311	0.000	0.000	0	0
1312	0.000	0.000	0	0
1313	0.000	0.000	0	0
1314	0.000	0.000	0	0
1315	0.000	0.000	0	0
1316	0.000	0.000	0	0
1317	0.000	0.000	0	0
1318	0.000	0.000	0	0
1319	0.000	0.000	0	0
1320	0.000	0.000	0	0
1321	0.000	0.000	0	0
1322	0.000	0.000	0	0
1323	0.000	0.000	0	0
1324	0.000	0.000	0	0
1325	0.000	0.000	0	0
1326	0.000	0.000	0	0
1327	0.000	0.000	0	0
1328	0.000	0.000	0	0
1329	0.000	0.000	0	0
1330	0.000	0.000	0	0
1331	0.000	0.000	0	0
1332	0.000	0.000	0	0
1333	0.000	0.000	0	0
1334	0.000	0.000	0	0
1335	0.000	0.000	0	0
1336	0.000	0.000	0	0
1337	0.000	0.000	0	0
1338	0.000	0.000	0	0
1339	0.000	0.000	0	0
1340	0.000	0.000	0	0
1341	0.000	0.000	0	0
1342	0.000	0.000	0	0
1343	0.005	0.000	0	0
1344	0.020	0.000	0	0
1345	0.045	0.000	0	0
1346	0.080	0.000	0	0
1347	0.125	0.000	0	0
1348	0.180	0.000	0	0
1349	0.245	0.000	0	0
1350	0.320	0.000	0	0
1351	0.405	0.000	0	0
1352	0.500	0.000	0	0
1353	0.605	0.000	0	0
1354	0.720	0.000	0	0
1355	0.845	0.000	0	0
1356	0.980	0.000	0	0
1357	1.125	0.000	0	0
1358	1.280	0.000	0	0
1359	1.445	0.000	0	0
1360	1.620	0.000	0	0
1361	1.805	0.000	0	0
