CYCLE	CMDPOS4	CMDPOS6	CMDPOS8	CMDPOS9	out_0.0	in_0.0
2146	0.000	0.000	0.000	0.000	0	0
2147	0.000	0.000	0.000	0.000	0	0
2148	0.000	0.000	0.000	0.000	0	0
2149	0.000	0.000	0.000	0.000	0	0
2150	0.000	0.000	0.000	0.000	0	0
2151	0.000	0.000	0.000	0.000	0	0
2152	0.000	0.000	0.000	0.000	0	0
2153	0.000	0.000	0.000	0.000	0	0
2154	0.000	0.000	0.000	0.000	0	0
2155	0.000	0.000	0.000	0.000	0	0
2156	0.000	0.000	0.000	0.000	0	0
2157	0.000	0.000	0.000	0.000	0	0
2158	0.000	0.000	0.000	0.000	0	0
2159	0.000	0.000	0.000	0.000	0	0
2160	0.000	0.000	0.000	0.000	0	0
2161	0.000	0.000	0.000	0.000	0	0
2162	0.000	0.000	0.000	0.000	0	0
2163	0.000	0.000	0.000	0.000	0	0
2164	0.000	0.000	0.000	0.000	0	0
2165	0.000	0.000	0.000	0.000	0	0
2166	0.000	0.000	0.000	0.000	0	0
2167	0.000	0.000	0.000	0.000	0	0
2168	0.000	0.000	0.000	0.000	0	0
2169	0.000	0.000	0.000	0.000	0	0
2170	0.000	0.000	0.000	0.000	0	0
2171	0.000	0.000	0.000	0.000	0	0
2172	0.000	0.000	0.000	0.000	0	0
2173	0.000	0.000	0.000	0.000	0	0
2174	0.000	0.000	0.000	0.000	0	0
2175	0.000	0.000	0.000	0.000	0	0
2176	0.000	0.000	0.000	0.000	0	0
2177	0.000	0.000	0.000	0.000	0	0
2178	0.000	0.000	0.000	0.000	0	0
2179	0.000	0.000	0.000	0.000	0	0
2180	0.000	0.000	0.000	0.000	0	0
2181	0.000	0.000	0.000	0.000	0	0
2182	0.000	0.000	0.000	0.000	0	0
2183	0.000	0.000	0.000	0.000	0	0
2184	0.000	0.000	0.000	0.000	0	0
2185	0.000	0.000	0.000	0.000	0	0
2186	0.000	0.000	0.000	0.000	0	0
2187	0.000	0.000	0.000	0.000	0	0
2188	0.000	0.000	0.000	0.000	0	0
2189	0.000	0.000	0.000	0.000	0	0
2190	0.000	0.000	0.000	0.000	0	0
2191	0.000	0.000	0.000	0.000	0	0
2192	0.000	0.000	0.000	0.000	0	0
2193	0.000	0.000	0.000	0.000	0	0
2194	0.000	0.000	0.000	0.000	0	0
2195	0.000	0.000	0.000	0.000	0	0
2196	0.000	0.000	0.000	0.000	0	0
2197	0.000	0.000	0.000	0.000	0	0
2198	0.000	0.000	0.000	0.000	0	0
2199	0.000	0.000	0.000	0.000	0	0
2200	0.000	0.000	0.000	0.000	0	0
2201	0.000	0.000	0.000	0.000	0	0
2202	0.000	0.000	0.000	0.000	0	0
2203	0.000	0.000	0.000	0.000	0	0
2204	0.000	0.000	0.000	0.000	0	0
2205	0.000	0.000	0.000	0.000	0	0
2206	0.000	0.000	0.000	0.000	0	0
2207	0.000	0.000	0.000	0.000	0	0
2208	0.000	0.000	0.000	0.000	0	0
2209	0.000	0.000	0.000	0.000	0	0
2210	0.000	0.000	0.000	0.000	0	0
2211	0.000	0.000	0.000	0.000	0	0
2212	0.000	0.000	0.000	0.000	0	0
2213	0.000	0.000	0.000	0.000	0	0
2214	0.000	0.000	0.000	0.000	0	0
2215	0.000	0.000	0.000	0.000	0	0
2216	0.000	0.000	0.000	0.000	0	0
2217	0.000	0.000	0.000	0.000	0	0
2218	0.000	0.000	0.000	0.000	0	0
2219	0.000	0.000	0.000	0.000	0	0
2220	0.000	0.000	0.000	0.000	0	0
2221	0.000	0.000	0.000	0.000	0	0
2222	0.000	0.000	0.000	0.000	0	0
2223	0.000	0.000	0.000	0.000	0	0
2224	0.000	0.000	0.000	0.000	0	0
2225	0.000	0.000	0.000	0.000	0	0
2226	0.002	-0.000	0.000	0.001	0	0
2227	0.008	-0.001	0.002	0.002	0	0
2228	0.017	-0.003	0.004	0.005	0	0
2229	0.031	-0.005	0.007	0.010	0	0
2230	0.048	-0.008	0.011	0.015	0	0
2231	0.069	-0.011	0.016	0.022	0	0
2232	0.094	-0.015	0.022	0.030	0	0
2233	0.123	-0.020	0.029	0.039	0	0
2234	0.156	-0.025	0.036	0.049	0	0
2235	0.192	-0.031	0.045	0.060	0	0
2236	0.233	-0.038	0.054	0.073	0	0
2237	0.277	-0.045	0.064	0.087	0	0
2238	0.325	-0.052	0.076	0.102	0	0
2239	0.377	-0.061	0.088	0.118	0	0
2240	0.433	-0.069	0.100	0.136	0	0
2241	0.493	-0.079	0.114	0.154	0	0
2242	0.556	-0.089	0.129	0.174	0	0
2243	0.624	-0.099	0.145	0.195	0	0
2244	0.695	-0.110	0.161	0.217	0	0
2245	0.770	-0.122	0.178	0.241	0	0
2246	0.849	-0.134	0.197	0.266	0	0
2247	0.932	-0.146	0.216	0.292	0	0
2248	1.019	-0.159	0.236	0.319	0	0
2249	1.110	-0.173	0.257	0.347	0	0
2250	1.204	-0.187	0.278	0.376	0	0
2251	1.303	-0.201	0.301	0.407	0	0
2252	1.405	-0.216	0.324	0.439	0	0
2253	1.511	-0.232	0.349	0.472	0	0
2254	1.621	-0.247	0.374	0.507	0	0
2255	1.735	-0.264	0.400	0.542	0	0
2256	1.853	-0.280	0.427	0.579	0	0
2257	1.975	-0.297	0.454	0.617	0	0
2258	2.100	-0.314	0.483	0.656	0	0
2259	2.230	-0.332	0.512	0.696	0	0
2260	2.363	-0.350	0.543	0.738	0	0
2261	2.501	-0.368	0.574	0.781	0	0
2262	2.642	-0.386	0.606	0.825	0	0
2263	2.787	-0.405	0.638	0.870	0	0
2264	2.936	-0.424	0.672	0.916	0	0
2265	3.089	-0.443	0.707	0.964	0	0
2266	3.246	-0.463	0.742	1.013	0	0
2267	3.407	-0.482	0.778	1.063	0	0
2268	3.572	-0.502	0.815	1.114	0	0
2269	3.740	-0.522	0.852	1.166	0	0
2270	3.913	-0.542	0.891	1.220	0	0
2271	4.090	-0.562	0.930	1.275	0	0
2272	4.270	-0.582	0.970	1.331	0	0
2273	4.455	-0.602	1.011	1.388	0	0
2274	4.643	-0.622	1.053	1.446	0	0
2275	4.835	-0.642	1.095	1.506	0	0
2276	5.032	-0.662	1.139	1.567	0	0
2277	5.232	-0.682	1.183	1.629	0	0
2278	5.436	-0.702	1.228	1.692	0	0
2279	5.644	-0.721	1.273	1.757	0	0
2280	5.856	-0.741	1.319	1.822	0	0
2281	6.073	-0.760	1.366	1.889	0	0
2282	6.293	-0.779	1.414	1.957	0	0
2283	6.517	-0.798	1.463	2.026	0	0
2284	6.745	-0.816	1.512	2.097	0	0
2285	6.977	-0.835	1.562	2.169	0	0
2286	7.213	-0.852	1.613	2.241	0	0
2287	7.452	-0.870	1.664	2.316	0	0
2288	7.696	-0.887	1.717	2.391	0	0
2289	7.944	-0.903	1.770	2.467	0	0
2290	8.196	-0.919	1.823	2.545	0	0
2291	8.452	-0.935	1.877	2.624	0	0
2292	8.712	-0.950	1.932	2.704	0	0
2293	8.976	-0.964	1.988	2.785	0	0
2294	9.243	-0.978	2.044	2.868	0	0
2295	9.515	-0.991	2.101	2.952	0	0
2296	9.791	-1.004	2.159	3.037	0	0
2297	10.071	-1.015	2.217	3.123	0	0
2298	10.354	-1.026	2.276	3.210	0	0
2299	10.642	-1.036	2.336	3.299	0	0
2300	10.934	-1.045	2.396	3.388	0	0
2301	11.230	-1.053	2.457	3.479	0	0
2302	11.529	-1.061	2.518	3.572	0	0
2303	11.833	-1.067	2.580	3.665	0	0
2304	12.141	-1.072	2.643	3.759	0	0
2305	12.452	-1.076	2.706	3.855	0	0
2306	12.768	-1.079	2.769	3.952	0	0
2307	13.087	-1.081	2.834	4.050	0	0
2308	13.411	-1.082	2.899	4.150	0	0
2309	13.739	-1.081	2.964	4.250	0	0
2310	14.070	-1.079	3.030	4.352	0	0
2311	14.406	-1.076	3.096	4.455	0	0
2312	14.745	-1.071	3.163	4.559	0	0
2313	15.088	-1.065	3.231	4.665	0	0
2314	15.436	-1.058	3.299	4.771	0	0
2315	15.787	-1.049	3.367	4.879	0	0
2316	16.142	-1.038	3.436	4.988	0	0
2317	16.501	-1.026	3.505	5.099	0	0
2318	16.864	-1.012	3.575	5.210	0	0
2319	17.231	-0.996	3.645	5.323	0	0
2320	17.602	-0.978	3.716	5.436	0	0
2321	17.977	-0.959	3.787	5.552	0	0
2322	18.356	-0.938	3.859	5.668	0	0
2323	18.739	-0.914	3.931	5.785	0	0
2324	19.125	-0.889	4.003	5.904	0	0
2325	19.515	-0.862	4.075	6.024	0	0
2326	19.910	-0.832	4.148	6.145	0	0
2327	20.308	-0.801	4.222	6.267	0	0
2328	20.710	-0.767	4.295	6.391	0	0
2329	21.115	-0.731	4.369	6.515	0	0
2330	21.525	-0.693	4.444	6.641	0	0
2331	21.938	-0.652	4.518	6.768	0	0
2332	22.355	-0.609	4.593	6.897	0	0
2333	22.776	-0.563	4.668	7.026	0	0
2334	23.201	-0.515	4.743	7.157	0	0
2335	23.629	-0.464	4.819	7.289	0	0
2336	24.062	-0.411	4.894	7.422	0	0
2337	24.498	-0.354	4.970	7.556	0	0
2338	24.937	-0.295	5.047	7.692	0	0
2339	25.380	-0.234	5.123	7.829	0	0
2340	25.827	-0.169	5.199	7.966	0	0
2341	26.278	-0.101	5.276	8.106	0	0
2342	26.732	-0.031	5.352	8.246	0	0
2343	27.190	0.043	5.429	8.388	0	0
2344	27.651	0.120	5.506	8.530	0	0
2345	28.116	0.200	5.583	8.674	0	0
2346	28.584	0.284	5.660	8.819	0	0
2347	29.056	0.371	5.737	8.966	0	0
2348	29.532	0.461	5.814	9.113	0	0
2349	30.011	0.554	5.891	9.262	0	0
2350	30.493	0.652	5.968	9.412	0	0
2351	30.979	0.752	6.045	9.563	0	0
2352	31.468	0.857	6.122	9.716	0	0
2353	31.960	0.965	6.199	9.869	0	0
2354	32.456	1.077	6.276	10.024	0	0
2355	32.955	1.192	6.353	10.180	0	0
2356	33.457	1.312	6.429	10.337	0	0
2357	33.963	1.435	6.506	10.496	0	0
2358	34.472	1.563	6.582	10.655	0	0
2359	34.984	1.695	6.658	10.816	0	0
2360	35.499	1.831	6.734	10.978	0	0
2361	36.017	1.971	6.809	11.142	0	0
2362	36.538	2.115	6.885	11.306	0	0
2363	37.062	2.264	6.960	11.472	0	0
2364	37.589	2.417	7.034	11.639	0	0
2365	38.119	2.575	7.109	11.807	0	0
2366	38.652	2.737	7.183	11.976	0	0
2367	39.188	2.904	7.257	12.146	0	0
2368	39.726	3.076	7.330	12.318	0	0
2369	40.268	3.252	7.403	12.491	0	0
2370	40.812	3.433	7.476	12.665	0	0
2371	41.358	3.620	7.548	12.840	0	0
2372	41.908	3.811	7.619	13.017	0	0
2373	42.460	4.007	7.691	13.194	0	0
2374	43.014	4.208	7.761	13.373	0	0
2375	43.571	4.414	7.831	13.554	0	0
2376	44.130	4.626	7.901	13.735	0	0
2377	44.692	4.843	7.970	13.917	0	0
2378	45.256	5.065	8.038	14.101	0	0
2379	45.822	5.293	8.106	14.286	0	0
2380	46.390	5.526	8.173	14.472	0	0
2381	46.961	5.765	8.239	14.659	0	0
2382	47.533	6.009	8.305	14.848	0	0
2383	48.108	6.259	8.370	15.038	0	0
2384	48.685	6.515	8.434	15.229	0	0
2385	49.263	6.777	8.497	15.421	0	0
2386	49.843	7.044	8.560	15.614	0	0
2387	50.425	7.318	8.621	15.809	0	0
2388	51.009	7.597	8.682	16.005	0	0
2389	51.594	7.883	8.742	16.202	0	0
2390	52.181	8.175	8.801	16.400	0	0
2391	52.769	8.473	8.859	16.599	0	0
2392	53.359	8.777	8.916	16.800	0	0
2393	53.950	9.088	8.972	17.002	0	0
2394	54.542	9.405	9.027	17.205	0	0
2395	55.135	9.728	9.081	17.409	0	0
2396	55.730	10.058	9.134	17.614	0	0
2397	56.325	10.395	9.186	17.821	0	0
2398	56.922	10.738	9.237	18.029	0	0
2399	57.519	11.088	9.286	18.238	0	0
2400	58.117	11.444	9.335	18.448	0	0
2401	58.716	11.808	9.382	18.659	0	0
2402	59.315	12.178	9.427	18.872	0	0
2403	59.915	12.556	9.472	19.086	0	0
2404	60.515	12.940	9.515	19.301	0	0
2405	61.116	13.331	9.557	19.517	0	0
2406	61.717	13.730	9.597	19.735	0	0
2407	62.317	14.135	9.636	19.953	0	0
2408	62.918	14.548	9.674	20.173	0	0
2409	63.519	14.968	9.710	20.394	0	0
2410	64.120	15.395	9.745	20.616	0	0
2411	64.720	15.830	9.778	20.840	0	0
2412	65.320	16.272	9.810	21.065	0	0
2413	65.920	16.722	9.840	21.290	0	0
2414	66.519	17.179	9.868	21.518	0	0
2415	67.117	17.643	9.895	21.746	0	0
2416	67.715	18.115	9.920	21.975	0	0
2417	68.311	18.595	9.943	22.206	0	0
2418	68.907	19.083	9.965	22.438	0	0
2419	69.502	19.578	9.985	22.671	0	0
2420	70.095	20.081	10.003	22.905	0	0
2421	70.687	20.592	10.019	23.141	0	0
2422	71.277	21.110	10.033	23.378	0	0
2423	71.866	21.637	10.046	23.616	0	0
2424	72.453	22.171	10.056	23.855	0	0
2425	73.038	22.714	10.065	24.095	0	0
2426	73.622	23.264	10.072	24.337	0	0
2427	74.203	23.822	10.076	24.579	0	0
2428	74.782	24.389	10.079	24.823	0	0
2429	75.359	24.963	10.079	25.068	0	0
2430	75.929	25.541	10.078	25.313	0	0
2431	76.490	26.121	10.074	25.556	0	0
2432	77.044	26.704	10.068	25.798	0	0
2433	77.590	27.288	10.060	26.039	0	0
2434	78.128	27.875	10.051	26.279	0	0
2435	78.658	28.463	10.039	26.517	0	0
2436	79.180	29.052	10.026	26.755	0	0
2437	79.694	29.644	10.010	26.991	0	0
2438	80.201	30.236	9.993	27.226	0	0
2439	80.700	30.830	9.974	27.459	0	0
2440	81.190	31.425	9.953	27.692	0	0
2441	81.674	32.022	9.930	27.923	0	0
2442	82.149	32.619	9.906	28.153	0	0
2443	82.617	33.217	9.880	28.382	0	0
2444	83.078	33.815	9.852	28.609	0	0
2445	83.530	34.415	9.823	28.836	0	0
2446	83.976	35.015	9.792	29.061	0	0
2447	84.414	35.615	9.760	29.285	0	0
2448	84.844	36.216	9.726	29.508	0	0
2449	85.268	36.816	9.690	29.729	0	0
2450	85.684	37.417	9.653	29.950	0	0
2451	86.092	38.018	9.615	30.169	0	0
2452	86.494	38.619	9.575	30.387	0	0
2453	86.888	39.220	9.534	30.604	0	0
2454	87.276	39.820	9.491	30.819	0	0
2455	87.656	40.420	9.447	31.034	0	0
2456	88.029	41.020	9.402	31.247	0	0
2457	88.396	41.618	9.355	31.459	0	0
2458	88.756	42.217	9.308	31.670	0	0
2459	89.108	42.814	9.259	31.879	0	0
2460	89.455	43.411	9.209	32.088	0	0
2461	89.794	44.007	9.157	32.295	0	0
2462	90.127	44.602	9.105	32.501	0	0
2463	90.453	45.196	9.051	32.705	0	0
2464	90.773	45.789	8.997	32.909	0	0
2465	91.087	46.380	8.941	33.111	0	0
2466	91.394	46.971	8.885	33.312	0	0
2467	91.694	47.560	8.827	33.512	0	0
2468	91.989	48.147	8.768	33.711	0	0
2469	92.277	48.733	8.709	33.909	0	0
2470	92.559	49.317	8.648	34.105	0	0
2471	92.836	49.900	8.587	34.300	0	0
2472	93.106	50.481	8.525	34.494	0	0
2473	93.370	51.060	8.462	34.687	0	0
2474	93.629	51.638	8.398	34.878	0	0
2475	93.881	52.213	8.334	35.068	0	0
2476	94.128	52.787	8.268	35.257	0	0
2477	94.369	53.358	8.202	35.445	0	0
2478	94.605	53.927	8.136	35.632	0	0
2479	94.835	54.495	8.068	35.817	0	0
2480	95.060	55.059	8.000	36.002	0	0
2481	95.279	55.622	7.931	36.185	0	0
2482	95.493	56.182	7.862	36.367	0	0
2483	95.702	56.740	7.792	36.547	0	0
2484	95.905	57.296	7.722	36.727	0	0
2485	96.103	57.849	7.651	36.905	0	0
2486	96.297	58.399	7.579	37.082	0	0
2487	96.485	58.947	7.508	37.258	0	0
2488	96.668	59.492	7.435	37.432	0	0
2489	96.847	60.035	7.362	37.606	0	0
2490	97.021	60.575	7.289	37.778	0	0
2491	97.190	61.112	7.216	37.949	0	0
2492	97.354	61.646	7.142	38.119	0	0
2493	97.514	62.177	7.067	38.287	0	0
2494	97.669	62.706	6.993	38.455	0	0
2495	97.820	63.231	6.918	38.621	0	0
2496	97.966	63.754	6.842	38.786	0	0
2497	98.108	64.273	6.767	38.950	0	0
2498	98.246	64.789	6.691	39.112	0	0
2499	98.379	65.303	6.615	39.274	0	0
2500	98.509	65.813	6.539	39.434	0	0
2501	98.634	66.320	6.463	39.593	0	0
2502	98.755	66.823	6.386	39.751	0	0
2503	98.873	67.324	6.310	39.907	0	0
2504	98.986	67.821	6.233	40.062	0	0
2505	99.096	68.315	6.156	40.217	0	0
2506	99.202	68.806	6.079	40.370	0	0
2507	99.304	69.293	6.002	40.521	0	0
2508	99.403	69.777	5.925	40.672	0	0
2509	99.498	70.257	5.848	40.821	0	0
2510	99.590	70.734	5.771	40.969	0	0
2511	99.678	71.208	5.694	41.116	0	0
2512	99.763	71.678	5.617	41.262	0	0
2513	99.845	72.144	5.540	41.406	0	0
2514	99.923	72.607	5.463	41.550	0	0
2515	99.998	73.066	5.386	41.692	0	0
2516	100.070	73.522	5.310	41.833	0	0
2517	100.139	73.974	5.233	41.972	0	0
2518	100.205	74.423	5.157	42.111	0	0
2519	100.269	74.868	5.080	42.248	0	0
