CYCLE	CMDPOS3	CMDPOS4	CMDPOS5	CMDPOS6	CMDPOS7	out_0.0	in_0.0	
1937	0.000	0.000	0.000	0.000	0.000	0	0	
1938	0.000	0.000	0.000	0.000	0.000	0	0	
1939	0.000	0.000	0.000	0.000	0.000	0	0	
1940	0.000	0.000	0.000	0.000	0.000	0	0	
1941	0.000	0.000	0.000	0.000	0.000	0	0	
1942	0.000	0.000	0.000	0.000	0.000	0	0	
1943	0.000	0.000	0.000	0.000	0.000	0	0	
1944	0.000	0.000	0.000	0.000	0.000	0	0	
1945	0.000	0.000	0.000	0.000	0.000	0	0	
1946	0.000	0.000	0.000	0.000	0.000	0	0	
1947	0.000	0.000	0.000	0.000	0.000	0	0	
1948	0.000	0.000	0.000	0.000	0.000	0	0	
1949	0.000	0.000	0.000	0.000	0.000	0	0	
1950	0.000	0.000	0.000	0.000	0.000	0	0	
1951	0.000	0.000	0.000	0.000	0.000	0	0	
1952	0.000	0.000	0.000	0.000	0.000	0	0	
1953	0.000	0.000	0.000	0.000	0.000	0	0	
1954	0.000	0.000	0.000	0.000	0.000	0	0	
1955	0.000	0.000	0.000	0.000	0.000	0	0	
1956	0.000	0.000	0.000	0.000	0.000	0	0	
1957	0.000	0.000	0.000	0.000	0.000	0	0	
1958	0.000	0.000	0.000	0.000	0.000	0	0	
1959	0.000	0.000	0.000	0.000	0.000	0	0	
1960	0.000	0.000	0.000	0.000	0.000	0	0	
1961	0.000	0.000	0.000	0.000	0.000	0	0	
1962	0.000	0.000	0.000	0.000	0.000	0	0	
1963	0.000	0.000	0.000	0.000	0.000	0	0	
1964	0.000	0.000	0.000	0.000	0.000	0	0	
1965	0.000	0.000	0.000	0.000	0.000	0	0	
1966	0.000	0.000	0.000	0.000	0.000	0	0	
1967	0.000	0.000	0.000	0.000	0.000	0	0	
1968	0.000	0.000	0.000	0.000	0.000	0	0	
1969	0.000	0.000	0.000	0.000	0.000	0	0	
1970	0.000	0.000	0.000	0.000	0.000	0	0	
1971	0.000	0.000	0.000	0.000	0.000	0	0	
1972	0.000	0.000	0.000	0.000	0.000	0	0	
1973	0.000	0.000	0.000	0.000	0.000	0	0	
1974	0.000	0.000	0.000	0.000	0.000	0	0	
1975	0.000	0.000	0.000	0.000	0.000	0	0	
1976	0.000	0.000	0.000	0.000	0.000	0	0	
1977	0.000	0.000	0.000	0.000	0.000	0	0	
1978	0.000	0.000	0.000	0.000	0.000	0	0	
1979	0.000	0.000	0.000	0.000	0.000	0	0	
1980	0.000	0.000	0.000	0.000	0.000	0	0	
1981	0.000	0.000	0.000	0.000	0.000	0	0	
1982	0.000	0.000	0.000	0.000	0.000	0	0	
1983	0.000	0.000	0.000	0.000	0.000	0	0	
1984	0.000	0.000	0.000	0.000	0.000	0	0	
1985	0.000	0.000	0.000	0.000	0.000	0	0	
1986	0.000	0.000	0.000	0.000	0.000	0	0	
