CYCLE	CMDPOS1	CMDPOS2	CMDPOS3	CMDPOS4	CMDPOS5	CMDPOS6	out_0.0	in_0.0	
134051	0.000	0.000	0.000	0.000	0.000	0.000	0	0	
134052	0.000	0.000	0.000	0.000	0.000	0.000	0	0	
134053	0.000	0.000	0.000	0.000	0.000	0.000	0	0	
134054	0.000	0.000	0.000	0.000	0.000	0.000	0	0	
134055	0.000	0.000	0.000	0.000	0.000	0.000	0	0	
134056	0.000	0.000	0.000	0.000	0.000	0.000	0	0	
134057	0.000	0.000	0.000	0.000	0.000	0.000	0	0	
134058	0.000	0.000	0.000	0.000	0.000	0.000	0	0	
134059	0.000	0.000	0.000	0.000	0.000	0.000	0	0	
134060	0.000	0.000	0.000	0.000	0.000	0.000	0	0	
134061	0.000	0.000	0.000	0.000	0.000	0.000	0	0	
134062	0.000	0.000	0.000	0.000	0.000	0.000	0	0	
134063	0.000	0.000	0.000	0.000	0.000	0.000	0	0	
134064	0.000	0.000	0.000	0.000	0.000	0.000	0	0	
134065	0.000	0.000	0.000	0.000	0.000	0.000	0	0	
134066	0.000	0.000	0.000	0.000	0.000	0.000	0	0	
134067	0.000	0.000	0.000	0.000	0.000	0.000	0	0	
134068	0.000	0.000	0.000	0.000	0.000	0.000	0	0	
134069	0.000	0.000	0.000	0.000	0.000	0.000	0	0	
134070	0.000	0.000	0.000	0.000	0.000	0.000	0	0	
134071	0.000	0.000	0.000	0.000	0.000	0.000	0	0	
134072	0.000	0.000	0.000	0.000	0.000	0.000	0	0	
134073	0.000	0.000	0.000	0.000	0.000	0.000	0	0	
134074	0.000	0.000	0.000	0.000	0.000	0.000	0	0	
134075	0.000	0.000	0.000	0.000	0.000	0.000	0	0	
134076	0.000	0.000	0.000	0.000	0.000	0.000	0	0	
134077	0.000	0.000	0.000	0.000	0.000	0.000	0	0	
134078	0.000	0.000	0.000	0.000	0.000	0.000	0	0	
134079	0.000	0.000	0.000	0.000	0.000	0.000	0	0	
134080	0.000	0.000	0.000	0.000	0.000	0.000	0	0	
134081	0.000	0.000	0.000	0.000	0.000	0.000	0	0	
134082	0.000	0.000	0.000	0.000	0.000	0.000	0	0	
134083	0.000	0.000	0.000	0.000	0.000	0.000	0	0	
134084	0.000	0.000	0.000	0.000	0.000	0.000	0	0	
134085	0.000	0.000	0.000	0.000	0.000	0.000	0	0	
134086	0.000	0.000	0.000	0.000	0.000	0.000	0	0	
134087	0.000	0.000	0.000	0.000	0.000	0.000	0	0	
134088	0.000	0.000	0.000	0.000	0.000	0.000	0	0	
134089	0.000	0.000	0.000	0.000	0.000	0.000	0	0	
134090	0.000	0.000	0.000	0.000	0.000	0.000	0	0	
