CYCLE	CMDPOS3	CMDPOS5	CMDPOS6	out_0.0	in_0.0
2205	0.000	0.000	0.000	0	0
2206	0.000	0.000	0.000	0	0
2207	0.000	0.000	0.000	0	0
2208	0.000	0.000	0.000	0	0
2209	0.000	0.000	0.000	0	0
2210	0.000	0.000	0.000	0	0
2211	0.000	0.000	0.000	0	0
2212	0.000	0.000	0.000	0	0
2213	0.000	0.000	0.000	0	0
2214	0.000	0.000	0.000	0	0
2215	0.000	0.000	0.000	0	0
2216	0.000	0.000	0.000	0	0
2217	0.000	0.000	0.000	0	0
2218	0.000	0.000	0.000	0	0
2219	0.000	0.000	0.000	0	0
2220	0.000	0.000	0.000	0	0
2221	0.000	0.000	0.000	0	0
2222	0.000	0.000	0.000	0	0
2223	0.000	0.000	0.000	0	0
2224	0.000	0.000	0.000	0	0
2225	0.000	0.000	0.000	0	0
2226	0.000	0.000	0.000	0	0
2227	0.000	0.000	0.000	0	0
2228	0.000	0.000	0.000	0	0
2229	0.000	0.000	0.000	0	0
2230	0.000	0.000	0.000	0	0
2231	0.000	0.000	0.000	0	0
2232	0.000	0.000	0.000	0	0
2233	0.000	0.000	0.000	0	0
2234	0.000	0.000	0.000	0	0
2235	0.000	0.000	0.000	0	0
2236	0.000	0.000	0.000	0	0
2237	0.000	0.000	0.000	0	0
2238	0.000	0.000	0.000	0	0
2239	0.000	0.000	0.000	0	0
2240	0.000	0.000	0.000	0	0
2241	0.000	0.000	0.000	0	0
2242	0.000	0.000	0.000	0	0
2243	0.000	0.000	0.000	0	0
2244	0.000	0.000	0.000	0	0
2245	0.000	0.000	0.000	0	0
2246	0.000	0.000	0.000	0	0
2247	0.000	0.000	0.000	0	0
2248	0.000	0.000	0.000	0	0
2249	0.000	0.000	0.000	0	0
2250	0.000	0.000	0.000	0	0
2251	0.000	0.000	0.000	0	0
2252	0.000	0.000	0.000	0	0
2253	0.000	0.000	0.000	0	0
2254	0.000	0.000	0.000	0	0
2255	0.000	0.000	0.000	0	0
2256	0.000	0.000	0.000	0	0
2257	0.000	0.000	0.000	0	0
2258	0.000	0.000	0.000	0	0
2259	0.000	0.000	0.000	0	0
2260	0.000	0.000	0.000	0	0
2261	0.000	0.000	0.000	0	0
2262	0.000	0.000	0.000	0	0
2263	0.000	0.000	0.000	0	0
2264	0.000	0.000	0.000	0	0
2265	0.000	0.000	0.000	0	0
2266	0.000	0.000	0.000	0	0
2267	0.000	0.000	0.000	0	0
2268	0.000	0.000	0.000	0	0
2269	0.000	0.000	0.000	0	0
2270	0.000	0.000	0.000	0	0
2271	0.000	0.000	0.000	0	0
2272	0.000	0.000	0.000	0	0
2273	0.000	0.000	0.000	0	0
2274	0.000	0.000	0.000	0	0
2275	0.000	0.000	0.000	0	0
2276	0.000	0.000	0.000	0	0
2277	0.000	0.000	0.000	0	0
2278	0.000	0.000	0.000	0	0
2279	0.000	0.000	0.000	0	0
2280	0.000	0.000	0.000	0	0
2281	0.000	0.000	0.000	0	0
2282	0.000	0.000	0.000	0	0
2283	0.000	0.000	0.000	0	0
2284	0.000	0.000	0.000	0	0
2285	0.000	0.000	0.000	0	0
2286	0.000	0.000	0.000	0	0
2287	0.000	0.000	0.000	0	0
2288	0.000	0.000	0.000	0	0
2289	0.000	0.000	0.000	0	0
2290	0.000	0.000	0.000	0	0
2291	0.000	0.000	0.000	0	0
2292	0.000	0.000	0.000	0	0
2293	0.000	0.000	0.000	0	0
2294	0.000	0.000	0.000	0	0
2295	0.000	0.000	0.000	0	0
2296	0.000	0.000	0.000	0	0
2297	0.000	0.000	0.000	0	0
2298	0.000	0.000	0.000	0	0
2299	0.000	0.000	0.000	0	0
2300	0.000	0.000	0.000	0	0
2301	0.000	0.000	0.000	0	0
2302	0.001	0.000	0.001	0	0
2303	0.002	0.001	0.003	0	0
2304	0.005	0.002	0.007	0	0
2305	0.009	0.004	0.012	0	0
2306	0.014	0.005	0.019	0	0
2307	0.020	0.008	0.028	0	0
2308	0.027	0.011	0.038	0	0
