CYCLE	CMDPOS4	CMPCMDPOS4	out_0.0	in_0.0	
1276	0.000	0.000	0	0	
1277	0.000	0.000	0	0	
1278	0.000	0.000	0	0	
1279	0.000	0.000	0	0	
1280	0.000	0.000	0	0	
1281	0.000	0.000	0	0	
1282	0.000	0.000	0	0	
1283	0.000	12.000	0	0	
1284	0.005	12.004	0	0	
1285	0.020	12.015	0	0	
1286	0.045	12.034	0	0	
1287	0.080	12.061	0	0	
1288	0.125	12.095	0	0	
1289	0.180	12.137	0	0	
1290	0.245	12.186	0	0	
1291	0.320	12.243	0	0	
1292	0.405	12.308	0	0	
1293	0.500	12.380	0	0	
1294	0.605	12.460	0	0	
1295	0.720	12.547	0	0	
1296	0.845	12.642	0	0	
1297	0.980	12.745	0	0	
1298	1.125	12.855	0	0	
1299	1.280	12.973	0	0	
1300	1.445	13.098	0	0	
1301	1.620	13.231	0	0	
1302	1.805	13.372	0	0	
1303	2.000	13.520	0	0	
1304	2.205	13.676	0	0	
1305	2.420	13.839	0	0	
1306	2.645	14.010	0	0	
1307	2.880	14.189	0	0	
1308	3.125	14.375	0	0	
1309	3.380	14.569	0	0	
1310	3.645	14.770	0	0	
1311	3.920	14.979	0	0	
1312	4.205	15.196	0	0	
1313	4.500	15.420	0	0	
1314	4.805	15.652	0	0	
1315	5.120	15.891	0	0	
1316	5.445	16.138	0	0	
1317	5.780	16.393	0	0	
1318	6.125	16.655	0	0	
1319	6.480	16.925	0	0	
1320	6.845	17.202	0	0	
1321	7.220	17.487	0	0	
1322	7.605	17.780	0	0	
1323	8.000	18.080	0	0	
1324	8.405	18.388	0	0	
1325	8.820	18.703	0	0	
1326	9.245	19.026	0	0	
1327	9.680	19.357	0	0	
1328	10.125	19.695	0	0	
1329	10.580	20.041	0	0	
1330	11.045	20.394	0	0	
1331	11.520	20.755	0	0	
1332	12.005	21.124	0	0	
1333	12.500	21.500	0	0	
1334	13.005	21.884	0	0	
1335	13.520	22.275	0	0	
1336	14.045	22.674	0	0	
1337	14.580	23.081	0	0	
1338	15.125	23.495	0	0	
1339	15.680	23.917	0	0	
1340	16.245	24.346	0	0	
