CYCLE	CMDPOS1	CMDPOS2	CMDPOS3	CMDPOS4	CMDPOS5	CMDPOS6	out_0.0	in_0.0
161033	0.000	0.000	0.000	0.000	0.000	0.000	0	0
161034	0.000	0.000	0.000	0.000	0.000	0.000	0	0
161035	0.000	0.000	0.000	0.000	0.000	0.000	0	0
161036	0.000	0.000	0.000	0.000	0.000	0.000	0	0
161037	0.000	0.000	0.000	0.000	0.000	0.000	0	0
161038	0.000	0.000	0.000	0.000	0.000	0.000	0	0
161039	0.000	0.000	0.000	0.000	0.000	0.000	0	0
161040	0.000	0.000	0.000	0.000	0.000	0.000	0	0
161041	0.000	0.000	0.000	0.000	0.000	0.000	0	0
161042	0.000	0.000	0.000	0.000	0.000	0.000	0	0
161043	0.000	0.000	0.000	0.000	0.000	0.000	0	0
161044	0.000	0.000	0.000	0.000	0.000	0.000	0	0
161045	0.000	0.000	0.000	0.000	0.000	0.000	0	0
161046	0.000	0.000	0.000	0.000	0.000	0.000	0	0
161047	0.000	0.000	0.000	0.000	0.000	0.000	0	0
161048	0.000	0.000	0.000	0.000	0.000	0.000	0	0
161049	0.000	0.000	0.000	0.000	0.000	0.000	0	0
161050	0.000	0.000	0.000	0.000	0.000	0.000	0	0
161051	0.000	0.000	0.000	0.000	0.000	0.000	0	0
161052	0.000	0.000	0.000	0.000	0.000	0.000	0	0
161053	0.000	0.000	0.000	0.000	0.000	0.000	0	0
161054	0.000	0.000	0.000	0.000	0.000	0.000	0	0
161055	0.000	0.000	0.000	0.000	0.000	0.000	0	0
161056	0.000	0.000	0.000	0.000	0.000	0.000	0	0
161057	0.000	0.000	0.000	0.000	0.000	0.000	0	0
161058	0.000	0.000	0.000	0.000	0.000	0.000	0	0
161059	0.000	0.000	0.000	0.000	0.000	0.000	0	0
161060	0.000	0.000	0.000	0.000	0.000	0.000	0	0
161061	0.000	0.000	0.000	0.000	0.000	0.000	0	0
161062	0.000	0.000	0.000	0.000	0.000	0.000	0	0
161063	0.000	0.000	0.000	0.000	0.000	0.000	0	0
161064	0.000	0.000	0.000	0.000	0.000	0.000	0	0
161065	0.000	0.000	0.000	0.000	0.000	0.000	0	0
161066	0.000	0.000	0.000	0.000	0.000	0.000	0	0
161067	0.000	0.000	0.000	0.000	0.000	0.000	0	0
161068	0.000	0.000	0.000	0.000	0.000	0.000	0	0
161069	0.000	0.000	0.000	0.000	0.000	0.000	0	0
161070	0.000	0.000	0.000	0.000	0.000	0.000	0	0
161071	0.000	0.000	0.000	0.000	0.000	0.000	0	0
161072	0.000	0.000	0.000	0.000	0.000	0.000	0	0
161073	0.000	0.000	0.000	0.000	0.000	0.000	0	0
161074	0.000	0.000	0.000	0.000	0.000	0.000	0	0
161075	0.000	0.000	0.000	0.000	0.000	0.000	0	0
161076	0.000	0.000	0.000	0.000	0.000	0.000	0	0
161077	0.000	0.000	0.000	0.000	0.000	0.000	0	0
161078	0.000	0.000	0.000	0.000	0.000	0.000	0	0
161079	0.000	0.000	0.000	0.000	0.000	0.000	0	0
161080	0.000	0.000	0.000	0.000	0.000	0.000	0	0
161081	0.000	0.000	0.000	0.000	0.000	0.000	0	0
161082	0.000	0.000	0.000	0.000	0.000	0.000	0	0
161083	0.000	0.000	0.000	0.000	0.000	0.000	0	0
161084	0.000	0.000	0.000	0.000	0.000	0.000	0	0
161085	0.000	0.000	0.000	0.000	0.000	0.000	0	0
