CYCLE	out_0.7	in_0.0
11086	0	0
11087	0	0
11088	0	0
11089	0	0
11090	0	0
11091	0	0
11092	0	0
11093	0	0
11094	0	0
11095	0	0
11096	0	0
11097	0	0
11098	0	0
11099	0	0
11100	0	0
11101	0	0
11102	0	0
11103	0	0
11104	0	0
11105	0	0
11106	0	0
11107	0	0
11108	0	0
11109	0	0
11110	0	0
11111	0	0
11112	0	0
11113	0	0
11114	0	0
11115	0	0
11116	0	0
11117	0	0
11118	0	0
11119	0	0
11120	0	0
11121	0	0
11122	0	0
11123	0	0
11124	0	0
11125	0	0
11126	0	0
11127	0	0
11128	0	0
11129	0	0
11130	0	0
11131	0	0
11132	0	0
11133	0	0
11134	0	0
11135	0	0
11136	0	0
11137	0	0
11138	0	0
11139	0	0
11140	0	0
11141	0	0
11142	0	0
11143	0	0
11144	0	0
11145	0	0
11146	0	0
11147	0	0
11148	0	0
11149	0	0
11150	0	0
11151	0	0
11152	0	0
11153	0	0
11154	0	0
11155	0	0
11156	0	0
11157	0	0
11158	0	0
11159	1	0
11160	1	0
11161	1	0
11162	1	0
11163	1	0
11164	1	0
11165	1	0
11166	1	0
11167	1	0
11168	1	0
11169	1	0
11170	1	0
11171	1	0
11172	1	0
11173	1	0
11174	1	0
11175	1	0
11176	1	0
11177	1	0
11178	1	0
11179	1	0
11180	1	0
11181	1	0
11182	1	0
11183	1	0
11184	1	0
11185	1	0
11186	1	0
11187	1	0
11188	1	0
11189	1	0
11190	1	0
11191	1	0
11192	1	0
11193	1	0
11194	1	0
11195	1	0
11196	1	0
11197	1	0
11198	1	0
11199	1	0
11200	1	0
11201	1	0
11202	1	0
11203	1	0
11204	1	0
11205	1	0
11206	1	0
11207	1	0
11208	1	0
11209	1	0
11210	1	0
11211	1	0
11212	1	0
11213	1	0
11214	1	0
11215	1	0
11216	1	0
11217	1	0
11218	1	0
11219	1	0
11220	1	0
11221	1	0
11222	1	0
11223	1	0
11224	1	0
11225	1	0
11226	1	0
11227	1	0
11228	1	0
11229	0	0
11230	0	0
11231	0	0
11232	0	0
11233	0	0
11234	0	0
11235	0	0
11236	0	0
11237	0	0
11238	0	0
11239	0	0
11240	0	0
11241	0	0
11242	0	0
11243	0	0
11244	0	0
11245	0	0
11246	0	0
11247	0	0
11248	0	0
11249	0	0
11250	0	0
11251	0	0
11252	0	0
11253	0	0
11254	0	0
11255	0	0
11256	0	0
11257	0	0
11258	0	0
11259	0	0
11260	0	0
11261	0	0
11262	0	0
11263	0	0
11264	0	0
11265	0	0
11266	0	0
11267	0	0
11268	0	0
11269	0	0
11270	0	0
11271	0	0
11272	0	0
11273	0	0
11274	0	0
11275	0	0
11276	0	0
11277	0	0
11278	0	0
11279	0	0
11280	0	0
11281	0	0
11282	0	0
11283	0	0
11284	0	0
11285	0	0
11286	0	0
11287	0	0
11288	0	0
11289	0	0
11290	0	0
11291	0	0
11292	0	0
11293	0	0
11294	0	0
11295	0	0
11296	0	0
11297	0	0
11298	0	0
11299	0	0
11300	0	0
11301	0	0
11302	0	0
11303	0	0
11304	0	0
