CYCLE	CMDPOS0	CMDPOS1	CMDPOS8	CMDPOS9	out_0.0	in_0.0
1752	0.000	0.000	0.000	0.000	0	0
1753	0.000	0.000	0.000	0.000	0	0
1754	0.000	0.000	0.000	0.000	0	0
1755	0.000	0.000	0.000	0.000	0	0
1756	0.000	0.000	0.000	0.000	0	0
1757	0.000	0.000	0.000	0.000	0	0
1758	0.000	0.000	0.000	0.000	0	0
1759	0.000	0.000	0.000	0.000	0	0
1760	0.000	0.000	0.000	0.000	0	0
1761	0.000	0.000	0.000	0.000	0	0
1762	0.000	0.000	0.000	0.000	0	0
1763	0.000	0.000	0.000	0.000	0	0
1764	0.000	0.000	0.000	0.000	0	0
1765	0.000	0.000	0.000	0.000	0	0
1766	0.000	0.000	0.000	0.000	0	0
1767	0.000	0.000	0.000	0.000	0	0
1768	0.000	0.000	0.000	0.000	0	0
1769	0.000	0.000	0.000	0.000	0	0
1770	0.000	0.000	0.000	0.000	0	0
1771	0.000	0.000	0.000	0.000	0	0
1772	0.000	0.000	0.000	0.000	0	0
1773	0.000	0.000	0.000	0.000	0	0
1774	0.000	0.000	0.000	0.000	0	0
1775	0.000	0.000	0.000	0.000	0	0
1776	0.000	0.000	0.000	0.000	0	0
1777	0.000	0.000	0.000	0.000	0	0
1778	0.000	0.000	0.000	0.000	0	0
1779	0.000	0.000	0.000	0.000	0	0
1780	0.000	0.000	0.000	0.000	0	0
1781	0.000	0.000	0.000	0.000	0	0
1782	0.000	0.000	0.000	0.000	0	0
1783	0.000	0.000	0.000	0.000	0	0
1784	0.000	0.000	0.000	0.000	0	0
1785	0.000	0.000	0.000	0.000	0	0
1786	0.000	0.000	0.000	0.000	0	0
1787	0.000	0.000	0.000	0.000	0	0
1788	0.000	0.000	0.000	0.000	0	0
1789	0.000	0.000	0.000	0.000	0	0
1790	0.000	0.000	0.000	0.000	0	0
1791	0.000	0.000	0.000	0.000	0	0
1792	0.000	0.000	0.000	0.000	0	0
1793	0.000	0.000	0.000	0.000	0	0
1794	0.000	0.000	0.000	0.000	0	0
1795	0.000	0.000	0.000	0.000	0	0
1796	0.000	0.000	0.000	0.000	0	0
1797	0.000	0.000	0.000	0.000	0	0
1798	0.000	0.000	0.000	0.000	0	0
1799	0.000	0.000	0.000	0.000	0	0
1800	0.000	0.000	0.000	0.000	0	0
1801	0.000	0.000	0.000	0.000	0	0
1802	0.000	0.000	0.000	0.000	0	0
1803	0.000	0.000	0.000	0.000	0	0
1804	0.000	0.000	0.000	0.000	0	0
1805	0.000	0.000	0.000	0.000	0	0
1806	0.000	0.000	0.000	0.000	0	0
1807	0.000	0.000	0.000	0.000	0	0
1808	0.000	0.000	0.000	0.000	0	0
1809	0.000	0.000	0.000	0.000	0	0
1810	0.000	0.000	0.000	0.000	0	0
1811	0.000	0.000	0.000	0.000	0	0
1812	0.000	0.000	0.000	0.000	0	0
1813	0.000	0.000	0.000	0.000	0	0
1814	0.000	0.000	0.001	0.001	0	0
1815	0.000	0.001	0.003	0.003	0	0
1816	0.000	0.003	0.006	0.006	0	0
1817	0.000	0.006	0.011	0.011	0	0
1818	0.000	0.009	0.017	0.017	0	0
1819	0.000	0.013	0.025	0.025	0	0
1820	0.000	0.017	0.034	0.034	0	0
1821	0.000	0.022	0.045	0.045	0	0
1822	0.000	0.028	0.057	0.057	0	0
1823	0.000	0.035	0.070	0.070	0	0
1824	0.000	0.042	0.085	0.085	0	0
1825	0.000	0.050	0.101	0.101	0	0
1826	0.000	0.059	0.118	0.118	0	0
1827	0.000	0.069	0.137	0.137	0	0
1828	0.000	0.079	0.157	0.157	0	0
1829	0.000	0.090	0.179	0.179	0	0
1830	0.000	0.101	0.202	0.202	0	0
1831	0.000	0.113	0.227	0.227	0	0
1832	0.000	0.126	0.253	0.253	0	0
1833	0.000	0.140	0.280	0.280	0	0
1834	0.000	0.154	0.309	0.309	0	0
1835	0.000	0.169	0.339	0.339	0	0
1836	0.000	0.185	0.370	0.370	0	0
1837	0.000	0.202	0.403	0.403	0	0
1838	0.000	0.219	0.437	0.437	0	0
1839	0.000	0.237	0.473	0.473	0	0
1840	0.000	0.255	0.510	0.510	0	0
1841	0.000	0.274	0.549	0.549	0	0
1842	0.000	0.294	0.589	0.589	0	0
1843	0.000	0.315	0.630	0.630	0	0
1844	0.000	0.336	0.673	0.673	0	0
1845	0.000	0.358	0.717	0.717	0	0
1846	0.000	0.381	0.762	0.762	0	0
1847	0.000	0.405	0.809	0.809	0	0
1848	0.000	0.429	0.857	0.857	0	0
1849	0.000	0.454	0.907	0.907	0	0
1850	0.000	0.479	0.958	0.958	0	0
1851	0.000	0.505	1.011	1.011	0	0
1852	0.000	0.532	1.064	1.064	0	0
1853	0.000	0.560	1.120	1.120	0	0
1854	0.000	0.588	1.176	1.176	0	0
1855	0.000	0.617	1.235	1.235	0	0
1856	0.000	0.647	1.294	1.294	0	0
