CYCLE	CMDPOS4	CMPCMDPOS4	out_0.0	in_0.0
1047	0.000	0.000	0	0
1048	0.000	0.000	0	0
1049	0.000	0.000	0	0
1050	0.000	0.000	0	0
1051	0.000	0.000	0	0
1052	0.000	0.000	0	0
1053	0.000	0.000	0	0
1054	0.000	2.000	0	0
1055	0.005	2.006	0	0
1056	0.020	2.024	0	0
1057	0.045	2.054	0	0
1058	0.080	2.096	0	0
1059	0.125	2.150	0	0
1060	0.180	2.216	0	0
1061	0.244	2.293	0	0
1062	0.319	2.383	0	0
1063	0.404	2.485	0	0
1064	0.499	2.599	0	0
1065	0.604	2.724	0	0
1066	0.718	2.862	0	0
1067	0.843	3.012	0	0
1068	0.978	3.173	0	0
1069	1.122	3.347	0	0
1070	1.277	3.533	0	0
1071	1.442	3.730	0	0
1072	1.616	3.940	0	0
1073	1.801	4.161	0	0
1074	1.995	4.395	0	0
1075	2.200	4.640	0	0
1076	2.415	4.897	0	0
1077	2.639	5.167	0	0
1078	2.873	5.448	0	0
1079	3.118	5.741	0	0
1080	3.372	6.047	0	0
1081	3.637	6.364	0	0
1082	3.911	6.693	0	0
1083	4.195	7.035	0	0
1084	4.490	7.388	0	0
1085	4.794	7.753	0	0
1086	5.108	8.130	0	0
1087	5.433	8.519	0	0
1088	5.767	8.920	0	0
1089	6.111	9.333	0	0
1090	6.465	9.758	0	0
1091	6.829	10.195	0	0
1092	7.204	10.644	0	0
1093	7.588	11.105	0	0
1094	7.982	11.578	0	0
1095	8.386	12.063	0	0
1096	8.800	12.560	0	0
1097	9.224	13.069	0	0
1098	9.658	13.590	0	0
1099	10.102	14.122	0	0
1100	10.556	14.667	0	0
1101	11.020	15.224	0	0
1102	11.494	15.793	0	0
1103	11.978	16.373	0	0
1104	12.472	16.966	0	0
1105	12.976	17.571	0	0
1106	13.489	18.187	0	0
1107	14.013	18.816	0	0
1108	14.547	19.456	0	0
1109	15.091	20.109	0	0
1110	15.644	20.773	0	0
1111	16.208	21.450	0	0
1112	16.782	22.138	0	0
1113	17.366	22.839	0	0
1114	17.959	23.551	0	0
1115	18.563	24.275	0	0
1116	19.176	25.012	0	0
1117	19.800	25.760	0	0
1118	20.434	26.520	0	0
1119	21.077	27.293	0	0
1120	21.731	28.077	0	0
1121	22.394	28.873	0	0
1122	23.068	29.681	0	0
1123	23.751	30.501	0	0
1124	24.444	31.333	0	0
1125	25.148	32.177	0	0
1126	25.861	33.033	0	0
1127	26.585	33.901	0	0
1128	27.318	34.781	0	0
1129	28.061	35.673	0	0
1130	28.815	36.577	0	0
1131	29.578	37.493	0	0
1132	30.351	38.421	0	0
1133	31.134	39.361	0	0
1134	31.927	40.313	0	0
1135	32.731	41.277	0	0
1136	33.544	42.253	0	0
1137	34.367	43.240	0	0
1138	35.200	44.240	0	0
1139	36.043	45.252	0	0
1140	36.896	46.275	0	0
