CYCLE	CMDPOS4	CMDPOS6	out_0.0	in_0.0
45864	0.000	0.000	0	0
45865	0.000	0.000	0	0
45866	0.000	0.000	0	0
45867	0.000	0.000	0	0
45868	0.000	0.000	0	0
45869	0.000	0.000	0	0
45870	0.000	0.000	0	0
45871	0.000	0.000	0	0
45872	0.000	0.000	0	0
45873	0.000	0.000	0	0
45874	0.000	0.000	0	0
45875	0.000	0.000	0	0
45876	0.000	0.000	0	0
45877	0.000	0.000	0	0
45878	0.000	0.000	0	0
45879	0.000	0.000	0	0
45880	0.000	0.000	0	0
45881	0.000	0.000	0	0
45882	0.000	0.000	0	0
45883	0.000	0.000	0	0
45884	0.000	0.000	0	0
45885	0.000	0.000	0	0
45886	0.000	0.000	0	0
45887	0.000	0.000	0	0
45888	0.000	0.000	0	0
45889	0.000	0.000	0	0
45890	0.000	0.000	0	0
45891	0.000	0.000	0	0
45892	0.000	0.000	0	0
45893	0.000	0.000	0	0
45894	0.000	0.000	0	0
45895	0.000	0.000	0	0
45896	0.000	0.000	0	0
45897	0.000	0.000	0	0
45898	0.000	0.000	0	0
45899	0.000	0.000	0	0
45900	0.000	0.000	0	0
45901	0.000	0.000	0	0
45902	0.000	0.000	0	0
45903	0.000	0.000	0	0
45904	0.000	0.000	0	0
45905	0.000	0.000	0	0
45906	0.000	0.000	0	0
45907	0.000	0.000	0	0
45908	0.000	0.000	0	0
45909	0.000	0.000	0	0
45910	0.000	0.000	0	0
45911	0.000	0.000	0	0
45912	0.000	0.000	0	0
45913	0.000	0.000	0	0
45914	0.000	0.000	0	0
45915	0.000	0.000	0	0
45916	0.000	0.000	0	0
45917	0.000	0.000	0	0
45918	0.000	0.000	0	0
45919	0.000	0.000	0	0
45920	0.000	0.000	0	0
45921	0.000	0.000	0	0
45922	0.005	0.000	0	0
45923	0.020	0.000	0	0
45924	0.045	0.000	0	0
45925	0.080	0.000	0	0
45926	0.125	0.000	0	0
45927	0.180	0.000	0	0
45928	0.245	0.000	0	0
45929	0.320	0.000	0	0
45930	0.405	0.000	0	0
45931	0.500	0.000	0	0
45932	0.605	0.000	0	0
45933	0.720	0.000	0	0
45934	0.845	0.000	0	0
45935	0.980	0.000	0	0
45936	1.125	0.000	0	0
45937	1.280	0.000	0	0
45938	1.445	0.000	0	0
45939	1.620	0.000	0	0
45940	1.805	0.000	0	0
45941	2.000	0.000	0	0
45942	2.205	0.000	0	0
45943	2.420	0.000	0	0
45944	2.645	0.000	0	0
45945	2.880	0.000	0	0
45946	3.125	0.000	0	0
45947	3.380	0.000	0	0
45948	3.645	0.000	0	0
45949	3.920	0.000	0	0
45950	4.205	0.000	0	0
45951	4.500	0.000	0	0
45952	4.805	0.000	0	0
45953	5.120	0.000	0	0
45954	5.445	0.000	0	0
45955	5.780	0.000	0	0
45956	6.125	0.000	0	0
45957	6.480	0.000	0	0
45958	6.845	0.000	0	0
45959	7.220	0.000	0	0
45960	7.605	0.000	0	0
45961	8.000	0.000	0	0
45962	8.405	0.000	0	0
45963	8.820	0.000	0	0
45964	9.245	0.000	0	0
45965	9.680	0.000	0	0
45966	10.125	0.000	0	0
45967	10.580	0.000	0	0
45968	11.045	0.000	0	0
45969	11.520	0.000	0	0
45970	12.005	0.000	0	0
45971	12.500	0.000	0	0
45972	13.005	0.000	0	0
45973	13.520	0.000	0	0
45974	14.045	0.000	0	0
45975	14.580	0.000	0	0
45976	15.125	0.000	0	0
45977	15.680	0.000	0	0
45978	16.245	0.000	0	0
45979	16.820	0.000	0	0
45980	17.405	0.000	0	0
45981	18.000	0.000	0	0
45982	18.605	0.000	0	0
45983	19.220	0.000	0	0
45984	19.845	0.000	0	0
45985	20.480	0.000	0	0
45986	21.125	0.000	0	0
45987	21.780	0.000	0	0
45988	22.445	0.000	0	0
45989	23.120	0.000	0	0
45990	23.805	0.000	0	0
45991	24.500	0.000	0	0
