CYCLE	CMDPOS1	CMDPOS2	CMDPOS3	CMDPOS4	out_0.0	in_0.0
26226	0.000	0.000	0.000	0.000	0	0
26227	0.000	0.000	0.000	0.000	0	0
26228	0.000	0.000	0.000	0.000	0	0
26229	0.000	0.000	0.000	0.000	0	0
26230	0.000	0.000	0.000	0.000	0	0
26231	0.000	0.000	0.000	0.000	0	0
26232	0.000	0.000	0.000	0.000	0	0
26233	0.000	0.000	0.000	0.000	0	0
26234	0.000	0.000	0.000	0.000	0	0
26235	0.000	0.000	0.000	0.000	0	0
26236	0.000	0.000	0.000	0.000	0	0
26237	0.000	0.000	0.000	0.000	0	0
26238	0.000	0.000	0.000	0.000	0	0
26239	0.000	0.000	0.000	0.000	0	0
26240	0.000	0.000	0.000	0.000	0	0
26241	0.000	0.000	0.000	0.000	0	0
26242	0.000	0.000	0.000	0.000	0	0
26243	0.000	0.000	0.000	0.000	0	0
26244	0.000	0.000	0.000	0.000	0	0
26245	0.000	0.000	0.000	0.000	0	0
26246	0.000	0.000	0.000	0.000	0	0
26247	0.000	0.000	0.000	0.000	0	0
26248	0.000	0.000	0.000	0.000	0	0
26249	0.000	0.000	0.000	0.000	0	0
26250	0.000	0.000	0.000	0.000	0	0
26251	0.000	0.000	0.000	0.000	0	0
26252	0.000	0.000	0.000	0.000	0	0
26253	0.000	0.000	0.000	0.000	0	0
26254	0.000	0.000	0.000	0.000	0	0
26255	0.000	0.000	0.000	0.000	0	0
26256	0.000	0.000	0.000	0.000	0	0
26257	0.000	0.000	0.000	0.000	0	0
26258	0.000	0.000	0.000	0.000	0	0
26259	0.000	0.000	0.000	0.000	0	0
26260	0.000	0.000	0.000	0.000	0	0
26261	0.000	0.000	0.000	0.000	0	0
26262	0.000	0.000	0.000	0.000	0	0
26263	0.000	0.000	0.000	0.000	0	0
26264	0.000	0.000	0.000	0.000	0	0
26265	0.000	0.000	0.000	0.000	0	0
26266	0.000	0.000	0.000	0.000	0	0
26267	0.000	0.000	0.000	0.000	0	0
26268	0.000	0.000	0.000	0.000	0	0
26269	0.000	0.000	0.000	0.000	0	0
26270	0.000	0.000	0.000	0.000	0	0
26271	0.000	0.000	0.000	0.000	0	0
26272	0.000	0.000	0.000	0.000	0	0
26273	0.000	0.000	0.000	0.000	0	0
26274	0.000	0.000	0.000	0.000	0	0
26275	0.000	0.000	0.000	0.000	0	0
26276	0.000	0.000	0.000	0.000	0	0
26277	0.000	0.000	0.000	0.000	0	0
