CYCLE	CMDPOS3	CMDPOS4	CMDPOS6	out_0.0	in_0.0
1759	0.000	0.000	0.000	0	0
1760	0.000	0.000	0.000	0	0
1761	0.000	0.000	0.000	0	0
1762	0.000	0.000	0.000	0	0
1763	0.000	0.000	0.000	0	0
1764	0.000	0.000	0.000	0	0
1765	0.000	0.000	0.000	0	0
1766	0.000	0.000	0.000	0	0
1767	0.000	0.000	0.000	0	0
1768	0.000	0.000	0.000	0	0
1769	0.000	0.000	0.000	0	0
1770	0.000	0.000	0.000	0	0
1771	0.000	0.000	0.000	0	0
1772	0.000	0.000	0.000	0	0
1773	0.000	0.000	0.000	0	0
1774	0.000	0.000	0.000	0	0
1775	0.000	0.000	0.000	0	0
1776	0.000	0.000	0.000	0	0
1777	0.000	0.000	0.000	0	0
1778	0.000	0.000	0.000	0	0
1779	0.000	0.000	0.000	0	0
1780	0.000	0.000	0.000	0	0
1781	0.000	0.000	0.000	0	0
1782	0.000	0.000	0.000	0	0
1783	0.000	0.000	0.000	0	0
1784	0.000	0.000	0.000	0	0
1785	0.000	0.000	0.000	0	0
1786	0.000	0.000	0.000	0	0
1787	0.000	0.000	0.000	0	0
1788	0.000	0.000	0.000	0	0
1789	0.000	0.000	0.000	0	0
1790	0.000	0.000	0.000	0	0
1791	0.000	0.000	0.000	0	0
1792	0.000	0.000	0.000	0	0
1793	0.000	0.000	0.000	0	0
1794	0.000	0.000	0.000	0	0
1795	0.000	0.000	0.000	0	0
1796	0.000	0.000	0.000	0	0
1797	0.000	0.000	0.000	0	0
1798	0.000	0.000	0.000	0	0
1799	0.000	0.000	0.000	0	0
1800	0.000	0.000	0.000	0	0
1801	0.000	0.000	0.000	0	0
1802	0.000	0.000	0.000	0	0
1803	0.000	0.000	0.000	0	0
1804	0.000	0.000	0.000	0	0
1805	0.000	0.000	0.000	0	0
1806	0.000	0.000	0.000	0	0
1807	0.000	0.000	0.000	0	0
1808	0.000	0.000	0.000	0	0
