CYCLE	CMDPOS1	CMDPOS4	out_0.0	in_0.0
1421	0.000	0.000	0	0
1422	0.000	0.000	0	0
1423	0.000	0.000	0	0
1424	0.000	0.000	0	0
1425	0.000	0.000	0	0
1426	0.000	0.000	0	0
1427	0.000	0.000	0	0
1428	0.000	0.000	0	0
1429	0.000	0.000	0	0
1430	0.000	0.000	0	0
1431	0.000	0.000	0	0
1432	0.000	0.000	0	0
1433	0.000	0.000	0	0
1434	0.000	0.000	0	0
1435	0.000	0.000	0	0
1436	0.000	0.000	0	0
1437	0.000	0.000	0	0
1438	0.000	0.000	0	0
1439	0.000	0.000	0	0
1440	0.000	0.000	0	0
1441	0.000	0.000	0	0
1442	0.000	0.000	0	0
1443	0.000	0.000	0	0
1444	0.000	0.000	0	0
1445	0.000	0.000	0	0
1446	0.000	0.000	0	0
1447	0.000	0.000	0	0
1448	0.000	0.000	0	0
1449	0.000	0.000	0	0
1450	0.000	0.000	0	0
1451	0.000	0.000	0	0
1452	0.000	0.000	0	0
1453	0.000	0.000	0	0
1454	0.000	0.000	0	0
1455	0.000	0.000	0	0
1456	0.000	0.000	0	0
1457	0.000	0.000	0	0
1458	0.000	0.000	0	0
1459	0.000	0.000	0	0
1460	0.000	0.000	0	0
1461	0.000	0.000	0	0
1462	0.000	0.000	0	0
1463	0.000	0.000	0	0
1464	0.000	0.000	0	0
1465	0.000	0.000	0	0
1466	0.000	0.000	0	0
1467	0.000	0.000	0	0
1468	0.000	0.000	0	0
1469	0.000	0.000	0	0
1470	0.000	0.000	0	0
1471	0.000	0.000	0	0
1472	0.000	0.000	0	0
1473	0.000	0.000	0	0
1474	0.000	0.000	0	0
1475	0.000	0.000	0	0
1476	0.000	0.000	0	0
1477	0.000	0.000	0	0
1478	0.000	0.000	0	0
1479	0.000	0.000	0	0
1480	0.000	0.000	0	0
1481	0.000	0.000	0	0
1482	0.000	0.000	0	0
1483	0.000	0.000	0	0
1484	0.000	0.000	0	0
1485	0.000	0.000	0	0
1486	0.000	0.000	0	0
1487	0.000	0.000	0	0
1488	0.000	0.000	0	0
1489	0.000	0.000	0	0
1490	0.000	0.000	0	0
1491	0.000	0.000	0	0
1492	0.000	0.000	0	0
1493	0.000	0.000	0	0
1494	0.000	0.000	0	0
1495	0.000	0.000	0	0
1496	0.000	0.000	0	0
1497	0.000	0.000	0	0
1498	0.003	0.000	0	0
1499	0.010	0.000	0	0
1500	0.023	0.000	0	0
1501	0.041	0.000	0	0
1502	0.064	0.000	0	0
1503	0.093	0.000	0	0
1504	0.126	0.000	0	0
1505	0.165	0.000	0	0
1506	0.209	0.000	0	0
1507	0.258	0.000	0	0
1508	0.312	0.000	0	0
1509	0.371	0.000	0	0
1510	0.436	0.000	0	0
1511	0.505	0.000	0	0
1512	0.580	0.000	0	0
1513	0.660	0.000	0	0
1514	0.745	0.000	0	0
1515	0.836	0.000	0	0
1516	0.931	0.000	0	0
1517	1.032	0.000	0	0
1518	1.137	0.000	0	0
1519	1.248	0.000	0	0
1520	1.364	0.000	0	0
1521	1.485	0.000	0	0
1522	1.612	0.000	0	0
1523	1.743	0.000	0	0
1524	1.880	0.000	0	0
1525	2.022	0.000	0	0
1526	2.169	0.000	0	0
1527	2.321	0.000	0	0
1528	2.478	0.000	0	0
1529	2.641	0.000	0	0
1530	2.808	0.000	0	0
1531	2.981	0.000	0	0
1532	3.159	0.000	0	0
1533	3.342	0.000	0	0
1534	3.531	0.000	0	0
1535	3.724	0.000	0	0
1536	3.923	0.000	0	0
1537	4.126	0.000	0	0
1538	4.335	0.000	0	0
1539	4.549	0.000	0	0
1540	4.768	0.000	0	0
1541	4.993	0.000	0	0
1542	5.222	0.000	0	0
1543	5.457	0.000	0	0
1544	5.697	0.000	0	0
1545	5.942	0.000	0	0
1546	6.192	0.000	0	0
1547	6.447	0.000	0	0
1548	6.708	0.000	0	0
1549	6.973	0.000	0	0
1550	7.244	0.000	0	0
1551	7.520	0.000	0	0
1552	7.801	0.000	0	0
1553	8.088	0.000	0	0
1554	8.379	0.000	0	0
1555	8.676	0.000	0	0
1556	8.977	0.000	0	0
1557	9.284	0.000	0	0
1558	9.596	0.000	0	0
1559	9.913	0.000	0	0
1560	10.236	0.000	0	0
1561	10.563	0.000	0	0
1562	10.896	0.000	0	0
1563	11.234	0.000	0	0
1564	11.577	0.000	0	0
1565	11.925	0.000	0	0
1566	12.278	0.000	0	0
1567	12.637	0.000	0	0
1568	13.000	0.000	0	0
1569	13.369	0.000	0	0
1570	13.743	0.000	0	0
1571	14.122	0.000	0	0
1572	14.507	0.000	0	0
1573	14.896	0.000	0	0
1574	15.291	0.000	0	0
1575	15.690	0.000	0	0
1576	16.095	0.000	0	0
1577	16.505	0.000	0	0
1578	16.920	0.000	0	0
1579	17.341	0.000	0	0
1580	17.766	0.000	0	0
1581	18.197	0.000	0	0
1582	18.633	0.000	0	0
1583	19.074	0.000	0	0
1584	19.520	0.000	0	0
1585	19.971	0.000	0	0
1586	20.428	0.000	0	0
1587	20.889	0.000	0	0
1588	21.356	0.000	0	0
1589	21.828	0.000	0	0
1590	22.305	0.000	0	0
1591	22.788	0.000	0	0
1592	23.275	0.000	0	0
1593	23.768	0.000	0	0
1594	24.265	0.000	0	0
1595	24.768	0.000	0	0
1596	25.276	0.000	0	0
1597	25.789	0.000	0	0
1598	26.308	0.000	0	0
1599	26.831	0.000	0	0
1600	27.360	0.000	0	0
1601	27.894	0.000	0	0
1602	28.433	0.000	0	0
1603	28.977	0.000	0	0
1604	29.526	0.000	0	0
1605	30.081	0.000	0	0
1606	30.640	0.000	0	0
1607	31.205	0.000	0	0
1608	31.775	0.000	0	0
1609	32.350	0.000	0	0
1610	32.931	0.000	0	0
1611	33.516	0.000	0	0
1612	34.107	0.000	0	0
1613	34.702	0.000	0	0
1614	35.303	0.000	0	0
1615	35.909	0.000	0	0
1616	36.520	0.000	0	0
1617	37.137	0.000	0	0
1618	37.758	0.000	0	0
1619	38.385	0.000	0	0
1620	39.017	0.000	0	0
1621	39.654	0.000	0	0
1622	40.296	0.000	0	0
1623	40.943	0.000	0	0
1624	41.596	0.000	0	0
1625	42.253	0.000	0	0
1626	42.916	0.000	0	0
1627	43.584	0.000	0	0
1628	44.257	0.000	0	0
1629	44.936	0.000	0	0
1630	45.619	0.000	0	0
1631	46.308	0.000	0	0
1632	47.001	0.000	0	0
1633	47.700	0.000	0	0
1634	48.400	0.000	0	0
1635	49.100	0.000	0	0
1636	49.800	0.000	0	0
1637	50.500	0.000	0	0
1638	51.200	0.000	0	0
1639	51.900	0.000	0	0
1640	52.600	0.000	0	0
1641	53.300	0.000	0	0
1642	54.000	0.000	0	0
1643	54.700	0.000	0	0
1644	55.400	0.000	0	0
1645	56.100	0.000	0	0
1646	56.800	0.000	0	0
1647	57.500	0.000	0	0
1648	58.200	0.000	0	0
1649	58.900	0.000	0	0
1650	59.600	0.000	0	0
1651	60.300	0.000	0	0
1652	61.000	0.000	0	0
1653	61.700	0.000	0	0
1654	62.400	0.000	0	0
1655	63.100	0.000	0	0
1656	63.800	0.000	0	0
1657	64.500	0.000	0	0
1658	65.200	0.000	0	0
1659	65.900	0.000	0	0
1660	66.600	0.000	0	0
1661	67.300	0.000	0	0
1662	68.000	0.000	0	0
1663	68.700	0.000	0	0
1664	69.400	0.000	0	0
1665	70.100	0.000	0	0
1666	70.800	0.000	0	0
1667	71.500	0.000	0	0
1668	72.200	0.000	0	0
1669	72.900	0.000	0	0
1670	73.600	0.000	0	0
1671	74.300	0.000	0	0
1672	75.000	0.000	0	0
1673	75.700	0.000	0	0
1674	76.400	0.000	0	0
1675	77.100	0.000	0	0
