CYCLE	CMDPOS1	CMDPOS2	CMDPOS3	CMDPOS4	out_0.0	in_0.0
24654	0.000	0.000	0.000	0.000	0	0
24655	0.000	0.000	0.000	0.000	0	0
24656	0.000	0.000	0.000	0.000	0	0
24657	0.000	0.000	0.000	0.000	0	0
24658	0.000	0.000	0.000	0.000	0	0
24659	0.000	0.000	0.000	0.000	0	0
24660	0.000	0.000	0.000	0.000	0	0
24661	0.000	0.000	0.000	0.000	0	0
24662	0.000	0.000	0.000	0.000	0	0
24663	0.000	0.000	0.000	0.000	0	0
24664	0.000	0.000	0.000	0.000	0	0
24665	0.000	0.000	0.000	0.000	0	0
24666	0.000	0.000	0.000	0.000	0	0
24667	0.000	0.000	0.000	0.000	0	0
24668	0.000	0.000	0.000	0.000	0	0
24669	0.000	0.000	0.000	0.000	0	0
24670	0.000	0.000	0.000	0.000	0	0
24671	0.000	0.000	0.000	0.000	0	0
24672	0.000	0.000	0.000	0.000	0	0
24673	0.000	0.000	0.000	0.000	0	0
24674	0.000	0.000	0.000	0.000	0	0
24675	0.000	0.000	0.000	0.000	0	0
24676	0.000	0.000	0.000	0.000	0	0
24677	0.000	0.000	0.000	0.000	0	0
24678	0.000	0.000	0.000	0.000	0	0
24679	0.000	0.000	0.000	0.000	0	0
24680	0.000	0.000	0.000	0.000	0	0
24681	0.000	0.000	0.000	0.000	0	0
24682	0.000	0.000	0.000	0.000	0	0
24683	0.000	0.000	0.000	0.000	0	0
24684	0.000	0.000	0.000	0.000	0	0
24685	0.000	0.000	0.000	0.000	0	0
24686	0.000	0.000	0.000	0.000	0	0
24687	0.000	0.000	0.000	0.000	0	0
24688	0.000	0.000	0.000	0.000	0	0
24689	0.000	0.000	0.000	0.000	0	0
24690	0.000	0.000	0.000	0.000	0	0
24691	0.000	0.000	0.000	0.000	0	0
24692	0.000	0.000	0.000	0.000	0	0
24693	0.000	0.000	0.000	0.000	0	0
24694	0.000	0.000	0.000	0.000	0	0
24695	0.000	0.000	0.000	0.000	0	0
24696	0.000	0.000	0.000	0.000	0	0
24697	0.000	0.000	0.000	0.000	0	0
24698	0.000	0.000	0.000	0.000	0	0
24699	0.000	0.000	0.000	0.000	0	0
24700	0.000	0.000	0.000	0.000	0	0
24701	0.000	0.000	0.000	0.000	0	0
24702	0.000	0.000	0.000	0.000	0	0
24703	0.000	0.000	0.000	0.000	0	0
24704	0.000	0.000	0.000	0.000	0	0
24705	0.000	0.000	0.000	0.000	0	0
24706	0.000	0.000	0.000	0.000	0	0
24707	0.000	0.000	0.000	0.000	0	0
24708	0.000	0.000	0.000	0.000	0	0
24709	0.000	0.000	0.000	0.000	0	0
24710	0.000	0.000	0.000	0.000	0	0
24711	0.000	0.000	0.000	0.000	0	0
24712	0.000	0.000	0.000	0.000	0	0
24713	0.000	0.000	0.000	0.000	0	0
24714	0.000	0.000	0.000	0.000	0	0
24715	0.000	0.000	0.000	0.000	0	0
24716	0.000	0.000	0.000	0.000	0	0
24717	0.000	0.000	0.000	0.000	0	0
24718	0.000	0.000	0.000	0.000	0	0
24719	0.000	0.000	0.000	0.000	0	0
24720	0.000	0.000	0.000	0.000	0	0
24721	0.000	0.000	0.000	0.000	0	0
24722	0.000	0.000	0.000	0.000	0	0
24723	0.001	0.000	0.000	0.000	0	0
24724	0.002	0.000	0.000	0.000	0	0
24725	0.004	0.000	0.000	0.000	0	0
24726	0.008	0.000	0.000	0.000	0	0
24727	0.014	0.000	0.000	0.000	0	0
24728	0.023	0.000	0.000	0.000	0	0
24729	0.034	0.000	0.000	0.000	0	0
24730	0.049	0.000	0.000	0.000	0	0
24731	0.067	0.000	0.000	0.000	0	0
24732	0.089	0.000	0.000	0.000	0	0
24733	0.115	0.000	0.000	0.000	0	0
24734	0.146	0.000	0.000	0.000	0	0
24735	0.183	0.000	0.000	0.000	0	0
24736	0.225	0.000	0.000	0.000	0	0
24737	0.273	0.000	0.000	0.000	0	0
24738	0.328	0.000	0.000	0.000	0	0
24739	0.389	0.000	0.000	0.000	0	0
24740	0.457	0.000	0.000	0.000	0	0
24741	0.533	0.000	0.000	0.000	0	0
24742	0.617	0.000	0.000	0.000	0	0
24743	0.710	0.000	0.000	0.000	0	0
24744	0.811	0.000	0.000	0.000	0	0
24745	0.922	0.000	0.000	0.000	0	0
24746	1.042	0.000	0.000	0.000	0	0
24747	1.172	0.000	0.000	0.000	0	0
24748	1.312	0.000	0.000	0.000	0	0
24749	1.463	0.000	0.000	0.000	0	0
24750	1.626	0.000	0.000	0.000	0	0
24751	1.800	0.000	0.000	0.000	0	0
24752	1.986	0.000	0.000	0.000	0	0
24753	2.185	0.000	0.000	0.000	0	0
24754	2.396	0.000	0.000	0.000	0	0
24755	2.620	0.000	0.000	0.000	0	0
24756	2.858	0.000	0.000	0.000	0	0
24757	3.110	0.000	0.000	0.000	0	0
24758	3.377	0.000	0.000	0.000	0	0
24759	3.658	0.000	0.000	0.000	0	0
24760	3.955	0.000	0.000	0.000	0	0
24761	4.267	0.000	0.000	0.000	0	0
24762	4.595	0.000	0.000	0.000	0	0
24763	4.939	0.000	0.000	0.000	0	0
24764	5.300	0.000	0.000	0.000	0	0
24765	5.679	0.000	0.000	0.000	0	0
24766	6.075	0.000	0.000	0.000	0	0
24767	6.489	0.000	0.000	0.000	0	0
24768	6.922	0.000	0.000	0.000	0	0
24769	7.373	0.000	0.000	0.000	0	0
24770	7.843	0.000	0.000	0.000	0	0
24771	8.333	0.000	0.000	0.000	0	0
24772	8.843	0.000	0.000	0.000	0	0
24773	9.373	0.000	0.000	0.000	0	0
24774	9.922	0.000	0.000	0.000	0	0
24775	10.489	0.000	0.000	0.000	0	0
24776	11.075	0.000	0.000	0.000	0	0
24777	11.679	0.000	0.000	0.000	0	0
24778	12.300	0.000	0.000	0.000	0	0
24779	12.939	0.000	0.000	0.000	0	0
24780	13.595	0.000	0.000	0.000	0	0
24781	14.267	0.000	0.000	0.000	0	0
24782	14.955	0.000	0.000	0.000	0	0
24783	15.658	0.000	0.000	0.000	0	0
24784	16.377	0.000	0.000	0.000	0	0
24785	17.110	0.000	0.000	0.000	0	0
24786	17.858	0.000	0.000	0.000	0	0
24787	18.620	0.000	0.000	0.000	0	0
24788	19.396	0.000	0.000	0.000	0	0
24789	20.185	0.000	0.000	0.000	0	0
24790	20.986	0.000	0.000	0.000	0	0
24791	21.800	0.000	0.000	0.000	0	0
24792	22.626	0.000	0.000	0.000	0	0
24793	23.463	0.000	0.000	0.000	0	0
24794	24.312	0.000	0.000	0.000	0	0
24795	25.172	0.000	0.000	0.000	0	0
24796	26.042	0.000	0.000	0.000	0	0
24797	26.922	0.000	0.000	0.000	0	0
24798	27.811	0.000	0.000	0.000	0	0
24799	28.710	0.000	0.000	0.000	0	0
24800	29.617	0.000	0.000	0.000	0	0
24801	30.533	0.000	0.000	0.000	0	0
24802	31.457	0.000	0.000	0.000	0	0
24803	32.389	0.000	0.000	0.000	0	0
24804	33.328	0.000	0.000	0.000	0	0
24805	34.273	0.000	0.000	0.000	0	0
24806	35.225	0.000	0.000	0.000	0	0
24807	36.183	0.000	0.000	0.000	0	0
24808	37.146	0.000	0.000	0.000	0	0
24809	38.115	0.000	0.000	0.000	0	0
24810	39.089	0.000	0.000	0.000	0	0
24811	40.067	0.000	0.000	0.000	0	0
24812	41.049	0.000	0.000	0.000	0	0
24813	42.034	0.000	0.000	0.000	0	0
24814	43.023	0.000	0.000	0.000	0	0
24815	44.014	0.000	0.000	0.000	0	0
24816	45.008	0.000	0.000	0.000	0	0
24817	46.004	0.000	0.000	0.000	0	0
24818	47.002	0.000	0.000	0.000	0	0
24819	48.001	0.000	0.000	0.000	0	0
24820	49.000	0.000	0.000	0.000	0	0
24821	50.000	0.000	0.000	0.000	0	0
24822	51.000	0.000	0.000	0.000	0	0
24823	52.000	0.000	0.000	0.000	0	0
24824	52.999	0.000	0.000	0.000	0	0
24825	53.998	0.000	0.000	0.000	0	0
24826	54.996	0.000	0.000	0.000	0	0
24827	55.992	0.000	0.000	0.000	0	0
24828	56.986	0.000	0.000	0.000	0	0
24829	57.977	0.000	0.000	0.000	0	0
24830	58.966	0.000	0.000	0.000	0	0
24831	59.951	0.000	0.000	0.000	0	0
24832	60.933	0.000	0.000	0.000	0	0
24833	61.911	0.000	0.000	0.000	0	0
24834	62.885	0.000	0.000	0.000	0	0
24835	63.854	0.000	0.000	0.000	0	0
24836	64.817	0.000	0.000	0.000	0	0
24837	65.775	0.000	0.000	0.000	0	0
24838	66.727	0.000	0.000	0.000	0	0
24839	67.672	0.000	0.000	0.000	0	0
24840	68.611	0.000	0.000	0.000	0	0
24841	69.543	0.000	0.000	0.000	0	0
24842	70.467	0.000	0.000	0.000	0	0
24843	71.383	0.000	0.000	0.000	0	0
24844	72.290	0.000	0.000	0.000	0	0
24845	73.189	0.000	0.000	0.000	0	0
24846	74.078	0.000	0.000	0.000	0	0
24847	74.958	0.000	0.000	0.000	0	0
24848	75.828	0.000	0.000	0.000	0	0
24849	76.688	0.000	0.000	0.000	0	0
24850	77.537	0.000	0.000	0.000	0	0
24851	78.374	0.000	0.000	0.000	0	0
24852	79.200	0.000	0.000	0.000	0	0
24853	80.014	0.000	0.000	0.000	0	0
24854	80.815	0.000	0.000	0.000	0	0
24855	81.604	0.000	0.000	0.000	0	0
24856	82.380	0.000	0.000	0.000	0	0
24857	83.142	0.000	0.000	0.000	0	0
24858	83.890	0.000	0.000	0.000	0	0
24859	84.623	0.000	0.000	0.000	0	0
24860	85.342	0.000	0.000	0.000	0	0
24861	86.045	0.000	0.000	0.000	0	0
24862	86.733	0.000	0.000	0.000	0	0
24863	87.405	0.000	0.000	0.000	0	0
24864	88.061	0.000	0.000	0.000	0	0
24865	88.700	0.000	0.000	0.000	0	0
24866	89.321	0.000	0.000	0.000	0	0
24867	89.925	0.000	0.000	0.000	0	0
24868	90.511	0.000	0.000	0.000	0	0
24869	91.078	0.000	0.000	0.000	0	0
24870	91.627	0.000	0.000	0.000	0	0
24871	92.157	0.000	0.000	0.000	0	0
24872	92.667	0.000	0.000	0.000	0	0
24873	93.157	0.000	0.000	0.000	0	0
24874	93.627	0.000	0.000	0.000	0	0
24875	94.078	0.000	0.000	0.000	0	0
24876	94.511	0.000	0.000	0.000	0	0
24877	94.925	0.000	0.000	0.000	0	0
24878	95.321	0.000	0.000	0.000	0	0
24879	95.700	0.000	0.000	0.000	0	0
24880	96.061	0.000	0.000	0.000	0	0
24881	96.405	0.000	0.000	0.000	0	0
24882	96.733	0.000	0.000	0.000	0	0
24883	97.045	0.000	0.000	0.000	0	0
24884	97.342	0.000	0.000	0.000	0	0
24885	97.623	0.000	0.000	0.000	0	0
24886	97.890	0.000	0.000	0.000	0	0
24887	98.142	0.000	0.000	0.000	0	0
24888	98.380	0.000	0.000	0.000	0	0
24889	98.604	0.000	0.000	0.000	0	0
24890	98.815	0.000	0.000	0.000	0	0
24891	99.014	0.000	0.000	0.000	0	0
24892	99.200	0.000	0.000	0.000	0	0
24893	99.374	0.000	0.000	0.000	0	0
24894	99.537	0.000	0.000	0.000	0	0
24895	99.688	0.000	0.000	0.000	0	0
24896	99.828	0.000	0.000	0.000	0	0
24897	99.958	0.000	0.000	0.000	0	0
24898	100.078	0.000	0.000	0.000	0	0
24899	100.189	0.000	0.000	0.000	0	0
24900	100.290	0.000	0.000	0.000	0	0
24901	100.383	0.000	0.000	0.000	0	0
24902	100.467	0.000	0.000	0.000	0	0
24903	100.543	0.000	0.000	0.000	0	0
24904	100.611	0.000	0.000	0.000	0	0
24905	100.672	0.000	0.000	0.000	0	0
24906	100.727	0.000	0.000	0.000	0	0
24907	100.775	0.000	0.000	0.000	0	0
24908	100.817	0.000	0.000	0.000	0	0
24909	100.854	0.000	0.000	0.000	0	0
24910	100.885	0.000	0.000	0.000	0	0
24911	100.911	0.000	0.000	0.000	0	0
24912	100.933	0.000	0.000	0.000	0	0
24913	100.951	0.000	0.000	0.000	0	0
24914	100.966	0.000	0.000	0.000	0	0
24915	100.977	0.000	0.000	0.000	0	0
24916	100.986	0.000	0.000	0.000	0	0
24917	100.992	0.000	0.000	0.000	0	0
24918	100.996	0.000	0.000	0.000	0	0
24919	100.998	0.000	0.000	0.000	0	0
24920	100.999	0.000	0.000	0.000	0	0
24921	101.000	0.000	0.000	0.000	0	0
24922	101.000	0.000	0.000	0.000	0	0
24923	101.000	0.000	0.000	0.000	0	0
24924	101.000	-0.000	0.000	0.000	0	0
24925	101.000	-0.000	0.000	0.000	0	0
24926	101.000	-0.001	0.000	0.000	0	0
24927	101.000	-0.003	0.000	0.000	0	0
24928	101.000	-0.005	0.000	0.000	0	0
24929	101.000	-0.009	0.000	0.000	0	0
24930	101.000	-0.015	0.000	0.000	0	0
24931	101.000	-0.022	0.000	0.000	0	0
24932	101.000	-0.031	0.000	0.000	0	0
24933	101.000	-0.042	0.000	0.000	0	0
24934	101.000	-0.056	0.000	0.000	0	0
24935	101.000	-0.073	0.000	0.000	0	0
24936	101.000	-0.092	0.000	0.000	0	0
24937	101.000	-0.115	0.000	0.000	0	0
24938	101.000	-0.141	0.000	0.000	0	0
24939	101.000	-0.170	0.000	0.000	0	0
24940	101.000	-0.203	0.000	0.000	0	0
24941	101.000	-0.241	0.000	0.000	0	0
24942	101.000	-0.282	0.000	0.000	0	0
24943	101.000	-0.328	0.000	0.000	0	0
24944	101.000	-0.378	0.000	0.000	0	0
24945	101.000	-0.433	0.000	0.000	0	0
24946	101.000	-0.493	0.000	0.000	0	0
24947	101.000	-0.558	0.000	0.000	0	0
24948	101.000	-0.629	0.000	0.000	0	0
24949	101.000	-0.704	0.000	0.000	0	0
24950	101.000	-0.786	0.000	0.000	0	0
24951	101.000	-0.874	0.000	0.000	0	0
24952	101.000	-0.967	0.000	0.000	0	0
24953	101.000	-1.067	0.000	0.000	0	0
24954	101.000	-1.172	0.000	0.000	0	0
24955	101.000	-1.285	0.000	0.000	0	0
24956	101.000	-1.404	0.000	0.000	0	0
24957	101.000	-1.530	0.000	0.000	0	0
24958	101.000	-1.662	0.000	0.000	0	0
24959	101.000	-1.802	0.000	0.000	0	0
24960	101.000	-1.949	0.000	0.000	0	0
24961	101.000	-2.104	0.000	0.000	0	0
24962	101.000	-2.266	0.000	0.000	0	0
24963	101.000	-2.435	0.000	0.000	0	0
24964	101.000	-2.612	0.000	0.000	0	0
24965	101.000	-2.797	0.000	0.000	0	0
24966	101.000	-2.991	0.000	0.000	0	0
24967	101.000	-3.192	0.000	0.000	0	0
24968	101.000	-3.401	0.000	0.000	0	0
24969	101.000	-3.619	0.000	0.000	0	0
24970	101.000	-3.845	0.000	0.000	0	0
24971	101.000	-4.079	0.000	0.000	0	0
24972	101.000	-4.323	0.000	0.000	0	0
24973	101.000	-4.575	0.000	0.000	0	0
24974	101.000	-4.835	0.000	0.000	0	0
24975	101.000	-5.105	0.000	0.000	0	0
24976	101.000	-5.384	0.000	0.000	0	0
24977	101.000	-5.671	0.000	0.000	0	0
24978	101.000	-5.968	0.000	0.000	0	0
