CYCLE	CMDPOS1	CMDPOS2	CMDPOS3	CMDPOS4	CMDPOS5	CMDPOS6	out_0.0	in_0.0
32081	0.000	0.000	0.000	0.000	0.000	0.000	0	0
32082	0.000	0.000	0.000	0.000	0.000	0.000	0	0
32083	0.000	0.000	0.000	0.000	0.000	0.000	0	0
32084	0.000	0.000	0.000	0.000	0.000	0.000	0	0
32085	0.000	0.000	0.000	0.000	0.000	0.000	0	0
32086	0.000	0.000	0.000	0.000	0.000	0.000	0	0
32087	0.000	0.000	0.000	0.000	0.000	0.000	0	0
32088	0.000	0.000	0.000	0.000	0.000	0.000	0	0
32089	0.000	0.000	0.000	0.000	0.000	0.000	0	0
32090	0.000	0.000	0.000	0.000	0.000	0.000	0	0
32091	0.000	0.000	0.000	0.000	0.000	0.000	0	0
32092	0.000	0.000	0.000	0.000	0.000	0.000	0	0
32093	0.000	0.000	0.000	0.000	0.000	0.000	0	0
32094	0.000	0.000	0.000	0.000	0.000	0.000	0	0
32095	0.000	0.000	0.000	0.000	0.000	0.000	0	0
32096	0.000	0.000	0.000	0.000	0.000	0.000	0	0
32097	0.000	0.000	0.000	0.000	0.000	0.000	0	0
32098	0.000	0.000	0.000	0.000	0.000	0.000	0	0
32099	0.000	0.000	0.000	0.000	0.000	0.000	0	0
32100	0.000	0.000	0.000	0.000	0.000	0.000	0	0
32101	0.000	0.000	0.000	0.000	0.000	0.000	0	0
32102	0.000	0.000	0.000	0.000	0.000	0.000	0	0
32103	0.000	0.000	0.000	0.000	0.000	0.000	0	0
32104	0.000	0.000	0.000	0.000	0.000	0.000	0	0
32105	0.000	0.000	0.000	0.000	0.000	0.000	0	0
32106	0.000	0.000	0.000	0.000	0.000	0.000	0	0
32107	0.000	0.000	0.000	0.000	0.000	0.000	0	0
32108	0.000	0.000	0.000	0.000	0.000	0.000	0	0
32109	0.000	0.000	0.000	0.000	0.000	0.000	0	0
32110	0.000	0.000	0.000	0.000	0.000	0.000	0	0
32111	0.000	0.000	0.000	0.000	0.000	0.000	0	0
32112	0.000	0.000	0.000	0.000	0.000	0.000	0	0
32113	0.000	0.000	0.000	0.000	0.000	0.000	0	0
32114	0.000	0.000	0.000	0.000	0.000	0.000	0	0
32115	0.000	0.000	0.000	0.000	0.000	0.000	0	0
32116	0.000	0.000	0.000	0.000	0.000	0.000	0	0
32117	0.000	0.000	0.000	0.000	0.000	0.000	0	0
32118	0.000	0.000	0.000	0.000	0.000	0.000	0	0
32119	0.000	0.000	0.000	0.000	0.000	0.000	0	0
32120	0.000	0.000	0.000	0.000	0.000	0.000	0	0
32121	0.000	0.000	0.000	0.000	0.000	0.000	0	0
32122	0.000	0.000	0.000	0.000	0.000	0.000	0	0
32123	0.000	0.000	0.000	0.000	0.000	0.000	0	0
