CYCLE	CMDPOS5	CMDPOS8	out_0.0	in_0.0
1436	0.000	0.000	0	0
1437	0.000	0.000	0	0
1438	0.000	0.000	0	0
1439	0.000	0.000	0	0
1440	0.000	0.000	0	0
1441	0.000	0.000	0	0
1442	0.000	0.000	0	0
1443	0.000	0.000	0	0
1444	0.000	0.000	0	0
1445	0.000	0.000	0	0
1446	0.000	0.000	0	0
1447	0.000	0.000	0	0
1448	0.000	0.000	0	0
1449	0.000	0.000	0	0
1450	0.000	0.000	0	0
1451	0.000	0.000	0	0
1452	0.000	0.000	0	0
1453	0.000	0.000	0	0
1454	0.000	0.000	0	0
1455	0.000	0.000	0	0
1456	0.000	0.000	0	0
1457	0.000	0.000	0	0
1458	0.000	0.000	0	0
1459	0.000	0.000	0	0
1460	0.000	0.000	0	0
1461	0.000	0.000	0	0
1462	0.000	0.000	0	0
1463	0.000	0.000	0	0
1464	0.000	0.000	0	0
1465	0.000	0.000	0	0
1466	0.000	0.000	0	0
1467	0.000	0.000	0	0
1468	0.000	0.000	0	0
1469	0.000	0.000	0	0
1470	0.000	0.000	0	0
1471	0.000	0.000	0	0
1472	0.000	0.000	0	0
1473	0.000	0.000	0	0
1474	0.000	0.000	0	0
1475	0.000	0.000	0	0
1476	0.000	0.000	0	0
1477	0.000	0.000	0	0
1478	0.000	0.000	0	0
1479	0.000	0.000	0	0
1480	0.000	0.000	0	0
1481	0.000	0.000	0	0
1482	0.000	0.000	0	0
1483	0.000	0.000	0	0
1484	0.000	0.000	0	0
1485	0.000	0.000	0	0
1486	0.000	0.000	0	0
1487	0.000	0.000	0	0
1488	0.000	0.000	0	0
1489	0.000	0.000	0	0
1490	0.000	0.000	0	0
1491	0.000	0.000	0	0
1492	0.000	0.000	0	0
1493	0.000	0.000	0	0
1494	0.000	0.000	0	0
1495	0.000	0.000	0	0
1496	0.000	0.000	0	0
1497	0.000	0.000	0	0
1498	0.000	0.000	0	0
1499	0.000	0.000	0	0
1500	0.000	0.000	0	0
1501	0.000	0.000	0	0
1502	0.000	0.000	0	0
1503	0.000	0.000	0	0
1504	0.000	0.000	0	0
1505	0.000	0.000	0	0
1506	0.000	0.000	0	0
1507	0.000	0.000	0	0
1508	0.000	0.000	0	0
1509	0.000	0.000	0	0
1510	0.000	0.000	0	0
1511	0.000	0.000	0	0
1512	0.005	0.000	0	0
1513	0.020	0.000	0	0
1514	0.045	0.000	0	0
1515	0.080	0.000	0	0
1516	0.125	0.000	0	0
1517	0.180	0.000	0	0
1518	0.245	0.000	0	0
1519	0.320	0.000	0	0
1520	0.405	0.000	0	0
1521	0.500	0.000	0	0
1522	0.605	0.000	0	0
1523	0.720	0.000	0	0
1524	0.845	0.000	0	0
1525	0.980	0.000	0	0
1526	1.125	0.000	0	0
1527	1.280	0.000	0	0
1528	1.445	0.000	0	0
1529	1.620	0.000	0	0
1530	1.805	0.000	0	0
1531	2.000	0.000	0	0
1532	2.205	0.000	0	0
1533	2.420	0.000	0	0
1534	2.645	0.000	0	0
1535	2.880	0.000	0	0
1536	3.125	0.000	0	0
1537	3.380	0.000	0	0
1538	3.645	0.000	0	0
1539	3.920	0.000	0	0
1540	4.205	0.000	0	0
1541	4.500	0.000	0	0
1542	4.805	0.000	0	0
1543	5.120	0.000	0	0
1544	5.445	0.000	0	0
1545	5.780	0.000	0	0
1546	6.125	0.000	0	0
1547	6.480	0.000	0	0
1548	6.845	0.000	0	0
1549	7.220	0.000	0	0
1550	7.605	0.000	0	0
1551	8.000	0.000	0	0
1552	8.405	0.000	0	0
1553	8.820	0.000	0	0
1554	9.245	0.000	0	0
1555	9.680	0.000	0	0
1556	10.125	0.000	0	0
1557	10.580	0.000	0	0
1558	11.045	0.000	0	0
1559	11.520	0.000	0	0
1560	12.005	0.000	0	0
1561	12.500	0.000	0	0
1562	13.005	0.000	0	0
1563	13.520	0.000	0	0
1564	14.045	0.000	0	0
1565	14.580	0.000	0	0
1566	15.125	0.000	0	0
1567	15.680	0.000	0	0
1568	16.245	0.000	0	0
1569	16.820	0.000	0	0
1570	17.405	0.000	0	0
1571	18.000	0.000	0	0
1572	18.605	0.000	0	0
1573	19.220	0.000	0	0
1574	19.845	0.000	0	0
1575	20.480	0.000	0	0
1576	21.125	0.000	0	0
1577	21.780	0.000	0	0
1578	22.445	0.000	0	0
1579	23.120	0.000	0	0
1580	23.805	0.000	0	0
1581	24.500	0.000	0	0
1582	25.205	0.000	0	0
1583	25.920	0.000	0	0
1584	26.645	0.000	0	0
1585	27.380	0.000	0	0
1586	28.125	0.000	0	0
1587	28.880	0.000	0	0
1588	29.645	0.000	0	0
1589	30.420	0.000	0	0
1590	31.205	0.000	0	0
1591	32.000	0.000	0	0
1592	32.805	0.000	0	0
1593	33.620	0.000	0	0
1594	34.445	0.000	0	0
1595	35.280	0.000	0	0
1596	36.125	0.000	0	0
1597	36.980	0.000	0	0
1598	37.845	0.000	0	0
1599	38.720	0.000	0	0
1600	39.605	0.000	0	0
1601	40.500	0.000	0	0
1602	41.405	0.000	0	0
1603	42.320	0.000	0	0
1604	43.245	0.000	0	0
1605	44.180	0.000	0	0
1606	45.125	0.000	0	0
1607	46.080	0.000	0	0
1608	47.045	0.000	0	0
1609	48.020	0.000	0	0
1610	49.005	0.000	0	0
1611	50.000	0.000	0	0
1612	51.000	0.000	0	0
1613	52.000	0.000	0	0
1614	53.000	0.000	0	0
1615	54.000	0.000	0	0
1616	55.000	0.000	0	0
1617	56.000	0.000	0	0
1618	57.000	0.000	0	0
1619	58.000	0.000	0	0
1620	59.000	0.000	0	0
1621	60.000	0.000	0	0
1622	61.000	0.000	0	0
1623	62.000	0.000	0	0
1624	63.000	0.000	0	0
1625	64.000	0.000	0	0
1626	65.000	0.000	0	0
1627	66.000	0.000	0	0
1628	67.000	0.000	0	0
1629	68.000	0.000	0	0
1630	69.000	0.000	0	0
1631	70.000	0.000	0	0
1632	71.000	0.000	0	0
1633	72.000	0.000	0	0
1634	73.000	0.000	0	0
1635	74.000	0.000	0	0
1636	75.000	0.000	0	0
1637	76.000	0.000	0	0
1638	77.000	0.000	0	0
1639	78.000	0.000	0	0
1640	79.000	0.000	0	0
1641	80.000	0.000	0	0
1642	81.000	0.000	0	0
1643	82.000	0.000	0	0
1644	83.000	0.000	0	0
1645	84.000	0.000	0	0
1646	85.000	0.000	0	0
1647	86.000	0.000	0	0
1648	87.000	0.000	0	0
1649	88.000	0.000	0	0
1650	89.000	0.000	0	0
1651	90.000	0.000	0	0
1652	91.000	0.000	0	0
1653	92.000	0.000	0	0
1654	93.000	0.000	0	0
1655	94.000	0.000	0	0
1656	95.000	0.000	0	0
1657	96.000	0.000	0	0
1658	97.000	0.000	0	0
1659	98.000	0.000	0	0
1660	99.000	0.000	0	0
1661	100.000	0.000	0	0
1662	101.000	0.000	0	0
1663	102.000	0.000	0	0
1664	103.000	0.000	0	0
1665	104.000	0.000	0	0
1666	105.000	0.000	0	0
1667	106.000	0.000	0	0
1668	107.000	0.000	0	0
1669	108.000	0.000	0	0
1670	109.000	0.000	0	0
1671	110.000	0.000	0	0
1672	111.000	0.000	0	0
1673	112.000	0.000	0	0
1674	113.000	0.000	0	0
1675	114.000	0.000	0	0
1676	115.000	0.000	0	0
1677	116.000	0.000	0	0
1678	117.000	0.000	0	0
1679	118.000	0.000	0	0
1680	119.000	0.000	0	0
1681	120.000	0.000	0	0
1682	121.000	0.000	0	0
1683	122.000	0.000	0	0
1684	123.000	0.000	0	0
1685	124.000	0.000	0	0
1686	125.000	0.000	0	0
1687	126.000	0.000	0	0
1688	127.000	0.000	0	0
1689	128.000	0.000	0	0
1690	129.000	0.000	0	0
1691	130.000	0.000	0	0
1692	131.000	0.000	0	0
1693	132.000	0.000	0	0
1694	133.000	0.000	0	0
1695	134.000	0.000	0	0
1696	135.000	0.000	0	0
1697	136.000	0.000	0	0
1698	137.000	0.000	0	0
1699	138.000	0.000	0	0
1700	139.000	0.000	0	0
1701	140.000	0.000	0	0
1702	141.000	0.000	0	0
1703	142.000	0.000	0	0
1704	143.000	0.000	0	0
1705	144.000	0.000	0	0
1706	145.000	0.000	0	0
1707	146.000	0.000	0	0
1708	147.000	0.000	0	0
1709	148.000	0.000	0	0
1710	149.000	0.000	0	0
1711	150.000	0.000	0	0
1712	150.995	0.000	0	0
1713	151.980	0.000	0	0
1714	152.955	0.000	0	0
1715	153.920	0.000	0	0
1716	154.875	0.000	0	0
1717	155.820	0.000	0	0
1718	156.755	0.000	0	0
1719	157.680	0.000	0	0
1720	158.595	0.000	0	0
1721	159.500	0.000	0	0
1722	160.395	0.000	0	0
1723	161.280	0.000	0	0
1724	162.155	0.000	0	0
1725	163.020	0.000	0	0
1726	163.875	0.000	0	0
1727	164.720	0.000	0	0
1728	165.555	0.000	0	0
1729	166.380	0.000	0	0
1730	167.195	0.000	0	0
1731	168.000	0.000	0	0
1732	168.795	0.000	0	0
1733	169.580	0.000	0	0
1734	170.355	0.000	0	0
1735	171.120	0.000	0	0
1736	171.875	0.000	0	0
1737	172.620	0.000	0	0
1738	173.355	0.000	0	0
1739	174.080	0.000	0	0
1740	174.795	0.000	0	0
1741	175.500	0.000	0	0
1742	176.195	0.000	0	0
1743	176.880	0.000	0	0
1744	177.555	0.000	0	0
1745	178.220	0.000	0	0
1746	178.875	0.000	0	0
1747	179.520	0.000	0	0
1748	180.155	0.000	0	0
1749	180.780	0.000	0	0
1750	181.395	0.000	0	0
1751	182.000	0.000	0	0
1752	182.595	0.000	0	0
1753	183.180	0.000	0	0
1754	183.755	0.000	0	0
1755	184.320	0.000	0	0
1756	184.875	0.000	0	0
1757	185.420	0.000	0	0
1758	185.955	0.000	0	0
1759	186.480	0.000	0	0
1760	186.995	0.000	0	0
1761	187.500	0.000	0	0
1762	187.995	0.000	0	0
1763	188.480	0.000	0	0
1764	188.955	0.000	0	0
1765	189.420	0.000	0	0
1766	189.875	0.000	0	0
1767	190.320	0.000	0	0
1768	190.755	0.000	0	0
1769	191.180	0.000	0	0
1770	191.595	0.000	0	0
1771	192.000	0.000	0	0
1772	192.395	0.000	0	0
1773	192.780	0.000	0	0
1774	193.155	0.000	0	0
1775	193.520	0.000	0	0
1776	193.875	0.000	0	0
1777	194.220	0.000	0	0
1778	194.555	0.000	0	0
1779	194.880	0.000	0	0
1780	195.195	0.000	0	0
1781	195.500	0.000	0	0
1782	195.795	0.000	0	0
1783	196.080	0.000	0	0
1784	196.355	0.000	0	0
1785	196.620	0.000	0	0
1786	196.875	0.000	0	0
1787	197.120	0.000	0	0
1788	197.355	0.000	0	0
1789	197.580	0.000	0	0
1790	197.795	0.000	0	0
1791	198.000	0.000	0	0
1792	198.195	0.000	0	0
1793	198.380	0.000	0	0
1794	198.555	0.000	0	0
1795	198.720	0.000	0	0
1796	198.875	0.000	0	0
1797	199.020	0.000	0	0
1798	199.155	0.000	0	0
1799	199.280	0.000	0	0
1800	199.395	0.000	0	0
1801	199.500	0.000	0	0
1802	199.595	0.000	0	0
1803	199.680	0.000	0	0
1804	199.755	0.000	0	0
1805	199.820	0.000	0	0
1806	199.875	0.000	0	0
1807	199.920	0.000	0	0
1808	199.955	0.000	0	0
1809	199.980	0.000	0	0
1810	199.995	0.000	0	0
1811	200.000	0.000	0	0
1812	200.000	0.000	0	0
1813	199.995	0.000	0	0
1814	199.980	0.000	0	0
1815	199.955	0.000	0	0
1816	199.920	0.000	0	0
1817	199.875	0.000	0	0
1818	199.820	0.000	0	0
1819	199.755	0.000	0	0
1820	199.680	0.000	0	0
1821	199.595	0.000	0	0
1822	199.500	0.000	0	0
1823	199.395	0.000	0	0
1824	199.280	0.000	0	0
1825	199.155	0.000	0	0
1826	199.020	0.000	0	0
1827	198.875	0.000	0	0
1828	198.720	0.000	0	0
1829	198.555	0.000	0	0
1830	198.380	0.000	0	0
1831	198.195	0.000	0	0
1832	198.000	0.000	0	0
1833	197.795	0.000	0	0
1834	197.580	0.000	0	0
1835	197.355	0.000	0	0
1836	197.120	0.000	0	0
1837	196.875	0.000	0	0
1838	196.620	0.000	0	0
1839	196.355	0.000	0	0
1840	196.080	0.000	0	0
1841	195.795	0.000	0	0
1842	195.500	0.000	0	0
1843	195.195	0.000	0	0
1844	194.880	0.000	0	0
1845	194.555	0.000	0	0
1846	194.220	0.000	0	0
1847	193.875	0.000	0	0
1848	193.520	0.000	0	0
1849	193.155	0.000	0	0
1850	192.780	0.000	0	0
1851	192.395	0.000	0	0
1852	192.000	0.000	0	0
1853	191.595	0.000	0	0
1854	191.180	0.000	0	0
1855	190.755	0.000	0	0
1856	190.320	0.000	0	0
1857	189.875	0.000	0	0
1858	189.420	0.000	0	0
1859	188.955	0.000	0	0
1860	188.480	0.000	0	0
1861	187.995	0.000	0	0
1862	187.500	0.000	0	0
1863	186.995	0.000	0	0
1864	186.480	0.000	0	0
1865	185.955	0.000	0	0
1866	185.420	0.000	0	0
1867	184.875	0.000	0	0
1868	184.320	0.000	0	0
1869	183.755	0.000	0	0
1870	183.180	0.000	0	0
1871	182.595	0.000	0	0
1872	182.000	0.000	0	0
1873	181.395	0.000	0	0
1874	180.780	0.000	0	0
1875	180.155	0.000	0	0
1876	179.520	0.000	0	0
1877	178.875	0.000	0	0
1878	178.220	0.000	0	0
1879	177.555	0.000	0	0
1880	176.880	0.000	0	0
1881	176.195	0.000	0	0
1882	175.500	0.000	0	0
1883	174.795	0.000	0	0
1884	174.080	0.000	0	0
1885	173.355	0.000	0	0
1886	172.620	0.000	0	0
1887	171.875	0.000	0	0
1888	171.120	0.000	0	0
1889	170.355	0.000	0	0
1890	169.580	0.000	0	0
1891	168.795	0.000	0	0
1892	168.000	0.000	0	0
1893	167.195	0.000	0	0
1894	166.380	0.000	0	0
1895	165.555	0.000	0	0
1896	164.720	0.000	0	0
1897	163.875	0.000	0	0
1898	163.020	0.000	0	0
1899	162.155	0.000	0	0
1900	161.280	0.000	0	0
1901	160.395	0.000	0	0
1902	159.500	0.000	0	0
1903	158.595	0.000	0	0
1904	157.680	0.000	0	0
1905	156.755	0.000	0	0
1906	155.820	0.000	0	0
1907	154.875	0.000	0	0
1908	153.920	0.000	0	0
1909	152.955	0.000	0	0
1910	151.980	0.000	0	0
1911	150.995	0.000	0	0
1912	150.000	0.000	0	0
1913	149.000	0.000	0	0
1914	148.000	0.000	0	0
1915	147.000	0.000	0	0
1916	146.000	0.000	0	0
1917	145.000	0.000	0	0
1918	144.000	0.000	0	0
1919	143.000	0.000	0	0
1920	142.000	0.000	0	0
1921	141.000	0.000	0	0
1922	140.000	0.000	0	0
1923	139.000	0.000	0	0
1924	138.000	0.000	0	0
1925	137.000	0.000	0	0
1926	136.000	0.000	0	0
1927	135.000	0.000	0	0
1928	134.000	0.000	0	0
1929	133.000	0.000	0	0
1930	132.000	0.000	0	0
1931	131.000	0.000	0	0
1932	130.000	0.000	0	0
1933	129.000	0.000	0	0
1934	128.000	0.000	0	0
1935	127.000	0.000	0	0
1936	126.000	0.000	0	0
1937	125.000	0.000	0	0
1938	124.000	0.000	0	0
1939	123.000	0.000	0	0
1940	122.000	0.000	0	0
1941	121.000	0.000	0	0
1942	120.000	0.000	0	0
1943	119.000	0.000	0	0
1944	118.000	0.000	0	0
1945	117.000	0.000	0	0
1946	116.000	0.000	0	0
1947	115.000	0.000	0	0
1948	114.000	0.000	0	0
1949	113.000	0.000	0	0
1950	112.000	0.000	0	0
1951	111.000	0.000	0	0
1952	110.000	0.000	0	0
1953	109.000	0.000	0	0
1954	108.000	0.000	0	0
1955	107.000	0.000	0	0
1956	106.000	0.000	0	0
1957	105.000	0.000	0	0
1958	104.000	0.000	0	0
1959	103.000	0.000	0	0
1960	102.000	0.000	0	0
1961	101.000	0.000	0	0
1962	100.000	0.000	0	0
1963	99.005	0.000	0	0
1964	98.020	0.000	0	0
1965	97.045	0.000	0	0
1966	96.080	0.000	0	0
1967	95.125	0.000	0	0
1968	94.180	0.000	0	0
1969	93.245	0.000	0	0
1970	92.320	0.000	0	0
1971	91.405	0.000	0	0
1972	90.500	0.000	0	0
1973	89.605	0.000	0	0
1974	88.720	0.000	0	0
1975	87.845	0.000	0	0
1976	86.980	0.000	0	0
1977	86.125	0.000	0	0
1978	85.280	0.000	0	0
1979	84.445	0.000	0	0
1980	83.620	0.000	0	0
1981	82.805	0.000	0	0
1982	82.000	0.000	0	0
1983	81.205	0.000	0	0
1984	80.420	0.000	0	0
1985	79.645	0.000	0	0
1986	78.880	0.000	0	0
1987	78.125	0.000	0	0
1988	77.380	0.000	0	0
1989	76.645	0.000	0	0
1990	75.920	0.000	0	0
1991	75.205	0.000	0	0
1992	74.500	0.000	0	0
1993	73.805	0.000	0	0
1994	73.120	0.000	0	0
1995	72.445	0.000	0	0
1996	71.780	0.000	0	0
1997	71.125	0.000	0	0
1998	70.480	0.000	0	0
1999	69.845	0.000	0	0
2000	69.220	0.000	0	0
2001	68.605	0.000	0	0
2002	68.000	0.000	0	0
2003	67.405	0.000	0	0
2004	66.820	0.000	0	0
2005	66.245	0.000	0	0
2006	65.680	0.000	0	0
2007	65.125	0.000	0	0
2008	64.580	0.000	0	0
2009	64.045	0.000	0	0
2010	63.520	0.000	0	0
2011	63.005	0.000	0	0
2012	62.500	0.000	0	0
2013	62.005	0.000	0	0
2014	61.520	0.000	0	0
2015	61.045	0.000	0	0
2016	60.580	0.000	0	0
2017	60.125	0.000	0	0
2018	59.680	0.000	0	0
2019	59.245	0.000	0	0
2020	58.820	0.000	0	0
2021	58.405	0.000	0	0
2022	58.000	0.000	0	0
2023	57.605	0.000	0	0
2024	57.220	0.000	0	0
2025	56.845	0.000	0	0
2026	56.480	0.000	0	0
2027	56.125	0.000	0	0
2028	55.780	0.000	0	0
2029	55.445	0.000	0	0
2030	55.120	0.000	0	0
2031	54.805	0.000	0	0
2032	54.500	0.000	0	0
2033	54.205	0.000	0	0
2034	53.920	0.000	0	0
2035	53.645	0.000	0	0
2036	53.380	0.000	0	0
2037	53.125	0.000	0	0
2038	52.880	0.000	0	0
2039	52.645	0.000	0	0
2040	52.420	0.000	0	0
2041	52.205	0.000	0	0
2042	52.000	0.000	0	0
2043	51.805	0.000	0	0
2044	51.620	0.000	0	0
2045	51.445	0.000	0	0
2046	51.280	0.000	0	0
2047	51.125	0.000	0	0
2048	50.980	0.000	0	0
2049	50.845	0.000	0	0
2050	50.720	0.000	0	0
2051	50.605	0.000	0	0
2052	50.500	0.000	0	0
2053	50.405	0.000	0	0
2054	50.320	0.000	0	0
2055	50.245	0.000	0	0
2056	50.180	0.000	0	0
2057	50.125	0.000	0	0
2058	50.080	0.000	0	0
2059	50.045	0.000	0	0
2060	50.020	0.000	0	0
2061	50.005	0.000	0	0
2062	50.000	0.000	0	0
2063	50.000	0.000	0	0
2064	50.000	0.000	0	0
2065	50.000	0.000	0	0
2066	50.000	0.000	0	0
2067	50.000	0.000	0	0
2068	50.000	0.000	0	0
2069	50.000	0.000	0	0
2070	50.000	0.000	0	0
2071	50.000	0.000	0	0
2072	50.000	0.000	0	0
2073	50.000	0.000	0	0
2074	50.000	0.000	0	0
2075	50.000	0.000	0	0
2076	50.000	0.000	0	0
2077	50.000	0.000	0	0
2078	50.000	0.000	0	0
2079	50.000	0.000	0	0
2080	50.000	0.000	0	0
2081	50.000	0.000	0	0
2082	50.000	0.000	0	0
2083	50.000	0.000	0	0
2084	50.000	0.000	0	0
2085	50.000	0.000	0	0
2086	50.000	0.000	0	0
2087	50.000	0.000	0	0
2088	50.000	0.000	0	0
2089	50.000	0.000	0	0
2090	50.000	0.000	0	0
2091	50.000	0.000	0	0
2092	50.000	0.000	0	0
2093	50.000	0.000	0	0
2094	50.000	0.000	0	0
2095	50.000	0.000	0	0
2096	50.000	0.000	0	0
2097	50.000	0.000	0	0
2098	50.000	0.000	0	0
2099	50.000	0.000	0	0
2100	50.000	0.000	0	0
2101	50.000	0.000	0	0
2102	50.000	0.000	0	0
2103	50.000	0.000	0	0
2104	50.000	0.000	0	0
2105	50.000	0.000	0	0
2106	50.000	0.000	0	0
2107	50.000	0.000	0	0
2108	50.000	0.000	0	0
2109	50.000	0.000	0	0
2110	50.000	0.000	0	0
2111	50.000	0.000	0	0
2112	50.000	0.000	0	0
2113	50.000	0.000	0	0
2114	50.000	0.000	0	0
2115	50.000	0.000	0	0
2116	50.000	0.000	0	0
2117	50.000	0.000	0	0
2118	50.000	0.000	0	0
2119	50.000	0.000	0	0
2120	50.000	0.000	0	0
2121	50.000	0.000	0	0
2122	50.000	0.000	0	0
2123	50.000	0.000	0	0
2124	50.000	0.000	0	0
2125	50.000	0.000	0	0
2126	50.000	0.000	0	0
2127	50.000	0.000	0	0
2128	50.000	0.000	0	0
2129	50.000	0.000	0	0
2130	50.000	0.000	0	0
2131	50.000	0.000	0	0
