CYCLE	CMDPOS2	CMDPOS4	CMDPOS5	out_0.0	in_0.0
1363	0.000	0.000	0.000	0	0
1364	0.000	0.000	0.000	0	0
1365	0.000	0.000	0.000	0	0
1366	0.000	0.000	0.000	0	0
1367	0.000	0.000	0.000	0	0
1368	0.000	0.000	0.000	0	0
1369	0.000	0.000	0.000	0	0
1370	0.000	0.000	0.000	0	0
1371	0.000	0.000	0.000	0	0
1372	0.000	0.000	0.000	0	0
1373	0.000	0.000	0.000	0	0
1374	0.000	0.000	0.000	0	0
1375	0.000	0.000	0.000	0	0
1376	0.000	0.000	0.000	0	0
1377	0.000	0.000	0.000	0	0
1378	0.000	0.000	0.000	0	0
1379	0.000	0.000	0.000	0	0
1380	0.000	0.000	0.000	0	0
1381	0.000	0.000	0.000	0	0
1382	0.000	0.000	0.000	0	0
1383	0.000	0.000	0.000	0	0
1384	0.000	0.000	0.000	0	0
1385	0.000	0.000	0.000	0	0
1386	0.000	0.000	0.000	0	0
1387	0.000	0.000	0.000	0	0
1388	0.000	0.000	0.000	0	0
1389	0.000	0.000	0.000	0	0
1390	0.000	0.000	0.000	0	0
1391	0.000	0.000	0.000	0	0
1392	0.000	0.000	0.000	0	0
1393	0.000	0.000	0.000	0	0
1394	0.000	0.000	0.000	0	0
1395	0.000	0.000	0.000	0	0
1396	0.000	0.000	0.000	0	0
1397	0.000	0.000	0.000	0	0
1398	0.000	0.000	0.000	0	0
1399	0.000	0.000	0.000	0	0
1400	0.000	0.000	0.000	0	0
1401	0.000	0.000	0.000	0	0
1402	0.000	0.000	0.000	0	0
1403	0.000	0.000	0.000	0	0
1404	0.000	0.000	0.000	0	0
1405	0.000	0.000	0.000	0	0
1406	0.000	0.000	0.000	0	0
1407	0.000	0.000	0.000	0	0
1408	0.000	0.000	0.000	0	0
1409	0.000	0.000	0.000	0	0
1410	0.000	0.000	0.000	0	0
1411	0.000	0.000	0.000	0	0
1412	0.000	0.000	0.000	0	0
1413	0.000	0.000	0.000	0	0
1414	0.000	0.000	0.000	0	0
1415	0.000	0.000	0.000	0	0
1416	0.000	0.000	0.000	0	0
1417	0.000	0.000	0.000	0	0
1418	0.000	0.000	0.000	0	0
1419	0.000	0.000	0.000	0	0
1420	0.000	0.000	0.000	0	0
1421	0.000	0.000	0.000	0	0
1422	0.000	0.000	0.000	0	0
1423	0.000	0.000	0.000	0	0
1424	0.000	0.000	0.000	0	0
1425	0.000	0.000	0.000	0	0
1426	0.000	0.000	0.000	0	0
1427	0.000	0.000	0.000	0	0
1428	0.000	0.000	0.000	0	0
1429	0.000	0.000	0.000	0	0
1430	0.000	0.000	0.000	0	0
1431	0.000	0.000	0.000	0	0
1432	0.000	0.000	0.000	0	0
1433	0.000	0.000	0.000	0	0
1434	0.000	0.001	0.000	0	0
1435	0.000	0.006	0.000	0	0
1436	0.000	0.013	0.000	0	0
1437	0.000	0.024	0.000	0	0
1438	0.000	0.037	0.000	0	0
1439	0.000	0.054	0.000	0	0
1440	0.000	0.073	0.000	0	0
1441	0.000	0.096	0.000	0	0
1442	0.000	0.121	0.000	0	0
1443	0.000	0.150	0.000	0	0
1444	0.000	0.181	0.000	0	0
1445	0.000	0.216	0.000	0	0
1446	0.000	0.253	0.000	0	0
1447	0.000	0.294	0.000	0	0
1448	0.000	0.337	0.000	0	0
1449	0.000	0.384	0.000	0	0
1450	0.000	0.433	0.000	0	0
1451	0.000	0.486	0.000	0	0
1452	0.000	0.541	0.000	0	0
1453	0.000	0.600	0.000	0	0
1454	0.000	0.661	0.000	0	0
1455	0.000	0.726	0.000	0	0
1456	0.000	0.793	0.000	0	0
1457	0.000	0.864	0.000	0	0
1458	0.000	0.937	0.000	0	0
1459	0.000	1.014	0.000	0	0
1460	0.000	1.093	0.000	0	0
1461	0.000	1.176	0.000	0	0
1462	0.000	1.261	0.000	0	0
1463	0.000	1.350	0.000	0	0
1464	0.000	1.441	0.000	0	0
1465	0.000	1.536	0.000	0	0
1466	0.000	1.633	0.000	0	0
1467	0.000	1.734	0.000	0	0
1468	0.000	1.837	0.000	0	0
1469	0.000	1.944	0.000	0	0
1470	0.000	2.053	0.000	0	0
1471	0.000	2.166	0.000	0	0
1472	0.000	2.281	0.000	0	0
1473	0.000	2.400	0.000	0	0
1474	0.000	2.521	0.000	0	0
1475	0.000	2.646	0.000	0	0
1476	0.000	2.773	0.000	0	0
1477	0.000	2.904	0.000	0	0
1478	0.000	3.037	0.000	0	0
1479	0.000	3.174	0.000	0	0
1480	0.000	3.313	0.000	0	0
1481	0.000	3.456	0.000	0	0
1482	0.000	3.601	0.000	0	0
1483	0.000	3.750	0.000	0	0
1484	0.000	3.901	0.000	0	0
1485	0.000	4.056	0.000	0	0
1486	0.000	4.213	0.000	0	0
1487	0.000	4.374	0.000	0	0
1488	0.000	4.537	0.000	0	0
1489	0.000	4.704	0.000	0	0
1490	0.000	4.873	0.000	0	0
1491	0.000	5.046	0.000	0	0
1492	0.000	5.221	0.000	0	0
1493	0.000	5.400	0.000	0	0
1494	0.000	5.581	0.000	0	0
1495	0.000	5.766	0.000	0	0
1496	0.000	5.953	0.000	0	0
1497	0.000	6.144	0.000	0	0
1498	0.000	6.337	0.000	0	0
1499	0.000	6.534	0.000	0	0
1500	0.000	6.733	0.000	0	0
1501	0.000	6.936	0.000	0	0
1502	0.000	7.141	0.000	0	0
1503	0.000	7.350	0.000	0	0
1504	0.000	7.561	0.000	0	0
1505	0.000	7.776	0.000	0	0
1506	0.000	7.993	0.000	0	0
1507	0.000	8.213	0.000	0	0
1508	0.000	8.437	0.000	0	0
1509	0.000	8.663	0.000	0	0
1510	0.000	8.893	0.000	0	0
1511	0.000	9.125	0.000	0	0
1512	0.000	9.361	0.000	0	0
1513	0.000	9.599	0.000	0	0
1514	0.000	9.841	0.000	0	0
1515	0.000	10.085	0.000	0	0
1516	0.000	10.333	0.000	0	0
1517	0.000	10.583	0.000	0	0
1518	0.000	10.837	0.000	0	0
1519	0.000	11.093	0.000	0	0
1520	0.000	11.353	0.000	0	0
1521	0.000	11.615	0.000	0	0
1522	0.000	11.881	0.000	0	0
1523	0.000	12.149	0.000	0	0
1524	0.000	12.421	0.000	0	0
1525	0.000	12.695	0.000	0	0
1526	0.000	12.973	0.000	0	0
1527	0.000	13.253	0.000	0	0
1528	0.000	13.537	0.000	0	0
1529	0.000	13.823	0.000	0	0
1530	0.000	14.113	0.000	0	0
1531	0.000	14.405	0.000	0	0
1532	0.000	14.701	0.000	0	0
1533	0.000	14.999	0.000	0	0
1534	0.000	15.299	0.000	0	0
1535	0.000	15.599	0.000	0	0
1536	0.000	15.899	0.000	0	0
1537	0.000	16.199	0.000	0	0
1538	0.000	16.499	0.000	0	0
1539	0.000	16.799	0.000	0	0
1540	0.000	17.099	0.000	0	0
1541	0.000	17.399	0.000	0	0
1542	0.000	17.699	0.000	0	0
1543	0.000	17.999	0.000	0	0
1544	0.000	18.299	0.000	0	0
1545	0.000	18.599	0.000	0	0
1546	0.000	18.899	0.000	0	0
1547	0.000	19.199	0.000	0	0
1548	0.000	19.499	0.000	0	0
1549	0.000	19.799	0.000	0	0
1550	0.000	20.099	0.000	0	0
1551	0.000	20.399	0.000	0	0
1552	0.000	20.699	0.000	0	0
1553	0.000	20.999	0.000	0	0
